,h_post,h_post_individualized
17546,0.98,
10867,0.96,
12756,0.92,
15485,0.88,
12311,0.78,
10894,0.94,
11625,0.96,
14389,0.8,
19784,0.82,
16445,0.78,
18617,0.96,
17903,0.86,
16997,0.9,
16065,0.9,
16312,0.98,
17834,0.92,
12944,0.84,
14540,0.92,
18717,0.92,
11317,0.92,
10429,0.82,
11457,0.92,
13329,0.9,
14983,0.84,
15647,0.88,
10851,0.98,
16029,0.94,
13465,0.9,
18336,0.9,
10520,0.78,
19572,0.72,
12078,0.88,
14388,0.94,
15263,0.98,
10581,0.98,
17614,0.98,
13568,0.96,
18481,0.86,
17282,0.98,
11959,0.94,
13984,0.92,
17513,0.92,
19024,0.92,
11725,0.98,
17129,0.84,
10322,0.88,
11361,0.84,
10775,0.76,
13030,0.62,
10205,0.94,
18136,0.94,
17631,0.9,
10686,0.76,
11733,0.92,
18894,0.98,
16539,0.98,
19798,0.8,
10890,0.94,
14025,0.78,
18944,1.0,
16225,0.96,
15818,0.94,
10027,0.96,
12961,0.98,
11662,0.92,
13426,0.9,
18696,0.88,
18933,1.0,
15717,0.78,
15158,0.98,
18819,0.96,
15077,0.8,
13855,0.64,
14373,0.86,
14489,0.84,
19647,0.96,
15096,0.82,
10673,0.78,
13326,0.92,
15716,0.96,
10021,0.9,
11997,0.96,
11484,0.94,
18026,0.96,
18021,0.94,
12782,0.86,
13643,0.78,
10069,0.98,
12363,0.92,
12964,0.94,
13464,0.94,
18497,0.92,
13041,0.92,
18294,0.84,
14679,0.9,
12587,0.8,
14151,0.9,
17628,0.94,
17729,0.78,
14856,0.92,
17563,0.86,
14786,0.92,
14431,0.96,
14978,0.84,
19380,0.96,
10957,0.9,
18662,0.78,
18106,0.9,
14689,0.94,
18428,0.92,
14968,0.94,
15862,0.76,
15060,0.98,
13860,0.92,
13504,0.96,
10538,0.94,
19318,0.94,
10490,0.82,
18259,0.84,
17734,0.94,
16856,0.82,
14604,0.94,
19490,0.94,
18961,0.98,
17350,0.98,
14545,1.0,
18390,0.86,
12896,0.92,
19070,0.88,
18246,0.82,
18645,0.7,
10771,0.96,
11402,0.78,
12492,0.92,
13279,0.98,
11793,0.84,
10980,0.94,
19903,0.94,
14118,0.98,
15089,0.94,
17898,0.94,
15488,0.94,
18200,0.88,
12905,0.78,
17297,0.86,
19708,0.88,
19240,0.96,
14587,0.96,
11385,0.98,
17356,0.86,
16994,0.92,
10094,0.9,
17483,0.88,
11355,0.96,
18386,0.94,
19875,0.72,
17941,0.88,
12962,0.84,
14369,0.9,
15711,0.94,
19450,0.8,
14502,0.9,
11707,0.98,
10156,0.96,
11735,0.92,
18549,0.82,
14006,0.92,
10904,0.98,
12751,0.88,
15924,0.88,
12624,0.86,
17992,0.9,
19170,0.9,
12681,0.8,
10390,0.9,
19016,0.88,
12904,0.94,
14562,0.98,
17429,0.88,
10291,0.98,
12750,0.8,
10592,0.96,
18557,0.9,
16142,0.98,
12765,0.98,
14791,0.82,
19229,0.98,
13941,0.88,
14805,0.92,
19073,0.9,
12263,0.96,
15468,0.9,
18435,1.0,
17478,0.6,
18375,0.96,
15724,0.86,
10472,0.84,
13143,0.86,
12943,0.98,
12736,0.78,
