,x1,x2,x3
2380,1.2747582,-0.51427907,0.8965491
2929,-0.01854355,-0.59404296,0.60514647
3939,-1.2534919,-2.398192,0.7103969
2774,-0.009897682,-0.12393661,0.6254695
3905,0.41682735,0.61677235,0.6534025
2158,-1.141042,0.84648764,0.56068665
2107,-0.6997392,-2.973173,0.57989466
3005,-0.44200522,-0.00011187792,0.60487944
2597,-0.34572905,-0.8005164,0.60775554
3066,0.24704899,-0.85516447,0.67355984
3358,1.13858,0.14391631,1.2180805
2009,-0.5591877,0.57685035,0.6390488
2904,-0.193148,0.88866425,0.6751828
2683,0.29910883,-0.33333954,0.6060161
2349,0.111732535,-0.5030213,1.590806
3120,0.6303387,0.72873163,1.7703972
2807,-0.7252779,-0.8713228,0.56478846
3201,-0.27539822,-1.0327848,0.65258753
3601,-1.199514,-1.4053944,0.62099105
2442,0.4590398,0.14343244,0.6263053
2387,0.45017967,0.66312385,0.69898117
2371,0.6532099,1.4486198,0.6560159
3508,-0.5565358,-1.4822481,0.5995354
2069,-2.8470283,-4.105065,0.44477004
2437,-0.23169869,-0.40503412,0.5818411
3170,0.439277,-0.9607603,0.6571705
3101,-0.61408144,-0.30521744,0.64661855
3879,-0.72397435,-1.5730153,0.641796
3188,-0.22752781,-1.8944153,0.5838985
2998,0.3596378,-0.033731163,0.61884135
3729,-0.050913706,-1.9398904,0.64019954
2804,-0.54113334,-0.38292128,0.61123466
3291,-0.63990045,-1.3990469,0.5933696
2086,0.21079089,0.17334747,0.63672626
3650,-1.8122638,-1.5144519,0.5934336
3138,-0.003898852,-0.49274427,0.6496489
3136,-1.4480194,-0.5038694,0.66563654
3007,-0.38719094,-0.96445435,0.5684605
2702,-0.4228662,-0.28946704,0.60650426
3492,-0.23441356,0.092499614,0.6353531
2662,-0.45668685,0.22829449,0.72521734
3087,-0.04874732,-1.4308637,0.6621534
3609,0.41876683,0.38742283,0.61679065
2469,-1.283948,-1.0036862,0.5867188
2478,-0.93801874,0.15235537,0.603913
3759,-0.5593236,-2.174749,0.71627414
3065,-2.0984914,-3.5749865,0.56365794
3559,-1.2036177,-0.30847055,0.561464
