,x1,x2,x3
2380,0.1,0.2,-0.0
2929,0.0,0.0,1.3
3939,-0.0,-0.0,5.1
2774,-0.0,-0.0,2.3
3905,0.0,0.0,0.3
2158,-0.0,-0.0,1.7
2107,-0.0,-0.0,5.6
3005,0.2,-0.0,-0.0
2597,-0.0,-0.0,1.1
3066,-0.0,0.3,0.0
3358,0.6,-0.0,0.0
2009,0.0,-0.0,0.2
2904,-0.0,0.0,0.6
2683,-0.0,-0.0,0.7
2349,-0.0,0.7,0.0
3120,1.8,0.0,0.0
2807,-0.0,0.0,2.1
3201,-0.0,-0.0,2.5
3601,-0.0,-0.0,3.8
2442,0.1,0.0,0.2
2387,-0.0,0.0,0.4
2371,0.8,0.0,0.0
3508,0.0,-0.0,3.2
2069,-0.0,0.0,7.2
2437,-0.0,0.7,0.0
3170,0.0,-0.0,0.4
3101,-0.0,-0.0,1.7
3879,-0.0,-0.1,1.9
3188,0.0,-0.0,3.7
2998,0.0,-0.0,0.3
3729,-0.0,0.0,3.9
2804,0.0,0.0,2.5
3291,-0.0,0.0,2.6
2086,0.7,-0.0,0.0
3650,-0.0,-0.0,2.5
3138,0.0,-0.0,0.9
3136,-0.0,0.0,3.5
3007,-0.0,0.0,2.3
2702,-0.0,0.8,0.0
3492,0.0,0.0,2.0
2662,0.3,0.0,-0.0
3087,-0.0,0.0,1.7
3609,0.0,0.0,0.7
2469,-0.0,0.1,3.0
2478,0.0,0.0,3.2
3759,-0.0,-0.0,3.1
3065,0.0,0.0,6.7
3559,-0.0,-0.0,2.7
3990,-0.0,-0.0,2.5
3413,0.0,0.0,0.6
2206,0.0,0.0,2.9
3034,0.0,0.0,1.6
2691,-0.1,-0.0,5.1
3228,0.4,0.0,-0.0
2185,-0.0,-0.0,1.5
3684,-0.0,-0.0,2.6
2751,0.0,0.0,3.7
3473,0.4,0.0,0.0
2789,-0.1,-0.0,2.5
2130,0.0,0.0,3.5
3934,0.0,0.0,3.6
2261,-0.1,0.0,2.5
2277,0.0,0.5,-0.0
2419,-0.0,0.0,1.5
2719,0.7,-0.0,0.0
2065,-0.0,0.0,2.7
2794,-0.0,-0.0,1.5
3324,0.1,1.0,0.0
3890,0.4,-0.0,-0.0
2271,0.1,-0.0,2.5
2505,0.4,0.7,-0.0
2182,0.0,0.2,0.0
3591,-0.1,-0.0,1.9
3465,-0.0,0.0,1.0
2482,-0.0,0.0,3.8
2963,0.1,0.5,0.0
3026,0.0,-0.0,0.8
2748,0.0,-0.0,0.6
2148,0.0,0.0,6.0
2977,-0.0,-0.0,1.0
2942,0.0,0.0,2.0
3474,-0.0,-0.0,0.1
3072,-0.0,-0.0,2.0
2488,-0.0,-0.0,1.6
3829,-0.0,-0.0,1.0
3093,-0.0,-0.0,4.6
2726,0.1,0.0,3.4
3187,-0.1,-0.1,8.1
2640,0.0,0.0,2.6
2060,0.0,0.0,0.1
3060,0.0,2.2,-0.0
2852,0.0,0.1,0.0
3823,0.0,0.0,5.6
3008,0.2,0.0,0.0
2936,0.0,0.0,2.6
3347,0.0,-0.0,4.8
3059,0.0,0.0,4.4
3562,-0.0,0.0,2.9
3891,0.3,0.7,-0.0
3572,0.3,1.9,-0.0
3074,-0.0,-0.0,2.8
2814,0.0,0.0,2.9
2177,0.0,0.0,0.5
3844,0.0,-0.1,3.5
2554,0.0,1.0,0.0
3961,-0.0,0.0,1.8
2402,-0.0,-0.0,2.3
2165,0.3,0.0,0.0
2925,0.0,0.0,5.8
2762,-0.0,0.0,1.0
2358,-0.0,0.0,0.4
3525,1.8,-0.0,-0.0
3754,-0.0,-0.0,1.1
2506,1.2,3.0,0.0
3398,0.0,0.0,5.1
3833,0.0,-0.0,1.5
2428,0.3,0.0,-0.0
2240,-0.0,-0.0,2.9
2439,-0.0,-0.0,3.5
3676,0.0,-0.1,1.6
3551,-0.0,0.0,2.5
2359,0.0,0.0,2.0
3841,0.0,0.0,0.3
3541,-0.0,0.1,3.1
3923,-0.0,-0.0,1.1
2611,0.2,0.0,0.0
3976,-0.0,0.0,1.6
3361,-0.0,-0.0,1.2
2738,0.0,0.0,3.8
3966,0.0,1.0,0.0
2088,0.3,1.6,-0.0
2004,-0.1,0.0,3.3
3585,-0.0,0.1,2.4
3256,1.5,0.0,0.0
2082,0.1,0.0,-0.0
3659,0.0,0.0,1.1
2655,0.0,0.0,1.1
3817,-0.0,-0.0,0.5
2793,-0.0,0.1,3.7
3289,0.0,0.0,0.6
3713,-0.0,-0.1,2.3
2215,-0.0,0.0,1.7
3487,0.0,0.0,2.1
3871,-0.0,0.0,4.2
3922,0.0,0.1,4.2
2705,0.0,-0.1,3.5
2745,-0.1,0.0,4.6
3632,0.0,0.0,0.3
3190,0.0,-0.0,0.3
3068,0.6,-0.0,0.0
2830,-0.0,-0.1,3.5
3308,-0.0,0.0,1.4
2937,0.0,-0.0,1.5
3269,-0.0,0.1,4.7
3513,-0.1,-0.0,1.8
2052,-0.0,0.0,4.7
2230,-0.0,-0.0,2.6
3527,0.0,-0.0,3.9
2489,0.4,0.0,0.0
2323,0.9,-0.0,-0.0
3274,-0.0,3.7,-0.0
2872,0.0,-0.0,2.8
3468,-0.0,-0.0,0.2
2055,0.0,0.0,5.0
