ix,goal_cost,intv_cost
3619,1.0,3.0
3649,1.0,2.0
2345,1.0,1.6
2395,1.0,0.3
3676,1.0,1.6
3219,1.0,3.2
2823,1.0,2.3000000000000003
2634,1.0,1.5
2069,1.0,7.2
3835,1.0,1.9
3413,1.0,0.6
2034,1.0,1.4
2282,1.0,4.8
2236,1.0,3.5
3494,1.0,0.6
3080,1.0,1.7000000000000002
2205,1.0,2.7
2505,1.0,1.0
3300,1.0,1.9
3150,1.0,3.6
3551,1.0,2.5
3530,0.752,1.7
2167,1.0,2.3
2959,1.0,1.6
2899,1.0,0.5
2743,1.0,6.3
3439,1.0,5.5
3241,1.0,0.4
3699,1.0,2.0
2225,1.0,1.6
3252,1.0,2.6
3782,1.0,2.6
2222,1.0,0.5
3871,1.0,4.2
3495,1.0,3.0
2135,1.0,0.2
3001,1.0,2.1
2508,1.0,0.8
3978,1.0,3.0
3329,1.0,1.6
3528,1.0,0.7
3493,1.0,4.3
3256,1.0,2.7
3504,1.0,2.3
2447,0.766,3.1999999999999997
3167,1.0,2.6
2828,1.0,3.2
3235,1.0,0.3
2094,1.0,3.5
3360,1.0,2.2
2118,1.0,1.8
3023,1.0,0.7
2087,1.0,0.1
2442,0.766,0.2
2340,1.0,1.4
2942,1.0,2.0
3424,1.0,2.0
3022,1.0,0.4
3691,1.0,1.8
3037,1.0,1.8
2723,1.0,1.7
2686,0.778,0.7
2895,1.0,3.6
3008,1.0,0.3
3136,1.0,3.4
2745,1.0,4.7
3752,1.0,0.2
3288,1.0,4.4
2768,1.0,1.0
2175,1.0,1.1
3366,1.0,0.6
2329,1.0,1.0
2274,1.0,2.1
2358,1.0,0.5
3858,1.0,2.7
3371,1.0,3.2
3586,0.812,0.1
2155,1.0,0.6
3066,1.0,0.3
3474,1.0,0.1
2866,0.832,0.1
3059,0.77,3.1
3151,1.0,3.6
3276,1.0,1.4
2196,1.0,1.1
3390,1.0,1.9
3087,1.0,1.7
2995,1.0,1.0
3669,1.0,5.1
2726,1.0,3.4
2191,1.0,1.0
3952,1.0,3.3000000000000003
2187,0.782,1.9000000000000001
3376,1.0,1.7
3295,1.0,0.1
2467,1.0,0.5
2372,1.0,5.6
2226,1.0,3.5
3892,1.0,2.2
3427,1.0,0.4
3007,1.0,2.3
3322,0.882,0.1
3527,0.998,4.0
3651,0.768,3.0
2925,1.0,5.8
2113,1.0,1.4
2503,1.0,2.8
2473,1.0,2.3
2785,1.0,1.1
2561,1.0,2.3
2314,1.0,4.3
2564,1.0,3.2
3198,1.0,1.2
3033,1.0,2.4
2478,1.0,3.3000000000000003
3201,1.0,2.6
3627,1.0,0.6
3120,0.754,1.7
3319,1.0,1.3
3766,1.0,2.2
2901,1.0,2.2
2552,1.0,4.5
2956,1.0,1.5
3050,1.0,3.0
2428,1.0,0.6
2521,1.0,1.2
2843,0.804,2.4
3747,1.0,3.0
3746,1.0,2.3
3339,0.78,2.0
3103,1.0,5.1
3602,1.0,1.3
3697,1.0,0.9
3029,1.0,1.6
2875,1.0,1.1
2890,1.0,5.7
2142,1.0,1.6
3026,1.0,0.9
3230,1.0,0.4
2117,0.852,2.0
2693,1.0,1.7000000000000002
3101,1.0,1.7
3365,1.0,4.2
2434,1.0,0.2
2393,1.0,3.0
3100,1.0,1.0
3220,1.0,1.3
3357,0.782,2.6
2071,1.0,4.8
2545,1.0,4.0
2671,1.0,2.4
3725,1.0,3.2
2655,1.0,1.1
3805,1.0,0.1
2261,1.0,2.5
3701,1.0,5.6
2495,1.0,1.8
2130,1.0,3.5
2000,1.0,5.3
3872,1.0,2.7
2824,1.0,0.8
2121,1.0,2.3
3068,0.804,0.1
2741,1.0,1.5
2934,1.0,4.3
3489,0.762,3.1999999999999997
2134,1.0,6.0
3520,1.0,6.3
3724,1.0,5.199999999999999
2796,1.0,0.9
2757,0.784,0.1
2534,1.0,1.8
2501,0.792,0.4
3711,1.0,2.6
3237,1.0,0.2
2100,1.0,0.9
3739,1.0,4.6
2476,1.0,6.0
3476,0.93,0.1
3072,1.0,2.1
3874,1.0,1.6
3848,1.0,2.2
2073,1.0,0.5
3916,0.78,0.3
3778,1.0,2.7
2679,1.0,2.0
3479,1.0,1.8
2532,1.0,1.0
2351,1.0,6.8
3919,1.0,0.5
3641,0.772,0.3
3859,1.0,0.1
3370,1.0,0.5
3285,1.0,4.2
3775,1.0,2.7
3975,1.0,3.2
2826,1.0,0.7
3161,1.0,3.0
2964,1.0,4.5
3770,0.77,2.7
