,y
2836,1.0
3602,1.0
2193,0.0
3074,0.0
2282,0.0
3916,0.0
2054,0.0
3080,0.0
2135,1.0
3087,0.0
3513,0.0
2695,1.0
2646,0.0
2275,1.0
2094,0.0
3029,0.0
2898,1.0
2744,0.0
3256,1.0
2573,0.0
2446,0.0
3362,0.0
3322,1.0
2682,0.0
2873,0.0
3922,0.0
3404,0.0
3902,0.0
2577,0.0
3619,0.0
3752,0.0
3445,0.0
2044,0.0
2743,0.0
3912,1.0
2634,0.0
2553,1.0
3861,0.0
3659,0.0
3680,0.0
3168,0.0
2082,0.0
3772,0.0
2380,1.0
2280,1.0
3634,0.0
3859,0.0
3276,0.0
3104,0.0
3609,0.0
3000,0.0
3719,0.0
2702,1.0
3216,0.0
3206,0.0
3598,0.0
3495,0.0
2621,0.0
2104,0.0
2481,0.0
2344,0.0
2272,0.0
3766,0.0
3599,0.0
2013,0.0
2266,0.0
3167,0.0
3670,0.0
3456,0.0
3015,0.0
2231,1.0
3663,1.0
2586,0.0
3397,0.0
3136,0.0
3053,0.0
2254,0.0
2778,0.0
2905,0.0
2875,1.0
2071,0.0
2922,0.0
2574,0.0
3138,1.0
2187,1.0
2966,0.0
3760,0.0
3279,0.0
2539,0.0
3036,1.0
2749,0.0
3747,0.0
3050,0.0
2849,0.0
3827,0.0
2584,0.0
2385,0.0
2674,0.0
2731,0.0
2887,1.0
3112,0.0
3428,0.0
2420,0.0
2794,1.0
2129,0.0
2592,0.0
2897,1.0
3833,0.0
2185,0.0
2597,1.0
2973,0.0
3193,0.0
3979,0.0
2150,0.0
3515,1.0
2388,0.0
2719,0.0
2476,0.0
3808,0.0
2121,0.0
3807,0.0
2665,1.0
2259,0.0
2664,0.0
2487,0.0
2640,0.0
3705,0.0
2454,0.0
2639,0.0
2045,0.0
3811,0.0
2497,0.0
3272,0.0
3937,0.0
3339,0.0
2261,0.0
2437,0.0
2813,0.0
2820,0.0
2941,0.0
2726,0.0
3832,1.0
2173,0.0
2101,0.0
2131,0.0
3467,0.0
3042,0.0
2460,0.0
3209,0.0
2707,0.0
2656,0.0
2579,0.0
2921,0.0
2689,0.0
3623,1.0
3734,0.0
2934,0.0
2510,0.0
3586,1.0
2008,0.0
3440,1.0
3691,1.0
2881,0.0
2340,0.0
3520,0.0
2869,0.0
3710,0.0
3426,0.0
2673,0.0
3527,0.0
2771,0.0
2765,0.0
3462,0.0
3936,0.0
3756,0.0
3699,0.0
3338,0.0
3820,0.0
2828,0.0
3993,0.0
2561,0.0
3427,0.0
3782,1.0
3037,0.0
2406,0.0
3675,0.0
2861,0.0
2582,0.0
3802,0.0
3923,0.0
2225,0.0
2704,0.0
3915,0.0
2182,0.0
3230,1.0
2545,0.0
3300,0.0
3701,0.0
2178,0.0
2273,0.0
