ix,goal_cost,intv_cost
3871,0.754,5.9
2196,0.808,1.8
3385,0.778,3.5
3320,0.7699999809265137,3.5
2574,0.788,0.3
2575,0.792,2.4
2294,0.7639999985694885,3.0
3528,0.765999972820282,1.0
2473,0.7580000162124634,2.5
2510,0.77,1.1
3336,0.782,2.5
2936,0.78,1.7
2581,0.7720000147819519,0.5
2286,0.756,0.9
2561,0.77,1.2
3963,0.764,1.8
2135,0.774,0.1
3041,0.766,2.1
3873,0.764,1.5
2126,0.762,0.1
3424,0.758,1.7000000000000002
3237,0.808,0.1
3556,0.756,2.4
3248,0.852,2.8
2257,0.754,1.3
3515,0.752,2.0
3483,0.788,2.7
2200,0.776,6.1
3252,0.776,0.9
3529,0.754,0.6000000000000001
2245,0.782,1.2
2487,0.794,1.7000000000000002
2959,0.778,1.2
3670,0.766,1.4
2059,0.754,1.6
2113,0.756,3.0
2904,0.802,0.5
2090,0.79,1.1
3798,0.81,0.1
2226,0.756,4.800000000000001
3867,0.802,0.8
3146,0.894,0.5
2277,0.768,1.4
3983,0.768,4.5
3736,0.754,5.1
2484,0.754,3.2
2237,0.76,3.6
2438,0.796,1.3
3816,0.776,1.2999999999999998
3503,0.77,1.3
2793,0.774,4.2
3101,0.802,1.3
3622,0.756,0.8
2665,0.782,1.1
3663,0.768,0.9
3609,0.762,0.30000000000000004
3187,0.752,7.300000000000001
3437,0.848,0.1
3805,0.778,0.6
3923,0.762,1.1
2708,0.768,2.5
3763,0.776,3.7
2786,0.776,1.8
3036,0.772,0.2
2415,0.7540000081062317,4.0
2460,0.7799999713897705,1.5
2314,0.7580000162124634,3.5
3729,0.77,3.1
3253,0.76,4.4
2163,0.8,4.0
2655,0.764,0.30000000000000004
3641,0.758,0.6
3015,0.824,2.4
3760,0.752,2.3
3269,0.804,2.6
2771,0.754,1.5
2646,0.78,1.8
3630,0.7639999985694885,1.0
2967,0.754,2.0
3794,0.8,2.1
3328,0.762,5.7
2186,0.758,0.4
3276,0.828,1.9
2256,0.786,3.3000000000000003
2062,0.768,0.8
2232,0.752,4.8
2401,0.768,4.0
3968,0.782,0.2
3448,0.762,1.3
2695,0.878,0.7
2004,0.758,4.0
2269,0.794,4.3
3915,0.766,2.4000000000000004
3985,0.764,1.8
3564,0.796,0.6
3965,0.7760000228881836,1.0
2589,0.754,0.6
3577,0.8,0.9
3126,0.7559999823570251,4.5
3471,0.7559999823570251,1.0
2137,0.76,1.4
3645,0.758,5.9
3782,0.766,1.3
2650,0.756,0.8999999999999999
3993,0.79,1.4
3298,0.78,0.9
3274,0.76,3.9
2993,0.784,0.2
2469,0.794,2.1
3380,0.788,1.7
2597,0.754,2.2
2836,0.8080000281333923,2.0
3104,0.752,0.9
2781,0.76,3.5999999999999996
2447,0.78,3.5
2489,0.7540000081062317,2.0
3949,0.758,0.30000000000000004
3119,0.786,0.4
3115,0.768,1.1
3811,0.788,4.2
2437,0.784,0.9
3990,0.7900000214576721,1.5
2178,0.752,0.9
3545,0.774,1.6
3602,0.756,0.9
3309,0.772,1.9
2156,0.786,1.5
2998,0.8,0.4
2461,0.774,1.7
3668,0.758,6.3
2689,0.756,1.0
2148,0.758,6.1
3640,0.758,1.6
2981,0.786,1.4
3100,0.7540000081062317,0.5
3037,0.784,2.3
2373,0.764,1.7
2592,0.7979999780654907,2.0
3720,0.762,4.3
3264,0.778,2.8
3065,0.786,6.8
2486,0.808,7.6
3520,0.77,5.5
3978,0.77,1.0
2875,0.764,2.0
3773,0.762,0.7
2831,0.8,1.9
3629,0.796,0.2
3683,0.766,5.6
3979,0.7900000214576721,1.0
2365,0.77,3.4
2693,0.764,2.1
3772,0.76,1.4
3513,0.788,1.1
2740,0.7580000162124634,1.0
2265,0.762,1.2
3856,0.7820000052452087,0.5
3148,0.798,1.8
3586,0.778,0.2
3497,0.772,7.2
3925,0.764,4.3
3560,0.768,1.3
2082,0.766,1.9
2266,0.762,0.6
2824,0.754,0.5
2392,0.754,0.4
3150,0.766,1.6
2612,0.782,0.6
2282,0.752,5.0
2556,0.756,1.5
2074,0.8199999928474426,0.5
2517,0.7639999985694885,3.0
2340,0.76,1.6
2388,0.762,1.0
3060,0.7580000162124634,2.5
2167,0.782,1.5
3411,0.774,4.3
3224,0.754,0.7
2225,0.804,1.6
3697,0.784,1.7
2165,0.762,1.4
3090,0.798,0.9
3329,0.754,2.9
2731,0.792,1.4000000000000001
2019,0.838,0.1
2107,0.788,4.8
3022,0.87,0.1
2881,0.79,2.2
2450,0.768,0.30000000000000004
3161,0.768,1.8
3440,0.772,1.9
2055,0.774,5.2
2546,0.756,2.5999999999999996
3686,0.754,1.9000000000000001
2725,0.77,1.7
2368,0.7820000052452087,1.5
2565,0.7860000133514404,1.0
3490,0.796,3.5
2819,0.774,1.2000000000000002
2428,0.778,1.1
