,x1,x2,x3
2895,-0.978432,-1.8155491,-1.9855012
3867,-0.6459223,-0.76563066,-3.5806806
2952,0.28522894,-1.0929676,0.29126143
2268,-0.48726168,-1.236321,-2.3949637
2261,-0.81441164,-1.0934669,0.25457108
2662,-1.0375305,-3.22009,-5.5757394
3427,-0.5932664,-2.7818522,-4.9654655
3823,-0.46520528,-0.6716815,-1.2087963
2164,0.16783814,-1.0432812,-1.2705469
2700,-1.8364447,-2.280937,-3.8506324
2500,-1.0445755,-1.4678737,-3.8159385
3221,-1.0269729,0.69801915,-0.7729578
2865,-2.1464238,-1.3935883,-1.5367265
2607,0.10293752,0.7418813,0.00027674437
3477,-0.76195717,-1.7482524,-2.012283
2943,-1.2639358,-0.99439794,-1.110637
2519,-0.71935,-1.2607999,-2.2467275
2113,-0.78496885,-1.8615824,-3.796134
2659,0.41780174,-1.3667767,0.5446967
3698,-0.28998807,-2.321141,-2.7941556
3575,-0.8110897,-0.062170208,-1.8760829
2102,-1.7219381,-1.3961831,-2.5851033
3398,0.46862373,0.45362043,0.33362627
2875,-0.9566177,-1.5578842,-4.1539555
2127,-0.3011486,0.73982507,0.19403303
2174,-1.0414025,-1.1394725,-1.6315842
2299,-1.7215015,-1.9034443,-2.797844
3044,-2.3926744,-1.2603452,-2.31816
3023,-2.013254,-1.7169712,-1.640887
3167,-0.93092465,-1.5509818,-0.278466
3240,0.5040581,-0.57261026,-1.6505631
2977,0.60111016,-1.2817125,-2.6108603
3088,-1.1731836,-1.9794221,-2.6774008
3392,-0.80370843,-0.46966144,-1.523599
3647,-0.39044818,-0.46022353,-0.8848347
2581,1.5621115,-0.9673532,0.208808
2592,-1.2072529,-1.9289434,-3.2029111
2787,-1.5857381,-1.55763,-3.5579333
3175,-0.9438984,-3.474368,-5.262352
2840,-0.6747095,-1.6853559,-2.7239463
2817,-0.6937815,-0.61054355,-1.5649501
2799,-1.3476526,-1.3159634,-2.5330572
3122,-1.0665611,-0.6728258,-3.0721006
3148,-2.481014,-1.4754859,-2.106254
3129,0.035143577,0.054585375,-1.6654568
2612,-1.8600162,-0.04436338,-1.661957
2147,0.37224618,-0.1482043,-0.42033124
3784,-0.555052,-0.12618947,0.12973194
3998,-0.47063845,-0.34572136,-0.839319
2024,-0.23692083,-0.03476824,-1.299098
3845,-0.9107907,0.080437005,-2.580307
3650,-1.2344928,-2.2337074,-7.1508236
2304,-0.94516844,-0.8101456,-0.9223733
2586,0.5029141,-1.9207352,-2.1752372
3306,0.23155613,-0.568161,0.023911864
3008,-0.78750634,-0.3477561,0.5068881
3780,-0.76476365,-2.5124404,-2.497658
3289,-0.1521318,-1.8067602,-1.0391676
3432,-1.676703,-1.178487,-2.1011677
3907,0.629216,-0.60244685,-0.06280856
2200,-0.03888773,-2.8947983,-3.6985166
2778,0.085728444,-0.53373086,-0.39005244
3352,-1.0088272,0.06120789,0.54223907
3299,-0.18893321,0.321948,0.5663829
2186,-0.3669332,-1.4068915,-2.4276226
2656,0.9799791,-2.6280248,-3.0397751
3308,-1.2900276,-0.93035674,-3.462061
3691,-0.2588581,-1.4780009,-0.49141526
3052,-1.6682124,-1.8695619,-2.5514965
3548,-1.1132369,-2.1949978,-4.304152
2318,-1.122835,0.11193967,0.6204634
3936,-0.7694991,-2.5072918,-3.0245242
3335,-0.66032034,0.7674262,-0.788626
3385,-0.86427003,-0.83520657,-1.3685083
2197,-1.7832129,-3.5149682,-5.9184303
3593,-0.61315733,-0.17537221,0.28488147
3912,0.21099104,0.30588496,-1.329297
2877,-0.9045012,-0.2346322,-1.8480082
3264,-1.9097584,-0.8382747,-0.8957175
2153,-0.592508,-1.7136211,-1.6711948
2744,-0.9007999,-0.7392241,-0.020304441
2198,-0.5768544,-0.28015235,-2.2880347
2003,-0.6122197,-0.8691131,-1.6326125
3128,-1.4497248,-0.32365513,0.37274945
3059,-2.1603873,-1.8519031,-4.076159
3908,-0.62668794,-0.10623896,-0.13272113
3789,0.0058903177,-2.274054,-1.9360542
2137,-0.31288365,-1.516939,-1.4722747
2227,-1.3451134,-2.204024,-2.8325276
2083,0.039187223,-0.17931464,-1.8031884
2884,-0.23091637,-0.6253823,-0.7621293
3580,-0.30887854,-1.1587689,-0.69121593
2844,-0.68049276,-0.59591925,-1.5243053
2087,-0.8218908,-1.7048211,-3.3396993
3988,0.24811386,-0.13403957,-0.29603672
3119,-0.13982433,0.5699618,-1.0198061
3773,-0.5805126,-1.5168633,-0.12314093
2670,0.03281298,-0.24128756,0.15097612
2428,-1.1137028,-1.4835819,-1.6959362
3032,-0.026160132,-0.6648886,-0.77221084
3756,-0.7610975,0.1701104,-1.4361696
3757,-0.052364286,-0.9274675,-1.2774119
2689,-0.14791225,-0.76696974,-2.6567442
3706,-0.022920618,-0.9600759,-0.48255563
2938,0.06564599,0.044020154,-0.73926675
2641,0.28831106,-0.64400023,0.52605206
2066,-0.7718811,0.7875534,-0.46785852
3351,-0.8951474,-1.8393602,-2.4760118
3056,-0.57353175,-1.4681042,-1.654156
2761,-2.0170572,-2.0558307,-3.5199528
