ix,goal_cost,intv_cost
2792,1.0,6.5
3345,1.0,1.7000000000000002
3881,1.0,1.2
3323,1.0,0.2
2641,1.0,0.1
3128,1.0,0.5
3060,1.0,3.9
2773,1.0,2.2
3177,1.0,1.2
3104,1.0,2.5
2082,1.0,0.9
2194,1.0,0.7
3745,1.0,2.4
2598,1.0,1.9000000000000001
2914,1.0,1.7000000000000002
2929,1.0,1.0
2196,1.0,2.1
2426,1.0,1.9000000000000001
3744,1.0,1.0
3664,1.0,5.0
3306,1.0,0.6
2377,1.0,1.7
3534,1.0,0.3
3122,1.0,3.9
3006,1.0,0.5
2988,1.0,0.5
2153,1.0,2.6
3146,1.0,1.8
2967,1.0,1.9
3983,1.0,2.4
2109,1.0,3.9
2935,1.0,1.4
3285,1.0,3.0
2919,1.0,2.1
2389,1.0,0.4
3457,1.0,3.0
2855,1.0,2.1
3241,1.0,0.6
3211,1.0,1.0
3724,1.0,3.3
2690,1.0,0.7999999999999999
3869,1.0,4.7
2429,1.0,8.2
3232,1.0,3.6
3575,1.0,2.6
2142,1.0,6.6
2187,1.0,4.4
2159,1.0,3.3
3941,1.0,0.5
3284,1.0,2.4
3043,1.0,3.1
3238,1.0,1.8
3162,1.0,0.5
3198,1.0,1.8
2517,1.0,3.6
3061,1.0,2.5
3727,1.0,1.7
2869,1.0,1.7
3951,1.0,13.9
3184,1.0,1.7
3535,1.0,2.1
3415,1.0,1.7
3051,1.0,2.2
3084,1.0,3.0
2008,1.0,2.0
3346,1.0,0.2
2610,1.0,1.4000000000000001
2800,1.0,2.2
3347,1.0,1.5
2557,1.0,2.1
3536,1.0,4.6
3179,1.0,0.2
2865,1.0,2.9
2860,1.0,5.3
3397,1.0,2.2
2530,1.0,4.8
2568,1.0,2.2
3725,1.0,0.5
2665,1.0,1.6
3276,1.0,2.2
3606,1.0,5.3
3236,1.0,1.1
2688,1.0,2.6
3752,1.0,3.7
3898,1.0,0.3
2943,1.0,2.0
2543,1.0,4.6
3134,1.0,1.7
3516,1.0,9.0
2393,1.0,2.5
3308,1.0,4.5
2273,1.0,3.6
3083,1.0,2.3
2135,1.0,0.2
2709,1.0,0.8
2597,1.0,1.8
3788,1.0,5.5
3562,1.0,3.0
2122,1.0,2.6
2043,1.0,0.5
2938,1.0,1.3
3527,1.0,3.9
2956,1.0,0.8
2295,1.0,1.6
3900,1.0,1.1
3670,1.0,4.0
3844,1.0,3.3
3031,1.0,7.9
3890,1.0,3.5
3980,1.0,0.2
3214,1.0,0.9
3321,1.0,1.7000000000000002
2785,1.0,1.3
3252,1.0,3.9
3500,1.0,3.8
2893,1.0,5.4
3302,1.0,5.0
3979,1.0,4.8
3174,1.0,0.2
2601,1.0,3.5
2708,1.0,2.2
2895,1.0,2.9
2749,1.0,1.0
3130,1.0,4.1
3823,1.0,1.9
3016,1.0,1.1
2385,1.0,3.7
3938,1.0,5.4
2514,1.0,2.9
3185,1.0,4.8999999999999995
2287,1.0,5.8
2761,1.0,4.6
3816,1.0,4.3
2783,1.0,2.5
3812,1.0,1.3
3514,1.0,3.4
3760,1.0,4.5
2272,1.0,5.3999999999999995
3327,1.0,5.3999999999999995
2396,1.0,3.7
2850,1.0,1.9000000000000001
2596,1.0,5.8
3413,1.0,4.1
2061,1.0,2.8000000000000003
2990,1.0,0.2
3918,1.0,0.7
2867,1.0,3.8000000000000003
2567,1.0,1.8
2444,1.0,0.3
2280,1.0,3.1
2181,1.0,2.9
2051,1.0,1.8
2861,1.0,1.5
3420,1.0,5.000000000000001
3759,1.0,6.699999999999999
3054,1.0,2.5
2245,1.0,0.5
2582,1.0,4.6
3398,1.0,0.2
2939,1.0,3.5
3138,1.0,1.1
3221,1.0,1.5
3129,1.0,2.3
2551,1.0,0.3
3326,1.0,0.9
3425,1.0,3.2
3840,1.0,6.3
2242,1.0,2.1
3868,1.0,4.3
3432,1.0,3.1
3702,1.0,5.4
3187,1.0,2.1
3523,1.0,1.6
3962,1.0,0.9
3178,1.0,0.4
2923,1.0,1.0
3613,1.0,3.7
3987,1.0,6.0
3065,1.0,2.5
3497,1.0,3.5
3032,1.0,1.4
3915,1.0,4.699999999999999
3455,1.0,7.3
2204,1.0,9.899999999999999
2069,1.0,2.6999999999999997
2413,1.0,1.3
2083,1.0,2.4
2931,1.0,0.7999999999999999
3539,1.0,1.5
3105,1.0,2.5
3020,1.0,8.1
3310,1.0,7.4
2682,1.0,3.2
2614,1.0,6.9
2525,1.0,6.0
3070,1.0,2.2
2985,1.0,2.7
2537,1.0,3.4
3886,1.0,0.5
2670,1.0,0.5
