,y
2249,1.0
3760,1.0
2290,1.0
2526,0.0
3672,0.0
2007,1.0
3273,0.0
2869,1.0
2505,1.0
2965,0.0
2943,0.0
3990,1.0
3497,1.0
2370,0.0
3787,1.0
3256,1.0
3325,1.0
2332,0.0
2048,1.0
2708,1.0
3060,1.0
2693,0.0
2365,0.0
2772,0.0
2530,1.0
3423,1.0
3009,1.0
2790,0.0
3538,1.0
3124,0.0
3281,1.0
3834,1.0
3026,1.0
3995,1.0
2815,1.0
3248,0.0
3166,0.0
3978,1.0
2120,1.0
3121,0.0
2333,1.0
2561,1.0
2289,1.0
2312,1.0
3384,0.0
3956,1.0
2668,0.0
2902,1.0
3439,1.0
2396,0.0
2773,1.0
3346,1.0
3936,1.0
2620,0.0
2004,1.0
2941,1.0
2503,1.0
3187,1.0
2399,1.0
2578,1.0
3348,0.0
2640,0.0
3856,1.0
3385,1.0
2649,1.0
3445,1.0
3189,1.0
3968,0.0
2173,1.0
2819,1.0
2344,1.0
3780,1.0
2853,1.0
2295,1.0
3116,1.0
2929,0.0
2747,0.0
2921,0.0
2664,1.0
3282,1.0
2729,0.0
3202,1.0
2791,1.0
2284,1.0
3369,1.0
2020,1.0
2892,1.0
2925,0.0
2800,1.0
2409,1.0
3317,1.0
2850,1.0
3847,1.0
2688,1.0
3105,1.0
3185,1.0
3849,1.0
2407,1.0
2258,0.0
3351,1.0
3798,1.0
3043,1.0
3591,1.0
2832,0.0
3594,1.0
3886,1.0
3845,1.0
3386,0.0
2307,1.0
3238,1.0
2812,1.0
2733,1.0
2101,1.0
2849,0.0
2496,1.0
3289,1.0
2082,0.0
2153,0.0
3427,1.0
3882,1.0
3337,1.0
2582,0.0
3360,1.0
2761,1.0
3222,1.0
2557,1.0
2008,0.0
3251,1.0
3788,1.0
2062,1.0
3413,1.0
2795,1.0
3675,1.0
3823,1.0
3941,0.0
3392,1.0
2194,1.0
3568,0.0
3168,1.0
3229,1.0
2200,0.0
2721,1.0
2656,1.0
3900,1.0
3926,1.0
3662,1.0
3938,1.0
3092,0.0
2874,1.0
3402,0.0
2492,0.0
3500,0.0
3024,1.0
2388,0.0
3730,1.0
2325,1.0
2193,1.0
2324,1.0
3264,1.0
3674,1.0
3035,0.0
2906,1.0
3140,1.0
2597,0.0
3443,1.0
2646,1.0
3996,0.0
3421,0.0
2673,0.0
3767,1.0
3067,1.0
3689,1.0
3976,0.0
3013,1.0
3352,1.0
2738,1.0
3702,1.0
2607,1.0
3816,1.0
3051,1.0
2157,1.0
3316,1.0
2787,1.0
2676,0.0
3179,0.0
3211,0.0
3549,1.0
3347,1.0
3784,1.0
3359,1.0
2548,0.0
3114,0.0
2421,0.0
2518,0.0
3744,1.0
3951,1.0
2051,0.0
2549,0.0
2348,1.0
3764,0.0
