,x1,x2,x3
3145,-1.2809356,-0.36545715,0.6392498
2485,-0.3752574,-1.4947848,0.6990184
3357,-1.0280691,-0.15232128,0.6240469
3474,0.41029736,-0.7222623,0.60368586
3446,-0.8459374,-1.2719556,0.69349957
2322,-0.33989906,-0.23145512,0.6679082
3225,-0.384522,0.51999426,0.54938865
3536,-0.2011289,-1.4440866,0.6417483
2519,-2.027256,-2.217514,0.78311825
2112,-0.085626625,-0.80127007,0.62843627
2542,0.42317522,-1.1049178,0.6668722
2791,-0.47700575,-0.272139,0.60711724
3449,-0.5535931,-0.8573,0.67105997
3130,-0.9685538,-2.220353,0.7485197
2880,-0.47602832,0.5094471,0.5280636
2909,0.11444181,-0.93059117,0.6181279
2211,-1.0498334,-1.0810127,0.7316407
2317,0.30819088,0.45988518,0.63708603
2634,-0.6504326,0.019630993,0.5981897
3005,-1.9539186,-2.7702885,0.7975386
3508,-1.6503872,-2.6738906,0.77672637
2590,-0.070186615,0.61231464,0.58929545
3487,-0.8641398,0.15018988,0.6156142
2901,-1.548388,-0.8402913,0.71183926
3634,-0.35274813,-0.24009395,0.6438202
2278,-0.4426873,-1.0386895,0.6440139
2403,0.9305335,-0.4064151,0.5837114
2269,-0.54805285,-0.40565544,0.6075344
3836,-0.967958,-1.172917,0.6859197
3804,-0.29573435,1.1668625,0.5494359
2047,-0.4555497,-0.757658,0.6404993
3007,-0.0015719831,-0.44830257,0.586444
2422,-0.7256942,-2.3423908,0.7494805
2316,0.13077311,-0.24881257,0.64875096
3796,-0.8707612,0.037201762,0.5736091
3847,-1.3242449,0.1011368,0.61619776
2919,0.40707794,-0.07708207,-0.3939526
3819,-1.0839646,-0.47717342,0.64113396
3248,-0.6150581,-0.4832675,0.66167593
3199,-0.3424493,-0.7961706,0.66062546
2133,0.09877514,-1.0132177,0.671577
2003,-1.0676278,-2.3538585,0.7449382
3138,-0.017036099,0.23344044,0.6013885
2247,-1.4498059,-1.073338,0.70299804
3088,-1.8935298,-0.52990675,0.63939905
3800,-1.0698632,0.35543513,0.6119042
3886,-1.2230479,-2.9602606,0.80977213
2587,-0.7066012,-0.8832304,0.64462876
2693,-0.45825627,-1.1217043,0.72757685
2616,-1.6731116,-1.0768442,0.8017236
2940,-1.1449503,0.11114073,0.62728816
3393,-0.3423346,-1.9305696,0.75922906
3659,0.1751684,-0.9092668,0.70165884
