ix,goal_cost,intv_cost
3182,0.79,1.9
3859,0.7509999871253967,1.0
2600,0.758,1.1
2653,0.756,1.7
3871,0.761,2.0
2061,0.759,1.6
2748,0.762,2.0
3399,0.751,2.9000000000000004
3694,0.77,4.0
2942,0.767,1.9
2932,0.76,9.0
3715,0.758,0.9
3508,0.761,5.7
2829,0.777,1.1
3372,0.765,0.9
2317,0.778,1.8
3396,0.764,6.3999999999999995
3582,0.771,1.9
2140,0.7580000162124634,2.0
2386,0.7639999985694885,1.0
2398,0.77,1.9
2245,0.779,1.7
2179,0.768,0.9
3634,0.79,1.1
2990,0.769,1.1
3678,0.765,1.3
2894,0.754,4.2
2955,0.809,1.8
2563,0.763,3.1
2012,0.752,1.3
3436,0.795,1.8
3221,0.755,4.0
2887,0.786,2.2
3536,0.752,2.8
2023,0.775,0.8
3242,0.775,1.4
2960,0.756,1.2
2214,0.758,0.7
2917,0.778,0.6
3645,0.766,5.4
3692,0.76,4.4
3580,0.752,0.7
3161,0.764,0.6
3744,0.753,1.7
2801,0.775,0.9
3731,0.786,1.0
3546,0.759,2.7
3052,0.767,5.199999999999999
2914,0.764,2.5
2554,0.784,0.7
3926,0.787,0.7
2174,0.784,1.1
2800,0.768,4.2
2819,0.769,2.7
2940,0.795,1.1
2777,0.776,1.1
3780,0.752,1.9
2020,0.767,0.7
2676,0.767,1.7
2192,0.76,2.1
2644,0.798,1.3
3073,0.754,2.2
2240,0.789,1.0
3979,0.755,4.1
3425,0.7590000033378601,1.5
2005,0.76,1.8
2128,0.7689999938011169,0.5
3956,0.784,1.7
2247,0.751,1.8
3270,0.751,1.7
3693,0.761,2.5
2290,0.756,4.5
2798,0.756,1.7000000000000002
2412,0.763,2.6
2021,0.781,2.1
2208,0.752,7.7
2592,0.756,1.8
2065,0.753,3.4
2618,0.753,3.9
2149,0.771,1.6
3174,0.767,3.6
2067,0.7609999775886536,2.0
2109,0.751,5.6
3202,0.774,1.1
3086,0.765,3.5999999999999996
3687,0.761,1.4
3873,0.811,2.3
3992,0.7540000081062317,1.5
2191,0.771,3.4000000000000004
2493,0.751,3.3
3119,0.776,1.1
2687,0.768,3.2
3173,0.763,3.5
2209,0.754,4.9
3485,0.774,1.1
3749,0.786,1.1
2076,0.761,6.0
3310,0.77,2.5
3406,0.769,5.7
3205,0.783,0.8
2432,0.785,1.1
2410,0.755,3.0
2111,0.781,2.6
3603,0.761,1.8
3032,0.769,0.8
3712,0.786,1.6
3783,0.76,1.4
3000,0.767,3.5999999999999996
2548,0.778,0.5
3902,0.757,0.8
3042,0.76,3.5
2152,0.837,1.5
2602,0.758,0.8
3916,0.763,0.9
3348,0.756,0.6
3659,0.752,1.6
3664,0.772,1.8
2015,0.755,0.8
2864,0.753,5.0
2809,0.792,0.7
2567,0.811,1.3
3983,0.775,1.4
3350,0.751,0.6
2692,0.807,1.9
2362,0.758,1.4
2282,0.756,7.0
3312,0.773,0.9
2519,0.765,5.5
3990,0.756,0.9
2920,0.764,1.5
2223,0.7799999713897705,1.5
2304,0.782,1.2
3487,0.797,1.1
3540,0.78,3.6
2126,0.763,0.8
3338,0.768,1.7
3638,0.754,3.8
3524,0.751,1.3
3123,0.7590000033378601,1.5
2383,0.759,1.1
2538,0.7910000085830688,1.5
2184,0.759,3.1
2612,0.79,2.6
2949,0.78,2.3
3152,0.765,1.8
3280,0.766,1.4
2921,0.761,1.9000000000000001
2229,0.767,1.0
3195,0.79,1.2
3755,0.795,1.7
3044,0.763,2.1
2230,0.757,4.9
2568,0.775,0.8
2876,0.773,1.5
3089,0.789,1.3
2793,0.765,1.9000000000000001
2642,0.758,2.3000000000000003
3855,0.773,1.8
2266,0.755,1.7
2533,0.769,2.2
2474,0.789,1.1
2857,0.757,1.7999999999999998
3357,0.795,1.3
3503,0.763,0.7
3371,0.754,1.3
3644,0.762,1.9000000000000001
3922,0.766,2.0
3778,0.772,0.8999999999999999
2803,0.754,3.5
3931,0.776,2.3
2196,0.777,1.4
3048,0.777,3.0
3035,0.7689999938011169,0.5
3134,0.754,1.8
2032,0.789,1.4
3957,0.789,1.6
3910,0.76,6.9
2728,0.764,4.7
3254,0.765,5.3
3186,0.776,0.8
2431,0.791,1.6
3557,0.764,1.3
2561,0.777,0.9
2502,0.752,5.8
2840,0.752,4.4
3989,0.752,6.300000000000001
2141,0.7639999985694885,1.0
3127,0.776,1.6
2718,0.775,0.8
3316,0.761,8.4
3707,0.772,1.6
2669,0.753,2.8
2576,0.771,3.4000000000000004
2521,0.772,0.5
2639,0.751,5.3
3216,0.7839999794960022,1.0
2632,0.7630000114440918,1.5
3065,0.767,3.0
3807,0.766,6.4
3304,0.756,1.6
