,x1,x2,x3
2198,0.5,0.0,6.1
3400,0.1,-0.0,1.6
2658,0.0,-0.0,0.8
3579,-0.0,-0.1,7.9
3611,0.6,0.0,6.0
3080,0.0,0.0,0.5
2010,0.4,0.0,0.0
3386,0.1,-0.1,3.8
2349,-0.0,0.0,5.4
3695,0.5,0.0,2.6
3174,-0.0,0.0,2.8
2236,0.1,1.3,0.0
2170,0.0,0.0,1.8
2421,0.0,-0.0,0.1
3028,-0.0,0.0,5.1
3151,0.0,0.0,2.4
3675,-0.0,-0.0,3.3
3007,-0.0,-0.0,4.6
3919,-0.0,-0.0,2.2
2087,-0.0,-0.0,1.3
3715,0.8,1.0,0.0
3906,1.4,0.0,0.0
3965,-0.0,-0.0,3.2
2948,-0.0,0.0,2.5
3970,0.0,0.3,0.0
2609,-0.0,-0.0,3.3
3569,0.1,-0.0,2.0
2872,0.0,-0.0,4.2
2188,0.0,0.0,3.2
3376,0.0,0.3,-0.0
2859,0.1,0.2,-0.0
3794,-0.0,0.1,-0.0
2915,0.0,0.0,4.3
3162,0.2,0.0,3.4
2184,0.0,-0.0,6.1
2747,0.0,0.0,0.3
2418,0.0,0.1,0.0
2824,0.9,-0.0,-0.0
3688,1.7,0.0,0.0
2789,0.0,0.0,4.2
2707,0.5,-0.0,0.0
2861,0.0,-0.0,2.8
2137,-0.0,0.0,1.4
3324,0.0,0.0,4.1
2585,-0.0,-0.0,1.8
2934,0.0,0.0,0.7
2803,0.9,-0.0,0.0
2069,0.0,-0.0,2.8
3227,-0.0,-0.0,2.1
3714,0.2,-0.0,6.3
3059,-0.0,0.0,4.1
3066,0.8,0.0,-0.0
3245,0.0,0.0,5.4
2745,0.0,0.0,2.4
3807,0.4,3.7,-0.0
2090,0.0,-0.0,3.5
2686,1.3,-0.0,-0.0
3737,-0.0,-0.0,1.9
3916,0.5,-0.0,0.0
3098,1.0,2.3,0.0
2427,0.1,0.2,0.0
2218,-0.0,0.0,2.4
3216,0.2,-0.0,0.9
2153,-0.0,-0.0,5.0
2881,0.3,0.0,-0.0
2574,0.7,-0.0,0.0
3253,-0.0,-0.0,3.6
2796,0.0,-0.0,4.5
2899,0.1,0.8,0.0
2126,0.0,-0.0,2.6
3032,0.0,-0.0,4.6
2599,-0.0,0.1,1.8
3940,0.0,0.0,2.4
3262,0.0,-0.0,2.5
3371,0.3,-0.0,0.0
2059,0.1,-0.0,-0.0
3702,-0.0,0.0,2.9
2510,0.6,2.1,0.0
3625,0.2,-0.0,3.1
3336,0.0,0.0,3.0
3078,-0.0,0.0,0.5
2536,0.2,0.0,-0.0
3248,-0.0,0.1,4.6
3289,0.1,-0.0,4.0
3351,0.1,-0.0,0.4
3700,-0.0,-0.0,2.2
2921,0.4,0.0,0.0
3383,0.1,0.0,3.3
3511,0.3,-0.0,0.0
3817,-0.0,-0.0,0.4
3593,0.1,-0.0,2.0
3288,1.6,0.0,-0.0
3771,0.0,0.0,2.6
3992,0.0,0.0,4.3
