,x1,x2,x3
3369,-1.5661991,-2.3860512,-5.680786
3347,-0.771096,-0.4165438,-1.4197572
2595,0.6721984,-0.3847618,0.117868185
3899,-1.861618,-1.989924,-4.0110335
3278,-1.5314728,-0.7112056,-3.971731
2952,-0.4177341,-1.6912088,-0.9058175
3569,-0.4842195,-1.0080357,-1.3924167
2418,0.13330723,-0.47664094,0.3973233
2392,-1.1940726,-0.52187157,-1.3326315
2243,-0.75496256,0.027271211,-0.19855219
2873,-0.46617174,-0.731701,-2.0591955
2709,0.8410541,-0.011264443,-0.89402556
3645,-1.7365509,-1.3358061,-4.902407
2071,-1.0519803,-2.0651367,-3.1774714
2000,-1.8328781,-1.032583,-0.60569596
2695,-0.18149441,-0.7999704,-1.8982425
3955,-0.4914925,-0.29911056,-0.6380745
2331,-0.86834705,-1.6435397,-0.39988995
3363,-0.58282876,0.013861597,-0.025571525
3628,0.38148317,-0.9191328,0.29876387
3279,0.23112337,0.5461798,-0.6529282
2124,-0.9466019,-1.3131714,-1.8542764
3950,-0.9650659,-1.8216249,-3.3775082
2245,-0.6538948,-1.6340185,-2.0866961
2133,-1.3045652,-0.5526648,-2.5415962
3489,-1.9712284,-1.4747761,-3.972314
2807,0.29753712,0.5378166,-1.0728409
2479,-1.6567334,-1.0450144,-0.56319976
3992,-2.0757616,-1.5503631,-3.573791
3940,-0.4637381,-2.08563,-1.8488986
2416,-0.9782328,-2.5723715,-3.7981567
3763,-1.1599001,-1.5986866,-2.318784
2934,-0.5810916,-0.7032188,-0.17027372
2152,-2.1973944,-1.7041566,-4.767433
2214,-1.3958528,-3.3215628,-3.1709132
2036,-0.34377375,-0.9246068,-2.026698
3934,-0.85072887,-1.9669274,-2.0375903
2054,-1.4188143,0.16818619,-0.6959263
2475,-1.1591375,-1.4751892,-4.4178753
2376,-1.8560922,-3.0511236,-6.2321663
3843,0.4156963,-0.42225173,0.23124057
3949,-1.3244632,-2.1237402,-4.441369
2795,-1.2429402,-2.6117685,-2.8669295
2409,-0.83949035,-0.42590025,-1.6960046
3444,-1.621737,-0.5845127,-2.5309842
3680,-0.5314051,0.68848526,-0.16411531
2395,-0.95896953,-1.3919675,-3.6545944
3796,-0.74537903,-0.1751827,-2.1716566
3995,0.1491596,0.20201448,0.1756156
3284,-0.24534124,-0.61125696,0.15903164
3965,-1.0958067,-0.17130846,-2.6117709
2573,-0.6315413,-0.28329867,0.0055784583
2324,-0.10203411,-1.1682305,-2.1873252
2906,-0.55597216,-0.24703982,-2.0031686
3956,-0.57922965,-0.24239779,-0.5946989
2652,-2.1080122,-2.7983692,-6.4558716
3746,-0.115453534,-1.3874612,-2.7548957
3176,-2.2331114,-2.8228476,-5.737199
2213,-0.6515029,-1.8660562,-2.211455
2509,0.19881417,-1.1385736,-0.46215516
2620,0.2412201,-0.6069122,-0.045155108
3618,-0.74200916,-0.20867854,-1.7405605
2707,0.078348644,-1.4194757,-0.51436853
2125,-0.7930847,0.91209346,0.49930507
3817,-0.19118017,0.9503378,0.15563202
3739,-0.54693824,0.08291203,-0.6187726
2987,-1.8073137,-1.7253488,-5.3400083
3010,-0.81980187,-1.7821944,-2.6563442
3472,0.18377003,-0.023572877,-0.41604608
2922,-1.6953764,-0.9319837,-3.9853532
3477,-0.8124011,-0.8288335,-0.10729408
3906,-1.5109209,-0.08468473,-2.2736723
3352,-1.0756831,-1.8642443,-5.0091763
3398,0.264669,0.94921476,-0.08460343
