ix,goal_cost,intv_cost
2908,1.0,0.2
2891,1.0,2.1
2547,1.0,0.2
2517,1.0,0.5
3850,1.0,3.3
3173,1.0,3.0
2411,1.0,1.3
2452,1.0,5.7
3103,1.0,0.6
2550,1.0,0.8
2048,1.0,2.9
3709,1.0,4.8
3253,1.0,3.7
3146,1.0,3.1
2069,1.0,2.8
2459,1.0,0.9
3889,1.0,0.4
2443,1.0,0.5
2809,1.0,0.4
2677,1.0,4.0
2200,1.0,2.9
2606,1.0,0.5
2349,1.0,5.4
3177,1.0,4.4
2664,1.0,2.6
2301,1.0,4.9
3180,1.0,2.9
2325,1.0,1.0
3612,1.0,3.4
3538,1.0,4.3
2409,1.0,2.4
2839,1.0,0.6
3018,1.0,1.3
3644,1.0,0.4
2081,1.0,0.4
3123,1.0,0.5
2298,1.0,1.2
2694,1.0,1.0
3988,1.0,4.0
3229,1.0,2.6
2050,1.0,2.7
2376,1.0,7.0
3635,1.0,0.3
3183,1.0,0.1
2871,1.0,0.2
2543,1.0,4.4
3205,1.0,2.5
3531,1.0,0.9
2227,1.0,2.3
3739,1.0,1.2
3176,1.0,6.5
3586,1.0,1.6
3615,1.0,3.2
3494,1.0,0.4
3995,1.0,0.3
2521,1.0,3.5
2704,1.0,1.3
3962,1.0,1.2000000000000002
3167,1.0,2.6
2212,1.0,1.2000000000000002
2243,1.0,0.9
3451,1.0,3.1
2312,1.0,2.3
2859,1.0,0.3
2110,1.0,1.3
3938,1.0,3.9
3886,1.0,0.2
2661,1.0,2.3
2812,1.0,5.199999999999999
2303,1.0,0.6
2995,1.0,3.2
2124,1.0,2.5
3338,1.0,6.5
3816,1.0,1.0
3970,1.0,0.3
3431,1.0,2.0
3601,1.0,2.9
2992,1.0,1.7
2553,1.0,0.6
2949,1.0,0.5
2427,1.0,0.3
3735,1.0,2.8
3506,1.0,1.8
3413,1.0,2.6
3906,1.0,2.9
2338,1.0,0.2
2894,1.0,3.1
2760,1.0,1.7
2775,1.0,6.3
2082,1.0,3.5
2743,1.0,1.8
3483,1.0,1.5
2719,1.0,3.0
2372,1.0,1.3
3378,1.0,6.3999999999999995
3318,1.0,4.6
2188,1.0,3.2
2494,1.0,2.2
3463,1.0,5.0
3688,1.0,3.7
3508,1.0,5.6
2254,1.0,3.1999999999999997
2020,1.0,1.6
3278,1.0,4.6
3127,1.0,2.3
3750,1.0,3.1
2555,1.0,3.4
2099,1.0,0.5
3715,1.0,1.9
2488,1.0,0.7
2297,1.0,2.7
2045,1.0,4.0
3954,1.0,0.4
3242,1.0,1.4
3450,1.0,2.0
2255,1.0,3.9
2846,1.0,0.8
3071,1.0,3.3000000000000003
3732,1.0,2.8000000000000003
3227,1.0,2.1
3408,1.0,0.7
3775,1.0,0.9
2177,1.0,5.3
3664,1.0,0.2
3903,1.0,1.7
2866,1.0,1.0
2132,1.0,3.3
3420,1.0,3.0
3437,1.0,0.9
2468,1.0,3.0
3394,1.0,3.5
3454,1.0,5.8999999999999995
3482,1.0,0.2
3046,1.0,4.3
3642,1.0,2.9
3261,1.0,4.8
2528,1.0,0.7
3219,1.0,1.3
2587,1.0,0.5
2145,1.0,4.1
3449,1.0,3.2
2865,1.0,0.6
2436,1.0,2.4
3725,1.0,4.8
3226,1.0,0.8
2121,1.0,2.6
3391,1.0,4.3
3334,1.0,0.7
2652,1.0,7.2
2790,1.0,2.5
2601,1.0,5.5
3487,1.0,2.4
3217,1.0,0.1
2645,1.0,0.4
2054,1.0,1.3
2011,1.0,3.0
3259,1.0,2.7
2214,1.0,4.7
3880,1.0,2.1
2487,1.0,2.4
2157,1.0,1.1
3977,1.0,3.3
2795,1.0,3.5
3668,1.0,1.8
2815,1.0,1.9
2695,1.0,2.4
3457,1.0,2.9
2878,1.0,1.4
3323,1.0,3.5
2873,1.0,2.6
2125,1.0,0.1
3630,1.0,0.2
2456,1.0,0.4
3138,1.0,0.4
3288,1.0,3.2
3525,1.0,0.7
2275,1.0,2.4
3514,1.0,2.0
2380,1.0,1.1
3300,1.0,1.0
3534,1.0,0.2
2881,1.0,0.5
2636,1.0,1.4000000000000001
2501,1.0,2.0
3136,1.0,3.6
2781,1.0,5.2
2780,1.0,1.4000000000000001
3922,1.0,0.7
2351,1.0,0.4
2802,1.0,2.3
3023,1.0,3.5
2965,1.0,0.9
3623,1.0,0.1
2669,1.0,1.7
3304,1.0,3.8000000000000003
3442,1.0,0.7
3963,1.0,3.8
3597,1.0,5.3
2264,1.0,2.8000000000000003
3948,1.0,1.1
