ix,goal_cost,intv_cost
3328,0.756,6.6
3315,0.796,1.1
2410,0.756,4.6
3382,0.7630000114440918,1.5
3431,0.796,1.2
2122,0.754,4.0
2200,0.753,1.8
3010,0.7799999713897705,2.0
2171,0.754,4.8
3419,0.7549999952316284,1.0
2581,0.783,1.0
2372,0.76,0.9
3393,0.777,1.7
2795,0.772,5.0
2873,0.764,1.3
2035,0.774,1.3
2420,0.772,2.1
2380,0.769,2.6
3590,0.752,1.2
3892,0.755,3.5
3748,0.7699999809265137,1.5
2602,0.764,3.0
2293,0.765,1.3
2328,0.782,1.6
2959,0.765,0.6
3625,0.761,1.4
3850,0.755,1.1
2601,0.7580000162124634,2.5
2797,0.767,1.7
3383,0.753,3.0
3992,0.756,4.8
3439,0.763,1.3
2968,0.761,4.300000000000001
3374,0.762,1.0
3108,0.754,1.6
3890,0.773,0.9
2727,0.779,2.6
2599,0.755,2.0
3290,0.779,0.9
3316,0.774,0.8
3389,0.754,0.9
2817,0.76,2.7
2198,0.761,5.9
2517,0.769,1.1
3130,0.7789999842643738,2.0
2278,0.773,3.4000000000000004
3192,0.76,4.7
2920,0.772,5.2
2013,0.758,0.8
2223,0.7630000114440918,1.5
2789,0.772,4.5
3028,0.793,2.3
2071,0.751,4.199999999999999
2855,0.757,0.7
3926,0.766,0.7
3454,0.761,6.800000000000001
3948,0.772,1.3
3762,0.754,4.0
3133,0.767,5.2
2905,0.756,2.4
2407,0.7609999775886536,1.0
2255,0.759,3.7
3826,0.781,0.6
3806,0.783,2.0
3972,0.762,1.7
2620,0.779,1.7000000000000002
2140,0.758,4.4
2770,0.764,5.1
2529,0.7770000100135803,1.5
3294,0.759,1.3
2067,0.757,4.3
3351,0.755,0.8
3405,0.756,1.4
3205,0.776,3.1
2190,0.765,1.8
2228,0.762,2.1
3899,0.759,5.1
2612,0.767,1.0
2733,0.7710000276565552,1.5
3337,0.788,1.2
3248,0.76,2.2
3950,0.762,4.0
2047,0.775,2.4
3306,0.763,0.8
3413,0.79,1.1
3080,0.751,1.4
2663,0.771,2.4
3601,0.767,3.6
3361,0.761,4.0
2585,0.767,1.3
3391,0.757,4.4
2859,0.753,0.9
2572,0.787,2.3
2152,0.762,2.6
3496,0.752,4.6
3176,0.773,3.1
2087,0.766,0.9
2780,0.774,0.9
3041,0.772,3.8
2505,0.778,1.9
3289,0.769,3.0
3154,0.794,0.8
2217,0.7770000100135803,2.0
2741,0.78,1.7
3721,0.772,2.7
3482,0.77,0.7
2097,0.777,2.0
2574,0.7670000195503235,1.0
3235,0.781,0.8
2680,0.781000018119812,0.5
2347,0.754,0.7
3922,0.796,0.9
2869,0.754,5.7
2172,0.759,1.2
2379,0.7789999842643738,1.0
2531,0.802,1.4
2908,0.787,0.6
3269,0.766,2.9
3692,0.763,1.7
3695,0.774,1.7
3556,0.761,2.5
2456,0.764,0.6
2528,0.883,1.3
2806,0.773,2.3
2174,0.765,3.9000000000000004
2911,0.7739999890327454,2.0
3517,0.76,1.5
3253,0.764,1.4
3978,0.785,0.6
2813,0.758,2.2
2935,0.763,1.3
2117,0.762,0.9
3534,0.775,0.6
2254,0.752,3.7
2609,0.759,3.5
3559,0.764,3.9000000000000004
2074,0.767,3.6
3169,0.775,1.2
3471,0.751,5.5
2136,0.762,2.2
3059,0.819,2.0
2262,0.755,2.0
2847,0.759,0.6
2169,0.751,1.6
2950,0.822,1.1
3259,0.781,1.1
2955,0.759,5.1
3353,0.756,0.9
3642,0.759,3.1
3098,0.767,1.9
2479,0.767,1.8
2227,0.751,4.0
2607,0.756,2.2
2163,0.753,0.7
2527,0.768,0.8
2885,0.774,1.5
3109,0.771,1.5
2480,0.76,3.1
2048,0.766,1.7
3740,0.757,2.3000000000000003
3588,0.759,0.7
3185,0.767,1.6
3136,0.754,2.2
2557,0.755,0.9
3058,0.76,0.5
3135,0.751,2.8
3442,0.786,0.7
3661,0.7829999923706055,1.0
3134,0.763,3.6
3112,0.759,4.3
3973,0.786,1.6
2100,0.786,1.4
3825,0.754,4.1
2861,0.782,1.7
3982,0.77,4.1
3688,0.754,3.6
3913,0.757,5.6
3886,0.765,1.2
2486,0.753,3.5
3510,0.753,1.4
2399,0.761,1.3
3511,0.774,0.9
2452,0.765,2.6
3493,0.764,2.3
3565,0.766,1.6
2449,0.769,1.0
3940,0.778,1.9
2162,0.755,3.5999999999999996
3305,0.757,0.9
2246,0.758,2.6
3487,0.774,1.2
3438,0.786,1.3
3227,0.762,2.5
3993,0.776,0.9
2463,0.756,3.9
3595,0.778,0.9
2807,0.769,0.8
3032,0.755,5.9
3146,0.7509999871253967,1.5
3411,0.771,1.0
