,y_hat
2159,False
3951,False
2468,False
2815,False
2555,False
3709,False
3469,False
3335,False
3903,False
3341,False
2420,False
2911,False
3110,False
3138,False
2479,False
2950,False
3633,False
2601,False
2345,False
2399,False
3611,False
2568,False
3005,False
2470,False
2114,False
3205,False
3442,False
2921,False
3544,False
3088,False
3213,False
2967,False
3747,False
2753,False
3762,False
3569,False
2181,False
2894,False
2965,False
3645,False
2082,False
2790,False
3041,False
3732,False
3692,False
3590,False
2664,False
2739,False
2218,False
3404,False
3510,False
2013,False
3405,False
3612,False
3247,False
2979,False
2375,False
2421,False
2125,False
2069,False
2188,False
2152,False
3687,False
2695,False
3881,False
3524,False
2117,False
3846,False
3750,False
2121,False
3228,False
2198,False
2383,False
3829,False
3715,False
2177,False
2358,False
3596,False
2092,False
2245,False
2685,False
3775,False
3887,False
2340,False
3393,False
2254,False
2110,False
3555,False
2071,False
2436,False
2612,False
3592,False
2932,False
3343,False
2694,False
2850,False
3565,False
3691,False
2214,False
2521,False
3522,False
2130,False
2602,False
2873,False
3697,False
3449,False
3437,False
2112,False
2680,False
2261,False
2852,False
3435,False
3227,False
2797,False
3450,False
3265,False
3074,False
3888,False
3441,False
3644,False
3494,False
2968,False
3271,False
2591,False
2122,False
3010,False
2078,False
2007,False
3290,False
2195,False
3434,False
3792,False
3377,False
2459,False
3369,False
2237,False
2055,False
3402,False
3358,False
3058,False
3523,False
3538,False
2970,False
2031,False
2527,False
2553,False
2006,False
3203,False
3760,False
2035,False
2147,False
2853,False
2659,False
3595,False
3298,False
3615,False
2270,False
2799,False
3169,False
2146,False
2545,False
3107,False
3353,False
2067,False
2100,False
2598,False
2570,False
3127,False
3806,False
2170,False
2789,False
3098,False
2448,False
3261,False
2317,False
2714,False
3714,False
2806,False
3891,False
2847,False
3893,False
2650,False
2087,False
3617,False
3400,False
3807,False
3923,False
2821,False
2128,False
3916,False
2274,False
2633,False
3338,False
2533,False
2773,False
2830,False
2328,False
3373,False
3735,False
2204,False
