,y
2292,0.0
2370,0.0
2332,0.0
3236,0.0
2886,0.0
2749,0.0
2215,0.0
2746,0.0
2323,0.0
3150,0.0
3899,0.0
3460,0.0
2353,0.0
2789,1.0
3376,0.0
2266,1.0
2175,0.0
3189,0.0
3873,0.0
2735,1.0
2333,0.0
3151,0.0
2427,0.0
3366,0.0
2876,0.0
3390,0.0
3113,0.0
3058,0.0
3836,0.0
2959,1.0
2967,0.0
3630,0.0
3575,0.0
3970,0.0
3956,1.0
2161,0.0
3820,0.0
2507,0.0
3513,0.0
2059,0.0
2302,0.0
2196,0.0
2906,0.0
2553,0.0
2867,0.0
2117,0.0
2138,0.0
2587,0.0
3175,0.0
2375,0.0
3908,0.0
3821,1.0
3731,0.0
2638,0.0
3360,0.0
3591,0.0
2688,0.0
2786,1.0
3556,0.0
2450,0.0
3767,0.0
3021,0.0
3932,0.0
3680,0.0
3204,0.0
3322,0.0
2617,1.0
2121,0.0
2224,1.0
3760,0.0
3396,0.0
3614,0.0
2543,0.0
3688,1.0
2680,0.0
2432,0.0
3419,0.0
3339,0.0
2134,0.0
2355,0.0
2667,0.0
2260,0.0
2106,0.0
2672,0.0
2159,1.0
2128,0.0
3557,0.0
3457,0.0
2046,0.0
3456,0.0
3083,0.0
3166,1.0
2768,0.0
2678,0.0
2709,0.0
2497,0.0
2723,0.0
2661,0.0
3337,0.0
3835,0.0
3550,0.0
3535,1.0
2802,0.0
3314,0.0
2479,0.0
3149,0.0
2603,0.0
2437,0.0
3568,0.0
2440,0.0
2557,0.0
3694,1.0
3096,0.0
2539,0.0
3251,0.0
2183,0.0
2350,0.0
2629,0.0
2363,0.0
2999,0.0
2188,0.0
3272,0.0
3292,0.0
3416,0.0
3033,0.0
2389,0.0
2003,0.0
2165,0.0
3672,0.0
2814,0.0
2712,0.0
3440,1.0
3993,0.0
3607,0.0
3527,0.0
3363,0.0
2596,0.0
3409,0.0
3690,1.0
3885,0.0
2585,0.0
3786,1.0
3423,1.0
3980,0.0
3839,0.0
3933,0.0
2381,0.0
2325,1.0
3373,0.0
3702,0.0
3022,1.0
2193,0.0
3406,1.0
2335,0.0
2809,1.0
2777,0.0
3721,0.0
3995,0.0
2996,1.0
2828,0.0
2850,0.0
3437,0.0
3612,1.0
3740,1.0
2468,0.0
3133,0.0
2935,0.0
2726,0.0
2892,0.0
3713,0.0
2961,1.0
2416,0.0
3424,0.0
3797,0.0
2279,0.0
3634,0.0
2285,0.0
3346,0.0
2208,0.0
2471,0.0
2032,0.0
3949,0.0
2745,0.0
2593,0.0
2198,0.0
2200,0.0
2033,0.0
3372,0.0
3888,0.0
2514,0.0
3082,0.0
3071,0.0
3111,0.0
3876,0.0
3295,1.0
3902,0.0
2123,0.0
2933,0.0
3476,0.0
3982,0.0
