,x1,x2,x3
2587,0.026837032,-0.43504855,-1.2018025
3575,-1.0389342,-1.1180845,-2.2344263
2095,-1.7546228,0.52645504,0.17788804
3200,0.5410253,-1.6005219,-1.801949
2168,-1.4931434,-0.8260677,-2.4523582
3276,-0.53011644,-0.17054722,-0.30842143
3750,-1.7597775,-2.1257112,-4.2078886
2088,-1.1447685,-0.13334155,0.08533847
3064,-0.8731473,-1.5293636,-2.7975597
3298,-0.4809553,-1.4265848,-2.9778275
2071,-0.8709717,-1.5779012,-1.4418577
3820,-0.7226298,0.95713186,-0.510507
3302,-1.7567242,-2.8151584,-3.563737
2145,-0.91863185,-1.0934336,-2.490981
3031,-0.1259807,-0.28124982,-0.9546355
2539,-1.5155544,-1.8304957,-5.0306334
3954,-0.52528507,-0.8663586,-1.0202651
3966,-1.5038948,-0.5845152,-1.5626624
3794,-0.26356328,0.88815105,-1.1502035
2889,0.2172952,-2.5313551,-1.7978592
2556,-0.9558705,0.03674215,-0.8927206
3161,-0.9444098,-0.86549133,-2.6392434
2917,0.14358285,-1.1337456,-0.8392382
3834,-1.1187521,-3.1842227,-4.4202323
3404,-1.0242008,-0.106527984,-0.505439
2835,-2.1436803,-1.1211436,-4.24205
2571,-0.111863784,0.010303661,0.18370831
3949,-0.4113945,-1.0421566,-2.3197076
2057,-0.3318634,-2.6995966,-3.1114602
3631,0.4196963,0.06735584,0.41424093
2830,0.026672928,0.75838786,0.49978906
2599,-0.27910462,-0.5821808,-1.5902493
2497,-2.5730014,-2.2318654,-4.8040924
3523,0.15369621,-1.7722903,-2.03489
3458,-0.96458507,-0.9170118,-2.2860088
3502,-1.0735666,-2.0258567,-5.9442387
3628,-0.0045072413,-1.4819785,-2.750543
3817,-0.4195072,-1.409348,-0.31271398
3991,-0.61699843,-1.2125108,-0.8934551
2883,-0.68391305,-2.089086,-4.0198627
3545,0.6685151,-2.9913902,-2.5680676
2379,-0.8194227,-0.6077616,-1.3689021
