,x1,x2
2587,0.7,-0.0
3575,1.5,1.8
2095,1.9,0.4
3200,0.1,0.0
2168,2.2,-0.0
3276,1.2,0.0
3750,2.7,2.3
2088,2.1,0.3
3064,1.6,-0.0
3298,1.3,0.0
2071,1.7,-0.0
3820,0.2,0.7
3302,2.6,3.1
2145,1.7,0.0
3031,0.7,0.0
2539,1.9,2.5
3954,1.3,0.0
3966,1.8,1.4
3794,0.2,0.3
2889,0.3,3.1
2556,1.8,-0.0
3161,1.6,0.0
2917,0.6,0.0
3834,1.6,3.7
3404,1.8,-0.0
2835,2.5,1.8
2571,0.8,0.0
3949,1.1,0.0
2057,0.9,3.3
3631,0.2,-0.0
2830,0.3,0.1
2599,0.9,0.0
2497,3.2,0.0
3523,0.7,2.1
3458,1.7,-0.0
3502,1.9,0.0
3628,0.7,1.9
3817,1.3,1.5
3991,1.3,0.0
2883,2.1,0.0
3545,0.1,0.0
2379,1.4,0.0
3600,2.0,0.0
3077,0.7,2.1
2661,1.0,0.0
2593,1.6,0.0
2378,1.5,-0.0
3204,2.5,3.6
3198,0.9,1.4
2843,0.8,1.6
3339,0.7,0.0
3731,2.0,-0.0
2657,2.5,2.3
3280,1.4,0.0
2701,1.7,-0.0
2677,0.6,1.7
2138,1.1,-0.0
2630,1.0,0.0
3480,1.3,0.1
2142,1.3,-0.0
2725,1.0,0.2
3222,1.2,0.0
2395,1.0,0.0
2076,2.8,0.0
3815,0.5,-0.0
3009,2.3,-0.0
2949,1.4,0.0
2863,0.4,0.4
3603,0.1,0.0
3213,1.6,0.0
2197,1.4,0.3
2074,0.5,-0.0
2753,2.4,-0.0
3097,1.7,0.0
3678,1.3,2.8
3149,1.4,0.0
3369,0.8,-0.0
3780,2.8,-0.0
3971,1.4,0.0
2569,1.7,-0.0
2353,1.6,3.2
2648,0.0,0.8
3173,2.3,-0.0
3214,0.9,-0.0
2090,1.8,0.1
2963,2.2,0.0
3484,1.1,-0.0
3848,1.2,2.2
3022,1.3,0.0
2185,1.4,-0.0
2483,1.2,-0.0
3995,0.6,2.4
3450,1.9,2.0
3734,2.0,2.5
3251,0.4,2.3
3072,1.4,-0.0
2933,2.0,1.9
3206,-0.0,0.1
2355,1.6,2.3
2923,0.3,1.4
3998,2.0,2.7
2123,1.0,-0.0
3733,1.1,2.5
2702,2.2,-0.0
2688,1.8,2.1
2895,-0.0,3.2
3482,1.2,0.0
3936,2.7,0.7
2496,2.0,-0.0
2035,2.1,-0.0
3360,1.0,-0.0
2195,2.3,0.0
2948,1.2,0.0
2175,0.9,0.0
2646,1.5,-0.0
3755,1.3,0.0
3762,1.6,1.2
2854,0.2,-0.0
2359,1.6,0.7
3714,2.0,-0.0
3680,1.9,0.0
2369,0.7,-0.0
2458,0.9,0.3
2493,1.4,4.2
2907,0.6,-0.0
3701,1.0,0.0
3174,1.3,-0.0
2572,1.2,-0.0
2137,1.5,0.0
3497,2.3,-0.0
2729,1.4,3.6
2423,1.4,0.0
3900,2.3,0.0
3324,1.1,0.0
2959,0.2,-0.0
2627,1.8,0.0
2553,1.2,1.4
3331,1.0,0.0
2996,1.1,0.0
2800,1.4,0.0
3894,1.4,0.0
3864,0.9,0.2
2471,1.5,0.0
3902,2.1,1.9
3396,0.3,0.2
2746,1.3,1.5
2306,1.1,1.9
3230,2.7,0.0
2667,1.5,0.4
3215,1.4,-0.0
2812,0.7,0.0
2408,0.8,0.0
3516,3.3,0.0
2479,1.8,2.6
3164,1.9,1.4
2633,1.9,-0.0
3365,1.1,-0.0
2912,3.0,2.0
3160,0.6,1.4
3225,0.6,-0.0
3805,0.9,-0.0
3345,1.4,1.5
2955,0.5,0.0
3415,0.5,-0.0
3644,0.2,-0.0
2604,1.8,-0.0
2528,0.8,-0.0
2238,2.0,-0.0
2683,0.9,-0.0
3000,1.0,0.0
3786,1.4,0.0
3836,-0.1,-0.0
2103,0.6,1.8
2152,0.5,0.0
2417,0.7,-0.0
3235,0.1,0.0
2720,0.8,-0.0
3175,0.3,2.0
2375,0.9,0.5
2180,0.5,-0.0
3021,1.2,0.0
2225,0.8,0.0
3155,1.1,0.0
3040,0.1,0.5
2567,1.4,0.0
2659,1.7,0.0
3538,0.7,-0.0
3812,1.4,0.0
3577,1.6,0.0
2848,1.3,-0.0
2253,3.8,0.2
2281,1.2,0.0
3880,0.3,-0.0
3289,2.1,0.0
3608,0.0,0.1
3210,0.6,0.1
2897,1.7,0.1
2526,0.3,1.2
3029,1.9,-0.0
2543,1.8,2.2
