ix,goal_cost,intv_cost
2889,1.0,5.2
3163,1.0,4.9
2295,1.0,4.1
2171,1.0,2.1
3430,1.0,3.6
2238,1.0,0.3
2762,1.0,2.1
2496,1.0,3.5
3911,1.0,0.5
3428,1.0,1.8
2136,1.0,3.2
2550,1.0,0.3
2475,1.0,1.7
3219,1.0,3.3
3322,1.0,2.7
3519,1.0,0.6
2766,1.0,2.5
2208,1.0,2.2
3439,1.0,1.8
3584,1.0,0.2
3425,1.0,0.3
3191,1.0,0.5
3536,1.0,2.1
3511,1.0,2.5
2221,1.0,0.6
2504,1.0,3.8
3182,1.0,2.1
2810,1.0,3.3
2081,1.0,0.1
3203,1.0,0.6
3602,1.0,0.7
3695,1.0,0.7
3273,1.0,0.3
3586,1.0,0.6
3050,1.0,0.4
3644,1.0,4.2
3979,1.0,3.4
3809,1.0,3.8000000000000003
2151,1.0,5.3
3803,1.0,0.1
2182,1.0,0.2
3682,1.0,1.5
3081,1.0,3.7
3852,1.0,3.4
3569,1.0,0.2
3109,1.0,1.4
3865,1.0,3.7
3745,1.0,0.6
3608,1.0,3.8
2907,1.0,1.1
3885,1.0,0.5
3788,1.0,3.9000000000000004
2310,1.0,2.1
3643,1.0,4.0
3035,1.0,4.2
2565,1.0,1.2
3368,1.0,1.6
3651,1.0,1.1
2292,1.0,1.2
3242,1.0,1.8
3656,1.0,1.0
2579,1.0,5.2
3778,1.0,2.0
3372,1.0,5.1
2578,1.0,1.7
3971,1.0,0.7
3736,1.0,0.4
2331,1.0,8.5
2465,1.0,0.3
2443,1.0,0.2
2158,1.0,4.0
3063,1.0,3.4
2696,1.0,1.5
2339,1.0,0.9
2911,1.0,0.2
2926,1.0,1.4
2476,1.0,0.9
3562,1.0,6.699999999999999
3098,1.0,1.3
2502,1.0,3.9
2222,1.0,4.0
2459,1.0,0.9
3926,1.0,3.3
2939,1.0,0.4
2748,1.0,3.1
2407,1.0,2.5
2908,1.0,0.2
2361,1.0,4.4
2482,1.0,0.1
2446,1.0,2.5
2534,1.0,2.2
3458,1.0,0.5
2225,1.0,0.4
3883,1.0,4.8
2474,1.0,6.5
2013,1.0,4.0
3045,1.0,2.8
3183,1.0,1.8
2751,1.0,1.0
2713,1.0,7.699999999999999
3666,1.0,1.1
2626,1.0,5.6
3309,1.0,0.3
3201,1.0,2.4
3692,1.0,5.4
2974,1.0,6.0
2094,1.0,2.9
3837,1.0,0.30000000000000004
2558,1.0,0.4
3447,1.0,4.5
3994,1.0,0.1
2245,1.0,0.8
3609,1.0,4.4
2807,1.0,0.5
3127,1.0,1.9
2733,1.0,1.2
3568,1.0,0.5
3541,1.0,1.1
2027,1.0,3.0
3805,1.0,1.1
2722,1.0,2.1
2185,1.0,2.9
3268,1.0,2.2
2445,1.0,2.2
3202,1.0,1.3
2074,1.0,1.8
3664,1.0,1.6
3986,1.0,2.2
2210,1.0,1.0
2765,1.0,1.0
3931,1.0,4.6
2352,1.0,2.3
2826,1.0,3.0
2040,1.0,1.4000000000000001
2628,1.0,0.7
2188,1.0,0.6
2260,1.0,0.1
2254,1.0,1.2
3316,1.0,3.6
3870,1.0,0.3
2336,1.0,5.4
2086,1.0,1.5
2866,1.0,3.0
2901,0.811,1.7
2173,1.0,3.4
2307,1.0,1.5
3153,1.0,0.2
2575,1.0,2.7
2449,1.0,1.3
3802,1.0,1.6
2289,1.0,1.8
2481,1.0,0.3
2340,1.0,3.1
2224,1.0,1.1
2450,1.0,0.9
3835,1.0,0.7
2209,1.0,2.9
2330,1.0,0.9
3753,1.0,0.6
3395,1.0,1.2000000000000002
2640,1.0,5.2
3737,1.0,3.3
2914,1.0,3.7
2276,1.0,1.3
2760,1.0,0.1
3472,1.0,1.9
2678,1.0,1.2
2431,1.0,0.4
3093,1.0,2.2
2756,1.0,3.1
2495,1.0,1.1
3583,1.0,0.3
3876,1.0,7.799999999999999
2729,1.0,2.9
2569,1.0,4.2
3096,1.0,2.6
3646,1.0,2.2
3228,1.0,5.0
2278,1.0,1.7
2515,1.0,2.4
3346,1.0,1.8000000000000003
3752,1.0,0.8
3276,1.0,0.1
3867,1.0,6.0
3286,1.0,1.9
2447,1.0,0.2
3226,1.0,0.8
3210,1.0,3.3
2853,1.0,0.2
3195,1.0,1.3
3769,1.0,1.0
3393,1.0,2.2
3118,1.0,4.1
2664,1.0,0.2
2035,1.0,2.6
2205,1.0,4.8
2139,1.0,0.1
2134,1.0,1.4
2104,1.0,3.7
3154,1.0,0.3
