,x1,x2,x3
3680,-0.0,0.0,5.2
3611,0.0,-0.0,0.9
3493,-0.0,-0.0,1.3
3166,-0.0,-0.0,1.9
2580,0.0,0.0,5.0
3519,-0.0,0.0,1.1
3137,-0.0,0.0,4.6
2622,-0.0,0.0,4.0
2866,0.0,0.0,3.0
2687,0.0,-0.0,1.1
3942,0.1,-0.1,2.1
3682,-0.0,0.0,1.5
3455,-0.0,-0.0,0.9
2351,0.0,-0.0,3.3
3127,-0.0,-0.0,1.9
2440,-0.0,0.0,2.1
2496,1.1,3.7,0.0
3755,0.0,0.0,3.6
2260,0.0,0.0,0.1
2657,0.0,-0.0,2.3
2079,0.0,-0.1,4.7
3458,-0.0,0.0,0.9
3397,0.0,-0.0,4.3
3035,0.0,0.0,4.2
3880,0.0,-0.0,2.5
3898,0.0,-0.0,2.1
3876,-0.0,0.0,7.7
2220,0.1,0.0,0.9
3504,0.0,0.0,0.4
3810,-0.0,0.1,4.8
3095,-0.0,-0.1,5.4
3559,-0.0,0.0,3.2
2990,-0.0,0.0,0.2
3956,-0.0,0.1,0.0
2855,0.1,-0.1,0.0
3885,0.0,0.0,0.8
2815,-0.0,-0.1,1.8
3603,-0.0,-0.0,0.2
2350,-0.1,-0.0,2.4
3209,0.0,-0.0,1.1
2398,-0.0,-0.0,1.8
2830,-0.0,0.0,6.6
2503,0.1,-0.0,5.7
3778,-0.0,-0.0,3.9
3967,-0.0,-0.0,3.4
2961,2.1,0.0,0.0
2085,-0.0,-0.0,1.2
2027,0.0,-0.0,3.1
3691,0.0,0.0,3.7
3237,0.0,-0.1,3.5
2701,0.2,-0.1,1.9
3938,-0.0,0.0,2.5
3670,0.2,-0.1,4.7
3076,-0.0,0.0,0.8
3003,-0.0,0.0,2.4
2307,0.0,0.3,0.0
3787,-0.0,0.0,0.8
3233,2.1,1.2,0.0
3590,0.2,0.2,-0.0
2333,-0.0,-0.0,0.4
3997,-0.0,0.0,1.9
2762,0.0,-0.0,2.1
3796,-0.0,0.0,4.3
2495,-0.0,0.1,-0.0
3179,0.0,0.1,3.7
3022,-0.0,0.0,1.3
3002,-0.0,-0.0,4.2
3109,-0.0,0.0,1.4
3950,0.0,-0.1,-0.0
3078,-0.0,0.0,5.4
3359,0.3,-0.0,2.0
2134,0.0,0.0,1.4
3857,0.0,0.1,3.8
3150,0.0,-0.0,1.8
3385,0.4,0.6,-0.0
2390,0.0,0.0,1.3
3903,-0.0,0.0,1.2
2081,-0.0,-0.0,0.1
2076,-0.0,-0.0,3.8
2416,0.0,-0.0,4.7
3167,0.0,0.0,1.4
3499,-0.0,0.0,0.1
2445,-0.0,-0.0,2.2
2014,0.0,-0.0,0.1
2773,0.0,-0.0,2.7
3343,0.0,-0.0,2.7
2480,-0.0,0.0,0.6
2306,0.0,-0.0,0.7
3789,0.0,0.0,1.1
3172,-0.0,0.0,1.3
2934,-0.1,0.0,4.0
2163,-0.0,2.4,-0.0
3476,-0.0,0.0,0.5
3118,-0.0,0.0,4.1
3955,0.1,-0.0,0.8
2689,-0.0,0.0,4.3
2397,0.0,0.0,0.4
3752,-0.0,-0.0,1.3
3657,0.0,0.0,2.0
2933,0.0,-0.0,2.0
3354,-0.0,-0.0,4.5
2796,-0.0,-0.0,3.1
3811,0.0,0.0,4.6
2543,-0.0,-0.0,4.8
3584,0.0,0.0,0.2
3121,0.0,-0.0,0.5
2080,0.0,0.0,1.3
3541,0.4,-0.0,0.0
3160,-0.0,0.0,0.4
3668,-0.0,-0.0,0.9
3180,0.0,-0.0,3.5
3334,-0.0,4.1,0.0
2140,0.0,-0.0,0.9
3464,-0.0,-0.1,3.2
3646,1.6,0.0,0.0
3757,0.0,0.0,1.9
3853,0.0,-0.0,0.1
3543,-0.0,-0.0,7.0
2139,0.0,-0.0,0.2
3104,-0.1,0.0,5.6
2476,0.0,0.0,1.6
2405,-0.0,-0.0,2.9
3618,0.0,0.0,1.0
2360,0.0,-0.0,1.8
3242,0.0,0.0,1.8
2040,-0.0,0.0,1.3
2724,-0.0,0.0,0.1
2609,-0.0,0.0,2.5
3722,-0.0,0.0,1.4
2111,0.0,-0.0,0.4
3220,0.0,0.0,0.8
2325,-0.0,-0.0,3.4
2435,-0.1,0.0,0.7
2062,0.0,0.0,0.2
3795,-0.0,-0.0,4.8
2310,-0.0,-0.0,2.1
2786,1.6,0.0,-0.0
3008,0.0,0.0,1.4
2953,-0.0,-0.0,4.8
2947,-0.0,-0.0,0.4
2736,-0.0,0.0,1.4
2842,-0.0,0.0,0.9
3229,-0.0,-0.0,0.1
2743,2.6,1.6,0.0
2100,0.0,0.0,0.4
3158,1.6,0.0,0.0
2448,0.0,0.0,0.2
2378,-0.0,0.0,5.2
3825,0.0,0.1,1.5
3298,-0.0,0.0,2.9
3809,0.0,0.0,3.7
2980,0.0,0.0,2.0
3661,0.0,0.0,4.4
2465,0.0,-0.1,0.5
3279,-0.0,-0.0,2.3
3643,0.0,0.0,4.0
2482,-0.0,-0.0,0.2
3273,-0.0,0.2,0.3
2463,0.0,-0.0,0.3
3926,2.3,0.0,-0.0
3329,-0.0,-0.0,0.2
3257,0.1,-0.1,2.7
