,x1,x2,x3
2275,0.1,0.0,1.9
3599,0.0,-0.1,0.5
3502,-0.0,-0.0,0.8
2468,0.1,0.1,5.1
3867,-0.0,0.0,6.0
2378,0.0,-0.1,5.2
3857,0.0,0.0,3.8
3222,-0.0,0.0,1.3
3895,0.0,0.0,0.2
2384,-0.0,-0.0,0.1
2660,0.0,0.0,2.8
3555,0.0,0.1,3.4
2926,0.0,-0.0,1.5
2379,0.0,-0.0,1.2
2747,-0.0,-0.0,4.8
2884,-0.0,-0.0,6.1
3380,0.1,0.0,0.9
2767,0.0,0.0,1.7
2336,-0.0,0.0,5.4
2715,0.0,-0.0,3.1
3847,0.0,0.0,3.0
2724,0.1,-0.0,0.1
3661,-0.0,-0.0,4.4
3900,0.0,0.0,2.0
3810,0.6,-0.0,4.7
3610,-0.0,-0.1,0.5
3226,-0.0,0.0,0.8
2940,0.0,0.0,0.6
2491,-0.0,0.0,0.4
2290,0.0,-0.0,1.6
3266,0.0,0.0,2.0
2711,0.2,-0.0,4.1
2637,-0.0,-0.1,0.6
2556,-0.0,-0.0,4.0
3550,0.0,-0.0,3.0
2722,-0.0,0.0,2.1
2274,0.0,0.0,3.0
2309,-0.0,0.0,1.1
3194,0.0,-0.0,0.7
2139,0.0,0.0,0.2
3503,-0.0,-0.0,2.4
3035,0.0,-0.1,4.2
2219,-0.0,0.0,0.5
2820,-0.0,0.0,3.6
2431,-0.0,0.0,0.4
3695,0.0,0.0,0.7
2442,-0.0,0.0,1.2
2813,-0.0,0.0,1.5
3433,0.1,-0.1,3.5
2742,0.0,-0.0,1.4
2885,0.1,-0.0,4.9
2899,0.1,0.0,3.2
2536,0.0,-0.1,6.1
2456,0.0,0.0,2.3
2721,-0.1,-0.0,2.6
2040,0.0,-0.0,1.3
3076,0.0,-0.0,0.8
2241,0.0,-0.0,4.1
2810,-0.0,-0.0,3.4
3476,0.0,0.0,0.5
2594,0.0,-0.0,0.3
3416,-0.0,0.0,0.6
2366,-0.0,0.0,0.2
3313,0.0,0.0,1.4
2042,0.0,-0.0,0.4
2024,0.0,0.1,1.7
2720,-0.0,-0.0,0.3
3243,-0.0,0.0,1.1
3554,-0.1,-0.0,1.8
2923,0.0,0.0,2.1
3630,0.1,0.0,0.3
3347,0.3,-0.1,2.4
3334,-0.0,0.0,4.6
2278,0.0,-0.0,1.7
3017,0.3,0.0,1.9
3237,0.0,-0.1,3.4
2341,0.3,-0.0,0.8
2920,-0.0,-0.0,2.0
2053,0.0,0.0,0.9
3100,-0.1,-0.0,3.4
2808,0.0,-0.0,2.5
3400,-0.0,0.0,5.2
2337,-0.0,-0.0,5.0
3285,0.0,0.0,0.3
2734,-0.0,-0.0,2.5
2983,0.0,-0.0,1.3
3638,-0.0,-0.0,5.5
2672,0.0,-0.0,0.1
3618,0.0,-0.0,1.0
3233,-0.0,0.0,3.6
2314,0.0,0.0,3.4
3302,-0.0,0.0,2.6
2534,0.1,-0.0,2.1
2388,0.1,-0.0,1.6
2956,0.1,0.0,0.1
2321,0.0,-0.0,3.0
3955,0.0,-0.0,0.8
3418,0.0,0.0,7.0
2014,0.0,-0.0,0.1
2765,-0.0,0.0,1.0
2561,0.0,0.0,1.1
3569,0.0,0.0,0.5
2483,-0.0,-0.0,1.7
3461,-0.0,0.0,2.7
3825,0.0,0.0,1.5
2216,0.0,0.0,2.2
2530,-0.0,-0.0,1.0
3048,-0.0,0.0,3.9
3470,0.0,-0.0,0.2
3224,-0.0,-0.0,2.7
2106,0.0,0.0,1.1
3936,0.0,-0.0,0.1
3098,-0.0,0.0,1.3
2539,0.0,0.0,2.4
2751,-0.0,-0.0,1.0
2874,0.0,-0.0,5.0
2802,0.0,-0.0,0.4
3593,-0.0,0.0,0.4
3705,1.8,0.0,7.1
2444,0.0,0.0,2.8
3167,0.0,-0.0,1.4
3848,-0.0,-0.0,1.1
3722,0.0,-0.0,1.4
3475,0.0,-0.0,2.0
3603,0.0,0.0,0.2
3830,0.1,-0.0,2.0
3817,0.0,0.0,1.4
2775,-0.0,-0.0,1.6
3405,0.0,-0.0,2.7
3646,0.1,0.0,2.2
2670,0.0,0.0,1.3
2234,-0.0,-0.0,1.7
2128,-0.0,0.0,3.7
3802,-0.0,-0.0,1.6
3693,-0.0,0.0,0.9
2953,0.0,-0.0,4.8
2125,-0.0,0.0,0.7
3275,0.0,-0.0,0.9
2387,0.0,-0.0,0.3
2067,0.0,-0.0,0.9
2263,0.0,-0.1,1.2
3210,-0.0,0.0,3.3
3615,0.2,0.0,1.3
3166,0.0,-0.0,1.9
3986,0.0,-0.0,2.1
3841,0.0,-0.0,4.0
3192,-0.0,0.0,1.7
2961,0.4,-0.1,4.4
2526,0.1,0.0,1.3
3270,-0.0,-0.0,1.2
2171,0.0,0.0,2.0
3107,-0.0,-0.0,0.1
3530,0.0,0.0,1.2
2733,0.0,-0.0,2.0
3103,0.0,-0.0,0.1
3158,0.0,-0.1,4.3
2055,-0.0,0.0,1.0
3180,0.1,0.0,3.5
3782,0.0,-0.0,0.2
2403,0.0,-0.0,0.4
2465,0.0,-0.1,0.5
3455,0.0,0.0,0.9
2888,0.0,0.0,3.3
3741,0.0,0.0,3.4
2109,0.0,0.0,2.1
2144,-0.0,0.0,3.2
2835,-0.0,0.0,2.2
2066,0.1,-0.0,5.6
2245,0.0,-0.0,0.8
3114,0.0,0.1,2.1
2230,0.0,0.0,1.5
3493,0.0,0.0,1.3
3598,-0.0,0.0,2.2
2970,0.0,-0.0,1.8
2625,0.0,-0.0,1.8
3351,0.0,-0.0,1.2
2624,0.0,-0.0,1.6
3975,0.0,0.0,3.2
3633,0.0,0.0,1.5
3843,-0.0,0.0,1.0
3584,-0.0,-0.0,0.2
2503,0.0,-0.0,5.7
2827,0.0,-0.0,0.3
3268,0.0,0.0,2.2
3053,0.0,0.0,2.7
2356,0.0,-0.0,3.3
3859,0.0,0.0,0.9
2350,-0.0,0.0,2.4
2087,0.0,0.0,4.5
3154,0.0,-0.0,0.4
2635,0.0,-0.0,2.5
2111,-0.1,0.0,0.4
3164,0.0,0.0,0.9
2043,0.0,0.0,0.7
3626,-0.0,0.0,2.7
3649,0.0,0.0,1.2
3426,-0.0,-0.0,2.6
3286,-0.0,-0.0,1.9
3063,-0.0,-0.0,3.5
3402,-0.0,0.0,0.2
