,y_hat
2275,False
3599,False
3502,False
2468,False
3867,False
2378,False
3857,False
3222,False
3895,False
2384,False
2660,False
3555,False
2926,False
2379,False
2747,False
2884,False
3380,False
2767,False
2336,False
2715,False
3847,False
2724,False
3661,False
3900,False
3810,False
3610,False
3226,False
2940,False
2491,False
2290,False
3266,False
2711,False
2637,False
2556,False
3550,False
2722,False
2274,False
2309,False
3194,False
2139,False
3503,False
3035,False
2219,False
2820,False
2431,False
3695,False
2442,False
2813,False
3433,False
2742,False
2885,False
2899,False
2536,False
2456,False
2721,False
2040,False
3076,False
2241,False
2810,False
3476,False
2594,False
3416,False
2366,False
3313,False
2042,False
2024,False
2720,False
3243,False
3554,False
2923,False
3630,False
3347,False
3334,False
2278,False
3017,False
3237,False
2341,False
2920,False
2053,False
3100,False
2808,False
3400,False
2337,False
3285,False
2734,False
2983,False
3638,False
2672,False
3618,False
3233,False
2314,False
3302,False
2534,False
2388,False
2956,False
2321,False
3955,False
3418,False
2014,False
2765,False
2561,False
3569,False
2483,False
3461,False
3825,False
2216,False
2530,False
3048,False
3470,False
3224,False
2106,False
3936,False
3098,False
2539,False
2751,False
2874,False
2802,False
3593,False
3705,False
2444,False
3167,False
3848,False
3722,False
3475,False
3603,False
3830,False
3817,False
2775,False
3405,False
3646,False
2670,False
2234,False
2128,False
3802,False
3693,False
2953,False
2125,False
3275,False
2387,False
2067,False
2263,False
3210,False
3615,False
3166,False
3986,False
3841,False
3192,False
2961,False
2526,False
3270,False
2171,False
3107,False
3530,False
2733,False
3103,False
3158,False
2055,False
3180,False
3782,False
2403,False
2465,False
3455,False
2888,False
3741,False
2109,False
2144,False
2835,False
2066,False
2245,False
3114,False
2230,False
3493,False
3598,False
2970,False
2625,False
3351,False
2624,False
3975,False
3633,False
3843,False
3584,False
2503,False
2827,False
3268,False
3053,False
2356,False
3859,False
2350,False
2087,False
3154,False
2635,False
2111,False
3164,False
2043,False
3626,False
3649,False
3426,False
3286,False
3063,False
3402,False
