,h_post,h_post_individualized
2475,0.7040015330350462,0.46215900778770447
3176,0.7461436841383381,1.0
2582,0.6991864432358256,0.4500288665294647
2682,0.6634853553564228,0.3387005925178528
3275,0.7277262635102868,0.5542498230934143
2384,0.7978338300742784,0.6550768613815308
2901,0.5239095693068807,1.0
2813,0.7667370981127346,1.0
2999,0.6861228984230114,0.30144959688186646
2134,0.8769797754371778,1.0
2534,0.8313887009670786,1.0
2561,0.9028112978926071,1.0
3008,0.9596927000268515,1.0
2586,0.8317566992951018,0.6874703764915466
3583,0.8779154349854887,1.0
2295,0.4983656714417177,0.07978985458612442
3909,0.9136711208943178,1.0
3078,0.32471332349760257,0.021467572078108788
2100,0.7161536206886856,0.6389623880386353
3415,0.8619914460869836,1.0
2847,0.6896509490300509,1.0
2674,0.927707604157574,1.0
2923,0.8689782367807253,1.0
3035,0.9633067867796615,1.0
3920,0.6611033184250713,0.6294314861297607
3334,0.5219265993389283,0.04757893830537796
2883,0.9256420242566782,1.0
3025,0.8356064067000603,0.6243804097175598
3519,0.933888668428024,1.0
2309,0.6018313781151725,0.5380632877349854
3162,0.8121277117611758,0.23207591474056244
3492,0.8725336981738935,1.0
2241,0.4802975004466597,1.0
2578,0.5427385629541213,0.43482521176338196
2321,0.8556942001793011,1.0
2594,0.77528104674685,0.6593987345695496
2655,0.8116411332786367,0.5394473671913147
2704,0.740207514927823,1.0
3299,0.8515367951161664,1.0
3625,0.6171184986034424,0.03645342215895653
3885,0.9497416632981676,1.0
2313,0.5730860753749097,1.0
3797,0.734202654687445,1.0
2530,0.7570805640647315,0.5327447652816772
3820,0.7329747302930804,0.5729847550392151
2708,0.8943150742808833,1.0
3385,0.8455973252453383,1.0
3950,0.8642767120301068,1.0
3165,0.9383533690017097,1.0
3041,0.6380008843979973,1.0
3358,0.8870209054790787,1.0
3788,0.8020706690676537,1.0
3154,0.825488232643078,0.6495912075042725
2153,0.614934462768671,1.0
3243,0.8680752245061062,1.0
3593,0.8943045945021277,1.0
3410,0.6723192076297995,0.41725051403045654
2006,0.7650879855995651,1.0
3409,0.971837835316984,1.0
3975,0.9750349640012322,1.0
3857,0.3371868017007122,0.09134557098150253
3205,0.9109961573387715,1.0
2066,0.1818554876704449,0.016809578984975815
2144,0.6360891657970271,1.0
2370,0.8981695806772603,1.0
2120,0.7982170180449465,0.47222578525543213
3147,0.5262095323484403,0.3024650514125824
2814,0.8513227493257564,0.5969997048377991
2970,0.7121901549337767,0.40827029943466187
3911,0.7671496118949205,0.6304973363876343
2437,0.8231280966284997,1.0
3569,0.7802935767248217,0.631006121635437
3989,0.808510037226184,0.6726250648498535
2258,0.4023478275398281,0.2081756442785263
3955,0.8970697917721312,1.0
2679,0.7975082961412356,0.5635024309158325
2084,0.7109169879161934,1.0
2051,0.9559195998265688,1.0
2104,0.559620115886025,1.0
3014,0.9486662664175998,1.0
3127,0.908961303113879,1.0
2781,0.8008758372357664,0.6827621459960938
2678,0.7457211522845808,0.32894623279571533
3843,0.8976499982895436,1.0
3327,0.8343618434594299,1.0
2361,0.766966306396538,1.0
3932,0.47922525363556795,0.3045344650745392
3657,0.9481705893028043,1.0
2726,0.5698721699933765,0.11454080790281296
2331,0.40339884515884433,0.0010254515800625086
2299,0.9007324056243575,1.0
2094,0.7836784771917817,0.2115754634141922
2216,0.7528739938309965,1.0
3938,0.8703317296806448,1.0
3762,0.4372378944939618,0.10481968522071838
3469,0.8107649778729802,1.0
3455,0.6859322495875247,0.5994782447814941
2445,0.8189548149562492,1.0
2274,0.8239006205306647,0.19022426009178162
2957,0.7343253574540168,0.6617386341094971
3208,0.8098630473046615,1.0
2435,0.9367779034757895,1.0
2828,0.7683837281674278,0.6392694115638733
2917,0.7075634522829893,1.0
3782,0.7157011794284536,0.6724917888641357
2980,0.9459939304360577,1.0
3986,0.7563071482674334,1.0
3063,0.8801259567889982,1.0
3692,0.19286350587216267,0.021029526367783546
2667,0.6606056583694963,1.0
3536,0.7431697274010741,1.0
3364,0.9228088160020704,1.0
3682,0.9098381353966964,1.0
2631,0.6144725545336358,1.0
2428,0.8231292923355896,1.0
2011,0.754440745618797,1.0
3783,0.6908600951929399,1.0
2079,0.9141138340632856,0.038163959980010986
2639,0.8970373976206008,1.0
3611,0.7333542340230992,0.5576726198196411
2763,0.9724514581649006,1.0
2221,0.6207073089784609,0.6073927283287048
2542,0.6664738270774794,0.6283376812934875
2382,0.6570416142611354,0.4391472339630127
2376,0.7270877765740379,0.46232447028160095
2916,0.9210846316974763,1.0
2899,0.5535901355588311,0.15111897885799408
3939,0.9234317714178722,1.0
2946,0.6762627149132142,0.5999449491500854
2526,0.8587922197351081,1.0
3454,0.8603513205199913,1.0
2844,0.9261705319829932,1.0
2085,0.8992470239169968,1.0
3837,0.7386809445115238,0.6701977849006653
2972,0.9775832315659422,1.0
3155,0.9259315838936131,1.0
3336,0.8484587989580472,1.0
3713,0.49606521679421245,1.0
2512,0.9149772118698576,1.0
3190,0.9257300099283267,1.0
2805,0.9564024089899389,1.0
3137,0.3326759584539211,0.049045130610466
2506,0.7773358876039977,1.0
3111,0.715990851508888,0.583199143409729
2072,0.9180533168015018,1.0
3343,0.8019918184241333,1.0
3914,0.8452491218296488,0.6686323881149292
2327,0.9447311873359444,1.0
3961,0.7866552751629708,0.46414127945899963
2647,0.8797909828741814,1.0
2645,0.7723005912649001,1.0
2336,0.5866295050530599,1.0
3853,0.8786288979853355,1.0
3109,0.6719340459982652,0.4775301516056061
2775,0.7920839573185358,1.0
3347,0.659904482980121,0.277914822101593
3817,0.849856991828621,1.0
3226,0.9297375323937079,1.0
2660,0.7871869933168649,1.0
3656,0.9606022577968993,1.0
2151,0.748698301189505,0.029595237225294113
3778,0.551615820959092,0.0964568480849266
2806,0.925180550064122,1.0
3442,0.6082215470372945,0.22078855335712433
3207,0.9202007831536266,1.0
2762,0.8855571880675394,1.0
2598,0.6967580069005624,0.27921995520591736
2626,0.6254164841543445,0.019594239071011543
3768,0.7384540507235686,0.6671875715255737
3842,0.7334047802287502,0.6085347533226013
2387,0.9039601675306601,1.0
2919,0.832875613716624,1.0
3771,0.786275150510355,1.0
3246,0.9303636229979269,1.0
2227,0.7692225012375145,1.0
2755,0.7698576487427001,1.0
3350,0.9168218677397371,1.0
2064,0.8512212549362218,1.0
2866,0.5893320667009236,0.19227832555770874
2275,0.9247603407835937,1.0
2287,0.7281202955463865,1.0
3787,0.900721617641264,1.0
2772,0.8579101864844775,1.0
2119,0.823134408002036,0.6691766977310181
2713,0.09319853217459714,0.00263285543769598
2815,0.7822420892762825,1.0
3659,0.6333377997113034,0.5930485129356384
2892,0.5512987181052883,1.0
3571,0.8897278826369199,1.0
2888,0.6014028637596935,1.0
3032,0.8846152767198852,1.0
3139,0.8612591139276845,0.5548218488693237
2433,0.8883010870762407,1.0
2565,0.8713635015243444,1.0
3309,0.8877615284382834,1.0
2270,0.6408666073344081,0.585043728351593
3516,0.864738942174212,1.0
3667,0.8142651751803918,1.0
3033,0.7621607129305583,1.0
3090,0.9304190180066516,1.0
