,y
2475,0.0
3176,1.0
2582,0.0
2682,0.0
3275,1.0
2384,1.0
2901,1.0
2813,1.0
2999,0.0
2134,1.0
2534,1.0
2561,1.0
3008,1.0
2586,1.0
3583,1.0
2295,0.0
3909,1.0
3078,0.0
2100,0.0
3415,1.0
2847,1.0
2674,1.0
2923,1.0
3035,1.0
3920,0.0
3334,0.0
2883,1.0
3025,0.0
3519,1.0
2309,1.0
3162,0.0
3492,1.0
2241,1.0
2578,0.0
2321,1.0
2594,1.0
2655,0.0
2704,1.0
3299,1.0
3625,0.0
3885,1.0
2313,1.0
3797,1.0
2530,0.0
3820,1.0
2708,1.0
3385,1.0
3950,1.0
3165,1.0
3041,1.0
3358,1.0
3788,1.0
3154,1.0
2153,1.0
3243,1.0
3593,1.0
3410,0.0
2006,1.0
3409,1.0
3975,1.0
3857,0.0
3205,1.0
2066,0.0
2144,1.0
2370,1.0
2120,0.0
3147,0.0
2814,1.0
2970,0.0
3911,0.0
2437,1.0
3569,0.0
3989,1.0
2258,0.0
3955,1.0
2679,1.0
2084,1.0
2051,1.0
2104,1.0
3014,1.0
3127,1.0
2781,0.0
2678,1.0
3843,1.0
3327,1.0
2361,1.0
3932,1.0
3657,1.0
2726,0.0
2331,0.0
2299,1.0
2094,0.0
2216,1.0
3938,1.0
3762,0.0
3469,1.0
3455,1.0
2445,1.0
2274,1.0
2957,1.0
3208,1.0
2435,1.0
2828,0.0
2917,1.0
3782,0.0
2980,1.0
3986,1.0
3063,1.0
3692,0.0
2667,1.0
3536,1.0
3364,1.0
3682,1.0
2631,1.0
2428,1.0
2011,1.0
3783,1.0
2079,0.0
2639,1.0
3611,0.0
2763,1.0
2221,1.0
2542,1.0
2382,1.0
2376,0.0
2916,1.0
2899,0.0
3939,1.0
2946,1.0
2526,1.0
3454,1.0
2844,1.0
2085,1.0
3837,1.0
2972,1.0
3155,1.0
3336,1.0
3713,1.0
2512,1.0
3190,1.0
2805,1.0
3137,0.0
2506,1.0
3111,1.0
2072,1.0
3343,1.0
3914,0.0
2327,1.0
3961,1.0
2647,1.0
2645,1.0
2336,1.0
3853,1.0
3109,1.0
2775,1.0
3347,0.0
3817,1.0
3226,1.0
2660,1.0
3656,1.0
2151,0.0
3778,1.0
2806,1.0
3442,0.0
3207,1.0
2762,1.0
2598,0.0
2626,0.0
3768,0.0
3842,1.0
2387,1.0
2919,1.0
3771,1.0
3246,1.0
2227,1.0
2755,1.0
3350,1.0
2064,1.0
2866,0.0
2275,1.0
2287,1.0
3787,1.0
2772,1.0
2119,1.0
2713,0.0
2815,1.0
3659,1.0
2892,1.0
3571,1.0
2888,1.0
3032,1.0
3139,1.0
2433,1.0
2565,1.0
3309,1.0
2270,0.0
3516,1.0
3667,1.0
3033,1.0
3090,1.0
