,y
3267,0.0
2261,0.0
3508,0.0
2708,0.0
3544,0.0
2260,0.0
3033,0.0
2380,0.0
2947,0.0
2099,0.0
3969,0.0
2344,0.0
3460,0.0
3745,0.0
3213,0.0
2835,0.0
3393,0.0
2183,0.0
3475,0.0
2752,0.0
2649,0.0
2060,0.0
2463,0.0
2147,0.0
2571,0.0
3728,0.0
2611,0.0
3478,0.0
2636,0.0
2905,0.0
3846,0.0
2162,0.0
3841,0.0
3737,0.0
2554,0.0
2517,0.0
3318,0.0
2919,0.0
3958,0.0
3669,0.0
2056,0.0
2846,0.0
2175,0.0
2227,0.0
3123,0.0
3476,0.0
3071,0.0
2220,0.0
2345,0.0
3419,0.0
3222,0.0
2150,0.0
3930,0.0
2392,0.0
3334,0.0
3274,0.0
3327,0.0
2928,0.0
2190,0.0
3977,0.0
3262,0.0
2275,0.0
2088,0.0
2120,0.0
3921,0.0
2921,0.0
3683,0.0
3411,0.0
3861,0.0
2613,0.0
3084,0.0
2196,0.0
2377,0.0
3970,0.0
3234,0.0
3454,0.0
2498,0.0
2557,0.0
2979,0.0
2529,0.0
3043,0.0
3997,0.0
3377,0.0
2071,0.0
2972,0.0
3010,0.0
2872,0.0
3889,0.0
2333,0.0
3219,0.0
3448,0.0
3767,0.0
3702,0.0
3239,0.0
3695,0.0
3244,0.0
2328,0.0
3052,0.0
2575,0.0
3802,0.0
3242,0.0
2313,0.0
2906,0.0
3396,0.0
3532,0.0
2159,0.0
2013,0.0
2901,0.0
2895,0.0
3676,0.0
2719,0.0
3015,0.0
3537,0.0
2759,0.0
3304,0.0
3758,0.0
2322,0.0
2480,0.0
2287,0.0
2873,0.0
3854,0.0
3451,0.0
2738,0.0
3138,0.0
3975,0.0
3066,0.0
2633,0.0
2717,0.0
2802,0.0
2657,0.0
3265,0.0
2007,0.0
2669,0.0
3418,0.0
2450,0.0
3643,0.0
2016,0.0
2194,0.0
3748,0.0
2865,0.0
2347,0.0
3890,0.0
3059,0.0
2916,0.0
2799,0.0
2918,0.0
3868,0.0
3894,0.0
3999,0.0
3251,0.0
3480,0.0
2308,0.0
3839,0.0
2416,0.0
3228,0.0
3825,0.0
2735,0.0
2338,0.0
2601,0.0
3271,0.0
3100,0.0
2831,0.0
3365,0.0
3465,0.0
2083,0.0
3041,0.0
2255,0.0
2453,0.0
2360,0.0
3278,0.0
3007,0.0
2151,0.0
3137,0.0
3567,0.0
2334,0.0
3934,0.0
3053,0.0
2967,0.0
3359,0.0
3973,0.0
3372,0.0
2888,0.0
3170,0.0
2965,0.0
2977,0.0
3291,0.0
2860,0.0
2245,0.0
3771,0.0
3507,0.0
2841,0.0
2003,0.0
3326,0.0
3498,0.0
2288,0.0
3622,0.0
3739,0.0
2065,0.0
3398,0.0
3936,0.0
