,x1,x2,x3
2850,-1.5240487,-2.0308588,-4.178956
2223,-1.5528828,-3.0050595,-4.8108253
3806,-0.57296413,-0.13901919,-0.6849474
3276,0.1545576,-1.6873175,-1.0782022
2556,-1.4350601,-0.9694312,-3.5395517
3417,-1.4723526,-1.4083108,-3.353016
2275,-1.0887097,-1.3473815,-3.124801
2606,-0.87460256,0.0010086537,-1.4481964
3461,-1.4527344,-3.163931,-4.9693995
3271,-0.55916494,-1.2432966,-1.3616265
2498,-0.3479612,0.78848666,0.29256427
3488,-1.1852435,-2.311541,-3.582028
3450,-0.71459144,-0.7708625,-1.5000454
2387,-1.3598096,-1.0352509,-3.4548702
2585,-1.6243081,-2.5141945,-4.3628106
3318,-1.1369295,-0.567291,-2.44115
3354,-0.3199714,-0.19158967,-0.6315325
2686,-2.1339664,-2.5518427,-5.7197757
2836,0.15034275,-1.0518253,-0.45113978
3930,0.4155841,-0.5205499,1.0106182
2512,-0.76375204,-1.2274551,-1.9549593
3655,-0.45399302,-1.6355717,-2.1435578
2454,-0.17574811,-0.6127962,-0.6642924
3409,-0.32431376,0.9406469,0.49201936
3569,-0.88421947,-2.0082295,-3.3766685
2878,-1.2213011,0.11386534,-1.9287367
2301,-1.92739,-3.158167,-5.8129473
3507,-1.081456,-2.141196,-3.3041074
2781,-1.6054094,-2.058524,-4.1693425
2077,-0.91795456,-1.2908463,-2.6267552
2313,-0.464148,-2.234408,-2.762704
3065,-1.2450848,-0.7068685,-2.797038
2956,-0.8388984,0.76602536,-0.31177148
3746,-0.31545353,-0.2860092,-0.3169163
2788,-1.1120542,-1.1743379,-2.9984465
3958,0.08093385,-1.761821,-0.89995337
3903,-0.6255665,-0.42965573,-0.98078877
2722,-0.10544242,-0.66142184,-0.57230663
3376,-0.70224065,-0.08945674,-1.193938
2700,-0.77570283,-1.0161024,-2.1675081
2181,-0.6670846,0.21051328,-0.5236559
3210,-1.0845354,-0.20526606,-1.3743368
3842,-0.15492705,-0.8765955,-0.8864496
3205,-0.37561247,-0.34740537,-0.49863032
2426,-0.35093975,-0.03338468,-0.43526417
3825,-1.8938166,-2.0537715,-4.7414045
2433,0.22210605,-1.0982131,-0.354001
3364,-0.6397389,-0.051344573,-1.0308224
3222,-0.44830695,-1.1559229,-1.6525367
2506,-0.42140988,-1.2161112,-1.058931
3223,-0.07904948,-1.0456368,-0.50373584
2464,-0.86637104,-2.8614948,-4.3942366
3758,-0.4479581,-1.6190461,-2.1149623
3709,-1.5761204,-0.85487604,-3.107117
3298,-0.50926787,0.46986294,0.25132728
2182,-1.5242629,-1.7083497,-4.2568755
3610,-1.0531759,-0.65217054,-2.2585223
2941,0.32830238,0.26721472,1.1238195
3176,-2.2331114,-3.1497102,-6.515933
3462,-1.1974931,-1.7277014,-3.2226875
3093,-1.3854543,-1.5848236,-3.4557319
3476,-0.31530973,-1.5432646,-1.9738841
3999,-0.101855114,0.4596925,0.45598227
2884,-0.92677826,-2.4365587,-3.1901152
2378,-0.46621585,-0.5847831,-0.7172148
3791,-1.1471184,-0.9723339,-2.366571
3845,-0.91490096,-0.64548767,-1.4752893
2958,-0.4552604,-1.6871133,-2.197634
2760,-0.96539104,-2.002115,-3.0328972
3114,-0.30907112,-0.50570124,-0.9238435
3500,0.21004075,0.19627695,1.1163584
2450,-0.5315219,-2.32171,-2.9847538
3835,-0.88200164,-1.701999,-2.666002
3149,0.51082456,0.73951334,2.1611624
2045,-1.5959042,-2.723381,-4.9151897
3031,-1.6052219,-1.5194284,-3.7298722
3914,-0.8002359,-1.4556891,-2.6561608
3265,-0.63671064,-0.97343326,-1.8468546
2801,1.0512738,-0.22725725,2.6752903
2212,-0.60127306,-0.4643312,-0.96687734
3716,-0.9869301,-3.6605477,-4.6344075
3078,-0.053812668,-0.41833386,0.074040815
3724,-1.655905,-1.7279996,-4.539809
2465,-0.36471096,-0.71707594,-1.1464978
2394,-0.15098807,0.06372896,0.46175286
2867,-1.8056458,-1.1060688,-4.2173605
2355,-0.05398812,-1.8386562,-1.5466324
2704,-1.9636891,-0.76164454,-4.389023
3613,-1.2235432,-1.8051453,-3.3522313
2064,-0.5947317,-1.3008362,-1.7902995
2255,-1.1079726,-0.15917552,-1.4751208
2948,-0.22638163,-0.11163723,0.2355995
3151,-0.5234593,0.23721325,-0.20970538
2168,1.2329625,0.6186077,3.3845327
3047,-0.123212636,-1.1156906,-0.66211593
2141,0.6516316,-2.4414878,-1.0382246
3695,-1.6891042,-1.5666033,-4.0448112
3795,-0.25349182,-1.9756129,-2.4825966
3059,-1.1702245,-2.0498006,-3.0902498
2369,-0.36306623,-0.37532857,-0.80146104
3855,0.5172455,-0.9401303,0.69436073
2885,-0.77009386,-0.7459099,-1.5860977
3667,-1.0877324,-0.91805583,-2.793521
2400,-0.2145432,0.39637396,0.46728757
2123,0.18616484,0.27226818,1.3445979
2636,-1.0804347,-1.16076,-2.9216294
3823,0.3374483,-0.16412288,1.2107737
3978,-0.3750378,-0.25478482,-0.7048604
2919,-1.3540108,-2.3339365,-3.641958
3251,-0.88488686,-1.3997471,-2.6695209
3082,-1.6386725,-1.3574964,-3.5348413
2827,-0.83104616,-0.5667881,-1.8288805
3036,-1.3200724,-2.2298033,-3.8699477
3499,-0.5287187,-1.344929,-2.0023665
3659,-0.67929447,-1.6701508,-2.7287397
3404,-2.4882128,-1.5454655,-5.4218907
3919,-1.022435,-1.3683724,-3.0132422
2332,-1.1105704,-0.23454131,-1.7556822
2274,-0.95985985,-2.8066328,-3.3263524
2609,-0.6557642,-0.2716896,-0.8832181
3110,-1.123834,-0.39130738,-1.9389752
2243,-1.0549625,-1.5614455,-2.5713704
2029,-1.6670612,-1.8460598,-4.0801826
3361,-1.0873203,-1.427176,-2.6018167
3327,-1.4823647,-1.9496506,-3.7143805
2597,0.26366204,-0.2164934,0.61083066
2796,-1.2022969,-2.3505483,-3.755142
3415,-1.432486,-2.2429402,-4.207912
2374,-2.1538982,-3.0583665,-6.2661633
2864,-0.9166558,-1.1896427,-1.9229541
3383,-1.0434767,-1.0393307,-2.3262842
3310,-0.3919214,-0.9662307,-0.75007343
3392,-1.4989595,-1.9959713,-4.79389
2957,-0.8611205,-1.643477,-2.265718
2845,-1.0048856,-2.2226045,-3.3323755
2928,-1.0203164,-1.5938779,-3.4345107
2487,0.10782302,0.2602494,0.97589546
3952,-0.09528005,0.44069976,0.95013964
3347,-1.171096,-0.39745426,-2.3396463
3954,-1.4925684,-2.2219076,-4.7070446
3419,-0.24649549,-0.9866391,-1.17963
3996,-1.0074613,-2.6157513,-3.530674
2977,0.036156435,0.3661429,0.63845575
2969,-0.525531,-0.7601554,-1.1112174
3487,-1.2192518,-0.07899056,-1.817494
3262,-0.71495724,-0.3255031,-1.0554175
2535,-1.924044,-0.3684699,-3.816558
2345,-0.24484353,0.26104066,0.3713536
2065,-1.2889633,-2.4880824,-4.566009
2911,-0.8722312,-1.1549851,-1.8994476
3594,-1.0539632,-1.4914429,-2.7993693
2019,-0.21717148,0.36285758,0.6285146
3537,-1.1054373,-1.7178011,-3.5286756
3095,0.09336813,-0.3899098,0.49682647
2359,0.19827488,-1.6731013,-0.87655157
3207,-0.6849612,-1.2460625,-1.6159849
3353,-0.6545466,-1.2356329,-1.544726
3220,-1.7154106,-2.222855,-4.6536765
2852,-0.95638907,-1.1047753,-2.2175531
3956,-0.6792297,-0.8443626,-1.5028218
3278,-1.7314728,-0.6034814,-3.0664268
2117,-1.048615,-2.4778376,-4.0750675
3306,-0.39688796,-1.4776945,-1.9714705
2857,-3.360714,-3.8637493,-9.185178
2840,-0.9855361,-1.0293387,-2.600411
2172,-1.5153193,-2.290248,-4.020887
3312,-0.7645471,-0.981948,-2.2110422
3678,-1.6482197,0.07793977,-2.3184998
2992,-0.4534196,-1.2603168,-1.4671559
3921,0.09234975,-1.7377166,-1.3530171
2624,0.77874994,-0.093088366,1.8644116
3002,0.21920729,0.7324364,1.6708511
2724,-0.21530335,-0.30584782,-0.13645455
2859,-0.64646566,-3.5310798,-3.4240112
2809,-1.3584092,-1.8473979,-3.4642162
