,x1,x2,x3
2850,-1.5240487,-1.9308589,-4.978956
2223,-1.3528827,-2.8050594,-5.510825
3806,-0.3729641,-0.039019197,-0.7849474
3276,0.4545576,-1.3873174,-0.47820222
2556,-1.1350602,-0.76943123,-3.0395517
3417,-1.4723526,-1.4083108,-4.353016
2275,-0.68870974,-0.9473815,-2.324801
2606,-0.57460254,0.10100865,-1.0481964
3461,-1.3527343,-3.063931,-5.7693996
3271,-0.25916496,-0.9432967,-1.4616265
2498,-0.14796118,0.8884867,0.5925643
3488,-0.9852435,-2.111541,-4.082028
3450,-0.6145914,-0.6708625,-1.9000454
2387,-1.0598097,-0.8352509,-2.9548702
2585,-1.2243081,-2.1141944,-4.5628104
3318,-0.7369295,-0.16729099,-1.64115
3354,-0.11997141,0.008410335,-0.23153248
2686,-2.1339664,-2.5518427,-6.8197756
2836,0.45034274,-0.7518252,0.14886028
3930,0.6155841,-0.3205499,0.91061825
2512,-0.76375204,-0.8274551,-2.3549592
3655,-0.053993035,-1.2355717,-1.3435577
2454,0.12425189,-0.31279618,-0.0642924
3409,-0.124313764,1.0406469,0.79201937
3569,-0.4842195,-1.6082294,-2.5766685
2878,-0.82130104,0.21386534,-1.4287367
2301,-1.92739,-3.158167,-7.012947
3507,-0.9814559,-2.0411959,-4.0041075
2781,-1.6054094,-2.058524,-5.2693424
2077,-0.41795456,-0.79084635,-1.6267555
2313,-0.06414802,-1.834408,-1.9627042
3065,-0.8450848,-0.30686855,-1.9970381
2956,-0.8388984,0.96602535,-0.7117715
3746,-0.115453534,-0.1860092,-0.41691628
2788,-0.7120542,-0.77433777,-2.1984463
3958,0.18093385,-1.361821,-0.9999534
3903,-0.6255665,-0.42965573,-1.6807888
2722,0.19455758,-0.36142185,0.027693301
3376,-0.40224063,0.21054327,-0.593938
2700,-0.37570283,-0.61610246,-1.3675082
2181,-0.6670846,0.41051328,-0.92365587
3210,-0.7845354,0.094733894,-1.4743369
3842,0.14507295,-0.5765955,-0.2864496
3205,-0.17561248,-0.24740538,-0.5986303
2426,-0.05093974,0.26661533,0.16473585
3825,-1.7938166,-1.9537716,-5.5414047
2433,0.52210605,-0.7982131,0.24599898
3364,-0.3397389,0.24865544,-0.43082237
3222,-0.048306946,-1.2559229,-1.3525368
2506,-0.121409886,-0.91611123,-1.158931
3223,0.020950515,-0.9456368,-0.9037358
2464,-0.66637105,-2.3614948,-3.694237
3758,-0.047958124,-1.2190461,-1.3149624
3709,-1.3761203,-0.95487607,-3.7071168
3298,-0.30926785,0.669863,0.05132729
2182,-1.0242629,-1.2083497,-3.2568755
3610,-0.55317587,-0.15217045,-1.2585223
2941,0.5283024,0.3672147,1.4238195
3176,-2.2331114,-3.1497102,-7.615933
3462,-1.1974931,-1.0277014,-3.4226875
3093,-1.3854543,-1.5848236,-4.355732
3476,-0.11530974,-1.2432647,-1.4738841
3999,0.09814489,0.5596925,0.7559823
2884,-0.92677826,-1.5365587,-3.3901153
2378,-0.26621586,-0.38478306,-0.9172148
3791,-1.0471184,-0.8723339,-2.9665709
3845,-0.81490093,-0.54548764,-2.1752894
2958,-0.0552604,-1.2871133,-1.3976341
2760,-0.76539105,-1.9021151,-3.4328973
3114,-0.10907111,-0.30570126,-0.52384347
3500,0.31004074,0.39627695,1.0163584
2450,-0.13152194,-1.92171,-2.184754
3835,-0.68200165,-1.5019989,-2.866002
3149,0.6108246,0.83951336,2.0611625
2045,-1.5959042,-2.223381,-5.4151897
3031,-1.6052219,-1.5194284,-4.729872
3914,-0.40023595,-1.355689,-2.1561608
3265,-0.23671062,-0.5734332,-1.0468545
2801,1.3512738,0.0727427,2.7752903
2212,-0.40127307,-0.26433122,-1.0668774
3716,-0.9869301,-3.6605477,-5.6344075
3078,0.046187334,-0.21833387,-0.12595919
3724,-1.155905,-1.8279996,-4.1398096
2465,-0.06471097,-0.41707593,-0.5464979
