,x1,x2,x3
2750,0.371331,0.8547634,1.1974252
3041,1.1067134,0.04069519,1.2541219
2530,0.3546005,0.94409597,2.553297
2885,0.6299061,0.65409005,0.51390225
2506,1.17859,0.38388872,2.441069
3043,0.92632246,0.25117746,2.6038225
2761,0.8739151,0.6449933,0.9928236
2640,0.5651281,0.7467808,2.677037
2730,0.774105,0.7869407,2.5351508
3538,-0.09971235,1.3304441,-0.7689806
3829,1.4922892,-0.31393337,1.9706448
3066,0.548811,0.75137806,1.049
2609,0.44423577,0.8283104,0.61678195
3844,0.35181972,0.9647244,1.9683638
2440,0.4242382,1.395849,2.0443254
2188,0.7487342,0.39529306,0.5927614
3504,0.7616344,0.7601775,1.4834464
2268,0.389187,1.1348661,1.81324
3298,0.39073214,1.3698629,2.4513273
3075,0.46593708,1.2158085,1.5476826
2649,-0.16354144,1.4147335,1.0876507
3976,0.85458153,0.51733994,2.426503
2013,0.5043087,0.9345748,2.2431922
3683,0.86471176,0.48597568,2.2153993
2378,0.9337841,0.8152169,2.4827852
3739,0.7530618,0.76761395,1.9737375
2209,1.2057552,0.146299,2.1578095
2851,0.4425936,0.871559,2.6567464
3328,0.34571227,0.83720714,-0.07136822
2852,0.743611,0.69522476,1.5824466
2171,-0.05843668,1.379631,-0.93724227
2684,0.7141813,0.49447566,1.5228384
3758,1.2520418,0.08095384,2.2850375
2007,0.64845306,0.7531655,1.5500715
2090,0.28051224,1.0975063,1.2585306
3486,1.1573489,0.13726819,2.651966
2355,0.6460119,0.6613438,1.6533675
3496,0.60341567,0.7424321,1.2492635
2009,-0.06822801,1.1281662,-0.008289814
2941,0.5283024,0.5672147,1.6238196
3270,0.20466867,1.0015987,1.510936
3312,1.3354529,-0.081948,0.7889578
2472,0.11701467,1.2016554,1.0356847
3289,0.77556866,0.57414544,2.0252829
2347,1.2964029,0.009737015,2.2025428
2629,1.0227988,0.23760468,2.2832022
3052,0.5330921,1.1454031,1.9115872
2196,0.43883952,0.8932475,0.6709266
3455,0.37544417,1.070014,1.3209023
3193,0.061395705,1.0569326,1.6797237
2294,0.26708847,1.396899,1.9310758
3692,0.14418897,1.3128345,1.5012126
2190,-0.24304569,1.9783357,1.4922444
3377,1.0075692,0.6766241,0.7917626
3071,0.13498668,1.4951886,1.4651618
2663,0.44230565,0.857842,2.0424535
3703,0.5916335,0.8088414,2.5921085
3191,0.55215967,1.080147,1.4844663
3461,0.04726567,1.136069,0.8306005
2137,0.95823586,0.13938743,1.4558592
3552,0.4226284,1.2566197,2.5018766
2920,0.12992983,1.4210614,1.3809209
2700,0.8242972,0.5838976,2.032492
2431,0.48411793,1.2508985,2.0191343
3832,0.10516271,1.1132913,2.0236166
3998,0.68173945,0.6178237,2.1813025
2585,0.5756919,0.6858056,1.0371894
3545,0.52122957,0.6810361,1.6234953
3148,0.7194896,0.4475403,1.2865194
2680,1.1335421,0.27119666,2.5382807
3735,1.100713,0.2927897,2.3942158
3883,0.94160485,1.6348875,3.5180972
2197,0.20802976,1.0283699,2.4444294
2030,0.7039708,0.9769997,2.384941
3180,0.8420939,0.571102,1.55529
2274,1.6401402,-0.20663273,0.9736476
3258,0.75925666,0.7801471,2.4986603
3977,0.78888077,0.49778897,1.2755505
3550,1.0244397,0.3184536,2.1673331
2394,0.6490119,0.86372894,1.5617528
3283,0.5828792,0.9361802,2.0019386
3176,0.7668886,0.45028982,-0.015933037
2889,0.35382304,0.90377045,1.0114167
2881,0.68849635,0.70823854,1.7852314
2687,1.1318514,0.5882662,2.951969
3133,0.40404627,0.8211939,0.5292865
2887,1.5252941,-0.535393,2.5151951
2262,0.69581103,0.4014047,0.19302666
2200,0.5927563,0.76792526,0.6534378
2305,0.079464294,1.9048564,1.9637849
3709,0.023879671,1.145124,-0.20711672
2313,1.535852,-0.23440802,2.237296
3725,1.2833573,-0.25651708,0.01019752
3448,1.1435494,0.2674436,1.7545426
2126,0.38418412,0.93333995,0.5017082
2850,0.27595133,0.86914116,0.6210438
3610,0.54682416,0.9478296,1.9414778
3779,1.2837231,-0.077402115,1.0900441
3778,0.62401867,0.8949103,2.1429477
3621,1.1468314,0.10014045,1.4938035
2742,1.635497,1.4160739,4.687068
2657,1.0613855,0.21713018,1.8399013
3379,1.6041266,1.508697,4.71695
2362,0.52380496,0.83623594,1.0838459
2408,0.47765985,1.2238184,2.279138
3338,0.034521915,0.9826411,-0.04831505
3782,0.6230474,0.8822886,1.8283832
2345,0.55515647,0.9610406,2.4713538
2340,0.49102616,0.70310074,1.185153
2356,0.897947,0.45999488,2.1558888
2465,0.83528906,0.4829241,2.2535021
3858,0.8277227,0.40192333,0.5573688
2353,0.89299667,0.2771935,0.96318674
3253,1.1803712,0.37841022,1.6391528
2334,0.39891878,1.5889504,1.286788
2619,0.025839973,1.0911096,-0.15721047
2848,0.8997748,0.41140783,2.3109572
3958,1.0809338,0.038178943,2.3000467
2698,0.6197519,1.0468421,2.3863459
2686,0.56603354,0.54815733,-1.0197756
2824,0.39814788,1.1688185,1.2651142
2056,-0.036211155,1.323139,0.15071654
3108,0.07193466,1.8251529,2.5690222
2976,0.7499426,0.3430837,1.1429688
2329,0.8156009,0.657349,2.0885508
2019,0.48282853,1.0628576,1.5285146
3677,0.56604385,0.94474065,1.4768283
3569,1.1157805,-0.008229494,1.6233313
2786,0.8867737,0.4170997,0.29064715
3686,0.8320514,0.65806615,0.42216897
2918,0.9904771,0.34329712,1.8242513
2946,-0.060648087,1.7740449,1.6527487
2130,0.6446837,0.7283555,1.017723
2020,0.4183455,0.8898829,0.526574
3151,0.47654068,1.2372133,2.1902947
3277,0.66197723,0.69333005,2.5172846
2791,1.3815084,-0.048982404,2.7140343
