ix,goal_cost,intv_cost
2750,0.763,4.5
3041,0.755,2.0
2530,0.76,3.2
2885,0.762,1.4
2506,0.808,1.3
3043,0.752,1.4
2761,0.805,2.4
2640,0.768,2.4000000000000004
2730,0.779,0.8
3538,0.758,5.0
3829,0.764,1.7
3066,0.783,1.8
2609,0.76,1.1
3844,0.754,2.0
2440,0.816,1.2
2188,0.756,2.3
3504,0.77,0.8
2268,0.772,1.1
3298,0.755,0.7
3075,0.771,0.6
2649,0.751,4.1
3976,0.756,0.8
2013,0.751,2.0
3683,0.8529999852180481,0.0
2378,0.816,1.2
3739,0.771,1.3
2209,0.786,1.4
2851,0.761,1.9000000000000001
3328,0.762,6.4
2852,0.786,1.6
2171,0.765,2.2
2684,0.76,1.4
3758,0.781,1.3
2007,0.7889999747276306,1.5
2090,0.788,1.4
3486,0.773,0.8
2355,0.763,2.4
3496,0.781,1.7
2009,0.7549999952316284,6.0
2941,0.756,0.2
3270,0.763,3.5
3312,0.751,2.6
2472,0.772,4.5
3289,0.768,3.2
2347,0.76,1.4
2629,0.762,1.0
3052,0.821,1.3
2196,0.766,4.6
3455,0.7580000162124634,1.5
3193,0.754,3.1
2294,0.7689999938011169,1.0
3692,0.757,1.1
2190,0.781,1.0
3377,0.842,2.9
3071,0.77,1.3
2663,0.768,3.5
3703,0.773,2.2
3191,0.78,0.7
3461,0.762,5.6
2137,0.76,0.6
3552,0.783,0.6
2920,0.768,1.3
2700,0.763,1.2
2431,0.784,1.2
3832,0.762,4.5
3998,0.759,2.9000000000000004
2585,0.763,4.6
3545,0.781,0.1
3148,0.77,1.6
2680,0.763,1.0
3735,0.772,1.1
3883,0.9549999833106995,0.0
2197,0.756,2.1
2030,0.8700000047683716,0.0
3180,0.779,1.7
2274,0.768,2.1
3258,0.778,0.8
3977,0.774,1.8
3550,0.773,1.2
2394,0.759,0.6
3283,0.775,1.1
3176,0.758,6.6
2889,0.769,1.6
2881,0.771,1.3
2687,0.809,0.9
3133,0.772,7.300000000000001
2887,0.8799999952316284,0.0
2262,0.752,5.7
2200,0.776,1.3
2305,0.81,1.1
3709,0.754,3.5
2313,0.755,1.6
3725,0.764,4.4
3448,0.786,0.8
2126,0.773,3.3
2850,0.763,4.6
3610,0.759,1.1
3779,0.756,1.4
3778,0.8399999737739563,0.0
3621,0.777,1.9
2742,0.9850000143051147,0.0
2657,0.766,1.5
3379,0.9879999756813049,0.0
2362,0.76,2.1
2408,0.794,0.9
3338,0.752,2.1
3782,0.769,1.3
2345,0.752,0.6
2340,0.7549999952316284,1.5
2356,0.766,3.2
2465,0.752,0.9
3858,0.7630000114440918,1.5
2353,0.775,2.1
3253,0.812,2.1
2334,0.837,1.1
2619,0.761,4.4
2848,0.76,0.9
3958,0.755,2.3
2698,0.785,0.9
2686,0.763,5.800000000000001
2824,0.785,1.7
2056,0.763,2.1
3108,0.781,0.4
2976,0.759,1.7
2329,0.774,1.2
2019,0.7860000133514404,0.5
3677,0.772,0.6
3569,0.754,1.6
2786,0.772,1.9
3686,0.795,1.9
2918,0.79,0.5
2946,0.7519999742507935,0.0
2130,0.7639999985694885,2.0
2020,0.754,2.2
3151,0.7889999747276306,1.0
3277,0.7519999742507935,0.5
2791,0.907,0.1
3051,0.776,0.4
2555,0.758,3.5999999999999996
2052,0.8610000014305115,0.0
3970,0.765,0.9
3011,0.755,1.6
3112,0.782,1.2
3965,0.808,2.2
3625,0.782,4.3
2096,0.763,3.0
3641,0.7979999780654907,0.0
2743,0.758,1.0
2738,0.7699999809265137,0.5
3451,0.795,1.9
3756,0.775,1.8
3123,0.775,0.7
2856,0.817,3.0
3114,0.7789999842643738,1.0
3676,0.755,4.5
3868,0.757,2.1
2016,0.9679999947547913,0.0
2991,0.764,4.3
2223,0.773,5.4
2184,0.754,6.0
2719,0.766,3.4000000000000004
2773,0.7689999938011169,1.5
3065,0.78,1.3
2650,0.788,2.0
2570,0.7620000243186951,2.0
2244,0.755,4.0
2453,0.778,0.4
3384,0.811,1.1
3613,0.793,2.1
3117,0.763,3.9
3374,0.769,2.4000000000000004
2510,0.761,1.8
2290,0.8349999785423279,0.0
2181,0.763,0.9
2254,0.7559999823570251,1.5
3822,0.9229999780654907,0.0
3036,0.752,2.2
2099,0.7699999809265137,0.5
3304,0.764,0.8
3954,0.7649999856948853,2.0
3601,0.753,2.0
2237,0.769,1.1
3544,0.763,0.9
3047,0.769,1.2
3647,0.766,0.3
3464,0.768,2.7
2613,0.761,3.8000000000000003
2902,0.753,0.3
3271,0.773,1.3
3082,0.757,4.0
2866,0.761,3.3
2788,0.756,2.9000000000000004
2097,0.755,3.4
2333,0.786,1.4
2521,0.758,3.7
3015,0.752,0.7
3207,0.804,1.5
3614,0.8320000171661377,0.0
2771,0.763,1.1
2259,0.761,0.30000000000000004
