,y_hat
2649,False
2965,False
3331,False
2828,False
2119,False
3865,False
3695,False
3626,False
3970,False
3987,False
3488,False
2974,False
2878,False
2053,False
3845,False
2748,False
3024,False
3553,False
3363,False
2841,False
3346,False
3178,False
3919,False
2603,False
2746,False
3219,False
3140,False
2934,False
3560,False
3258,False
3971,False
2442,False
2582,False
3907,False
3364,False
3108,False
3642,False
3992,False
2064,False
2361,False
3573,False
2769,False
2464,False
3745,False
3071,False
3316,False
3709,False
2521,False
3726,False
2095,False
3110,False
2364,False
3957,False
2908,False
3206,False
3301,False
3530,False
3562,False
3863,False
2349,False
3043,False
3475,False
2106,False
2377,False
2732,False
3190,False
2350,False
3622,False
3130,False
2936,False
2383,False
2621,False
3143,False
3496,False
3276,False
2892,False
3465,False
2733,False
2168,False
3879,False
2169,False
2806,False
2995,False
2311,False
2245,False
3704,False
2963,False
2813,False
2635,False
2182,False
3217,False
3197,False
3741,False
3211,False
3607,False
3660,False
2163,False
2628,False
2088,False
3255,False
3147,False
2801,False
3314,False
2590,False
2426,False
2212,False
2564,False
2235,False
2988,False
2646,False
2947,False
2118,False
3372,False
2661,False
2190,False
2940,False
2897,False
2689,False
2239,False
3598,False
2266,False
3527,False
2136,False
3408,False
3242,False
3138,False
3914,False
2833,False
2093,False
3878,False
3159,False
3765,False
2468,False
3694,False
2435,False
3953,False
2026,False
2354,False
2862,False
2209,False
2482,False
3525,False
3049,False
3378,False
3721,False
3692,False
3265,False
2339,False
3001,False
2167,False
3813,False
3888,False
2445,False
3991,False
2889,False
2396,False
2899,False
3368,False
3295,False
2830,False
3288,False
3027,False
3967,False
2108,False
3394,False
2416,False
3808,False
2894,False
2495,False
2470,False
3976,False
2378,False
2437,False
3098,False
3118,False
3014,False
3032,False
3600,False
2189,False
2559,False
2440,False
3796,False
3529,False
3835,False
3336,False
2226,False
3092,False
2736,False
3448,False
2406,False
2250,False
3155,False
3760,False
2764,False
3605,False
3761,False
2895,False
2331,False
2181,False
2588,False
