,y
3019,0.0
2093,0.0
3390,0.0
2614,1.0
3573,0.0
3444,0.0
3605,1.0
3655,0.0
3586,0.0
3168,1.0
3813,0.0
3801,1.0
3203,1.0
2840,0.0
3841,1.0
2246,0.0
3355,0.0
2147,0.0
3817,0.0
3194,0.0
2241,0.0
2542,0.0
2292,0.0
3167,0.0
2324,0.0
3630,0.0
2671,0.0
2963,1.0
3327,0.0
2258,0.0
3703,0.0
3566,0.0
3526,0.0
3722,1.0
2313,0.0
2154,1.0
3070,0.0
3453,0.0
3431,0.0
3134,0.0
2592,0.0
3868,0.0
3697,0.0
3175,1.0
3464,1.0
2218,0.0
2524,0.0
2014,1.0
3977,0.0
3045,0.0
2061,0.0
3501,0.0
2814,1.0
2543,0.0
2066,0.0
3408,1.0
3802,0.0
2998,0.0
2455,0.0
2250,0.0
3925,0.0
2273,0.0
3700,0.0
3141,0.0
3098,0.0
3870,0.0
2465,0.0
3331,0.0
2033,0.0
3561,0.0
2060,0.0
2934,0.0
2631,0.0
3396,0.0
3667,1.0
3140,0.0
3293,0.0
3970,1.0
2175,0.0
3008,0.0
3791,0.0
2649,0.0
2166,0.0
3551,1.0
3651,0.0
3302,0.0
2894,0.0
2341,0.0
2922,0.0
2209,1.0
3769,0.0
2012,1.0
2953,1.0
2864,0.0
3558,0.0
2550,1.0
2105,0.0
3219,0.0
3158,0.0
2972,0.0
2394,0.0
2463,0.0
3863,0.0
3852,1.0
3385,1.0
2961,0.0
3664,0.0
2940,0.0
2854,0.0
3622,0.0
3363,0.0
3488,0.0
3108,1.0
3438,0.0
3805,0.0
2290,0.0
2804,0.0
2378,0.0
3816,1.0
2266,0.0
2440,0.0
2766,0.0
3766,0.0
3005,1.0
2908,0.0
2949,0.0
2612,1.0
3187,0.0
3021,0.0
3336,0.0
2087,0.0
2803,0.0
3892,0.0
3127,0.0
3698,0.0
2630,0.0
3242,0.0
2605,1.0
3542,0.0
2196,0.0
3119,0.0
2067,0.0
3723,0.0
2905,1.0
2654,1.0
3939,0.0
3249,0.0
3261,0.0
2726,1.0
3161,0.0
2375,0.0
2609,0.0
2198,0.0
3113,1.0
3543,0.0
3066,1.0
3669,0.0
3905,0.0
3079,1.0
2591,1.0
3106,0.0
2221,0.0
3309,0.0
3365,1.0
3449,0.0
3795,0.0
2152,0.0
2642,0.0
2435,0.0
3143,0.0
2047,0.0
3932,1.0
3926,1.0
3437,0.0
3197,0.0
2287,0.0
2559,1.0
2969,0.0
3475,0.0
2151,0.0
3379,0.0
2400,0.0
2951,1.0
2700,1.0
3912,0.0
3416,0.0
2957,0.0
3266,0.0
3206,1.0
2974,0.0
2911,0.0
2500,0.0
3879,0.0
2981,0.0
2118,0.0
2833,1.0
3340,0.0
2386,0.0
2406,0.0
3681,0.0
