,y_hat
2813,False
3603,False
3409,False
2181,False
2093,False
3144,False
2274,False
3872,False
3934,False
3600,False
2378,False
2870,False
2122,False
3962,False
2006,False
2211,False
2671,False
2380,False
2559,False
2179,False
3801,False
3141,False
2418,False
2539,False
3652,False
2822,False
3017,False
2052,False
2615,False
2577,False
3607,False
2129,False
2210,False
3117,False
3908,False
3714,False
3895,False
2300,False
2348,False
3405,False
3742,False
2844,False
3692,False
2203,False
3385,False
3971,False
3626,False
2957,False
3314,False
3529,False
3748,False
2446,False
2719,False
2158,False
3232,False
3887,False
3192,False
3363,False
3492,False
2587,False
3953,False
2917,False
3526,False
3046,False
2851,False
3496,False
3408,False
2437,False
2117,False
3300,False
2548,False
3121,False
3986,False
2324,False
2625,False
3021,False
2364,False
3900,False
3203,False
2918,False
2010,False
3545,False
2148,False
2644,False
2409,False
2582,False
2111,False
3643,False
3700,False
3537,False
2349,False
2476,False
3896,False
3287,False
3270,False
2621,False
2079,False
2545,False
3484,False
2561,False
3001,False
2894,False
3464,False
2147,False
2654,False
2015,False
3697,False
2403,False
3893,False
3277,False
2326,False
3149,False
3950,False
3722,False
2804,False
2859,False
3488,False
2646,False
2201,False
3109,False
3130,False
2823,False
3825,False
3806,False
2656,False
3768,False
2468,False
3819,False
2352,False
2588,False
2562,False
2766,False
2224,False
2156,False
3796,False
2445,False
3369,False
3708,False
3734,False
3952,False
2784,False
3350,False
3444,False
3154,False
2693,False
2602,False
3648,False
2998,False
3864,False
2694,False
2431,False
2138,False
3276,False
2119,False
3214,False
3364,False
2430,False
3320,False
3157,False
2884,False
3475,False
3327,False
2080,False
2892,False
2826,False
3939,False
3797,False
3352,False
3747,False
2423,False
2603,False
3204,False
2907,False
3695,False
2341,False
3551,False
3629,False
2354,False
3898,False
3965,False
2482,False
3814,False
3882,False
3564,False
2500,False
3262,False
2938,False
2622,False
2705,False
2779,False
3375,False
2628,False
2154,False
3515,False
2345,False
3472,False
2258,False
2042,False
3228,False
2903,False
