,y
3722,1.0
2521,1.0
3518,0.0
2089,1.0
2782,1.0
2349,1.0
2289,1.0
3404,1.0
3456,1.0
3865,1.0
3096,1.0
3008,0.0
3714,1.0
3840,1.0
2652,0.0
3079,1.0
3378,1.0
2974,0.0
2175,0.0
3524,1.0
2102,1.0
3467,0.0
3140,1.0
3666,1.0
2235,1.0
3156,1.0
2930,1.0
2324,0.0
2226,1.0
3157,1.0
2813,1.0
2947,1.0
3879,0.0
2437,1.0
3791,0.0
3605,1.0
3380,0.0
3628,1.0
2779,1.0
2579,1.0
3646,0.0
2908,1.0
2435,0.0
2172,1.0
2245,0.0
3475,1.0
2705,0.0
3024,0.0
2072,1.0
2343,1.0
3532,1.0
3672,0.0
3825,1.0
3662,1.0
2573,0.0
2331,1.0
2750,1.0
3868,1.0
2354,1.0
3700,0.0
3098,0.0
2515,0.0
3902,1.0
3992,1.0
2189,1.0
3806,0.0
3389,1.0
3212,1.0
3197,1.0
2987,1.0
2625,0.0
2426,1.0
2936,1.0
2922,1.0
3525,1.0
3987,1.0
3077,1.0
2188,0.0
3264,1.0
3490,1.0
2917,0.0
2582,1.0
3962,1.0
2543,1.0
2721,1.0
3330,1.0
2949,1.0
2570,0.0
3030,1.0
2339,1.0
2880,1.0
3365,1.0
3066,1.0
2282,1.0
2092,1.0
2818,0.0
2726,1.0
2534,1.0
2728,1.0
3127,1.0
3320,1.0
2889,0.0
2684,1.0
2551,1.0
3149,1.0
2785,1.0
2822,1.0
2761,1.0
2892,1.0
3237,1.0
3164,1.0
2390,1.0
2350,1.0
2526,1.0
3141,1.0
2549,1.0
2766,0.0
3561,1.0
2171,1.0
3697,1.0
2190,1.0
2104,1.0
2198,0.0
3681,1.0
2569,1.0
2221,1.0
2823,1.0
2571,1.0
3625,0.0
3317,1.0
2196,1.0
3598,0.0
2802,1.0
3823,1.0
3394,1.0
3189,1.0
2836,1.0
2755,1.0
2326,1.0
3071,1.0
2084,0.0
3368,1.0
2039,1.0
2433,1.0
3526,1.0
2676,1.0
2474,1.0
2856,1.0
3874,0.0
3173,0.0
2724,1.0
2386,0.0
2919,1.0
3094,1.0
2037,0.0
2806,1.0
3288,1.0
3501,1.0
3747,1.0
3801,1.0
3454,1.0
3601,1.0
2786,0.0
3485,1.0
2626,1.0
3776,1.0
3835,0.0
3573,1.0
3820,1.0
2167,1.0
2536,0.0
2820,1.0
2803,0.0
3708,1.0
2234,1.0
3287,1.0
3608,0.0
3052,1.0
3385,1.0
3542,1.0
3076,0.0
3070,0.0
2043,1.0
2905,1.0
2378,1.0
3343,1.0
3167,1.0
3465,1.0
2108,1.0
3304,1.0
3017,0.0
2693,1.0
3419,1.0
3480,1.0
3285,0.0
3403,0.0
2557,1.0
2997,1.0
3290,1.0
2376,0.0
