,y
2367,0.0
3328,0.0
2865,0.0
3039,0.0
2699,0.0
2077,0.0
3074,0.0
2388,0.0
2888,1.0
2777,0.0
3436,0.0
3465,0.0
3817,0.0
2994,0.0
2239,0.0
3455,0.0
3381,0.0
2571,0.0
2320,0.0
2719,0.0
2636,0.0
3885,0.0
2486,0.0
2797,0.0
3692,0.0
2793,0.0
3724,0.0
3642,0.0
3233,0.0
2635,0.0
2798,0.0
3732,1.0
3485,0.0
3808,0.0
2726,0.0
3603,0.0
3920,0.0
3652,0.0
2971,0.0
2982,0.0
3191,0.0
2354,0.0
3882,0.0
2361,0.0
2018,0.0
3776,0.0
2893,0.0
3674,0.0
3025,0.0
2397,0.0
3869,0.0
3147,0.0
3972,0.0
3595,1.0
3333,0.0
2790,0.0
2465,1.0
2897,0.0
2619,0.0
3052,0.0
3343,0.0
2264,1.0
3355,0.0
2065,0.0
3678,0.0
3706,0.0
3279,0.0
3540,0.0
3489,0.0
3232,0.0
2093,0.0
2314,0.0
2663,0.0
2326,0.0
2211,0.0
2376,0.0
2290,0.0
3783,0.0
2694,0.0
2003,0.0
3046,0.0
3886,0.0
2735,0.0
2762,0.0
3379,0.0
3698,0.0
2748,0.0
2879,0.0
3447,0.0
2185,0.0
2027,0.0
2484,0.0
3380,0.0
3515,0.0
2385,0.0
2473,1.0
3744,0.0
3360,0.0
2973,0.0
3140,0.0
3763,1.0
3669,0.0
3061,0.0
2891,0.0
3508,0.0
2683,0.0
2718,0.0
3861,0.0
3666,0.0
3172,0.0
3636,0.0
2715,0.0
3899,1.0
3645,0.0
2410,0.0
2679,0.0
3182,0.0
3627,0.0
3914,1.0
2072,0.0
3099,0.0
2371,0.0
2074,0.0
2020,0.0
2162,0.0
3029,0.0
2710,0.0
3558,0.0
3101,0.0
3788,0.0
3831,0.0
3720,0.0
2400,0.0
2096,1.0
2759,1.0
3044,0.0
2164,0.0
2869,0.0
2297,0.0
2943,0.0
3495,0.0
2262,0.0
2435,0.0
3683,0.0
3502,0.0
2732,0.0
2808,0.0
2952,1.0
3690,0.0
2813,0.0
3638,0.0
2023,0.0
3793,0.0
3016,0.0
3105,0.0
3284,0.0
3375,0.0
2598,0.0
3179,0.0
3840,0.0
3999,0.0
3011,0.0
2455,0.0
3426,0.0
2508,0.0
2467,1.0
2157,0.0
3494,0.0
2221,0.0
3273,0.0
2950,0.0
2914,0.0
2962,0.0
2369,0.0
2364,0.0
3841,0.0
2595,0.0
3340,0.0
3823,0.0
2787,0.0
3184,0.0
2727,0.0
3664,0.0
2070,0.0
3302,0.0
3004,0.0
3488,0.0
3324,0.0
2745,0.0
2953,1.0
2780,0.0
3243,0.0
2682,0.0
2342,0.0
3897,0.0
2974,0.0
2522,0.0
3295,0.0
3435,0.0
3738,0.0
