,y
3851,1.0
3242,1.0
3683,0.0
2828,1.0
2178,0.0
2635,0.0
2532,1.0
2326,1.0
2790,0.0
2422,0.0
3554,0.0
3831,0.0
3326,0.0
3175,1.0
3778,1.0
3545,0.0
2237,1.0
2309,1.0
2009,0.0
3324,1.0
2764,1.0
3045,0.0
2681,1.0
2953,1.0
3874,1.0
3670,1.0
2031,1.0
3162,0.0
2706,0.0
3654,0.0
2847,1.0
3439,0.0
2097,1.0
3495,1.0
3708,0.0
2674,0.0
3817,1.0
3370,0.0
3558,0.0
2546,1.0
2276,0.0
2038,1.0
3568,1.0
3988,0.0
2882,1.0
3423,1.0
3092,1.0
2281,1.0
2522,1.0
3402,1.0
2509,1.0
2548,0.0
3031,0.0
2741,1.0
2269,0.0
2727,1.0
3417,1.0
2801,1.0
2163,1.0
3330,1.0
3159,1.0
2877,0.0
2357,1.0
2231,1.0
3186,0.0
3256,1.0
2435,1.0
2070,0.0
2488,0.0
2693,1.0
3192,1.0
2657,0.0
3153,1.0
3278,0.0
3362,1.0
2402,0.0
2026,0.0
2273,1.0
2598,1.0
3537,1.0
2702,0.0
2777,0.0
2772,0.0
2364,1.0
2807,0.0
3764,0.0
3072,1.0
3991,1.0
2627,0.0
3493,1.0
2583,1.0
2277,1.0
2415,0.0
2542,1.0
2211,1.0
2108,0.0
2678,1.0
2023,1.0
2494,1.0
2714,1.0
3020,0.0
2805,0.0
2862,1.0
2898,1.0
3763,1.0
2212,1.0
3299,0.0
2776,0.0
2782,0.0
3722,1.0
3234,1.0
2400,0.0
3603,0.0
3341,1.0
3780,1.0
3483,1.0
2739,0.0
2593,1.0
2367,1.0
2997,1.0
2954,0.0
2077,1.0
3644,0.0
2254,0.0
3385,1.0
3273,0.0
3261,1.0
3282,1.0
3711,0.0
2824,0.0
2095,0.0
3345,0.0
2818,1.0
2299,0.0
3367,1.0
2086,1.0
2647,1.0
3828,0.0
2343,0.0
2484,0.0
2118,0.0
3456,1.0
3885,0.0
2465,1.0
2762,0.0
3739,0.0
3530,1.0
3957,1.0
2220,1.0
3886,1.0
3811,0.0
3301,1.0
3340,1.0
3169,0.0
2453,0.0
3854,1.0
3630,0.0
3184,1.0
2173,1.0
3681,1.0
3156,0.0
2611,1.0
2537,0.0
3027,1.0
2998,0.0
2363,0.0
3467,1.0
2925,0.0
2192,1.0
2368,1.0
3292,0.0
2959,0.0
2462,0.0
2672,1.0
2885,0.0
2967,0.0
2855,0.0
2291,1.0
2813,1.0
2480,0.0
2185,1.0
2358,0.0
2404,1.0
3016,1.0
2370,0.0
3540,1.0
3732,1.0
2286,0.0
2012,1.0
2217,0.0
2043,1.0
2656,1.0
3195,0.0
2019,0.0
3882,1.0
3786,1.0
2694,0.0
3325,1.0
3887,1.0
2991,1.0
