,y
3851,1.0
3242,0.0
3683,0.0
2828,1.0
2178,0.0
2635,0.0
2532,0.0
2326,0.0
2790,0.0
2422,0.0
3554,0.0
3831,0.0
3326,0.0
3175,0.0
3778,0.0
3545,0.0
2237,0.0
2309,0.0
2009,0.0
3324,0.0
2764,0.0
3045,0.0
2681,1.0
2953,1.0
3874,0.0
3670,1.0
2031,0.0
3162,0.0
2706,0.0
3654,0.0
2847,0.0
3439,0.0
2097,1.0
3495,0.0
3708,0.0
2674,0.0
3817,0.0
3370,0.0
3558,0.0
2546,0.0
2276,0.0
2038,0.0
3568,0.0
3988,0.0
2882,0.0
3423,0.0
3092,0.0
2281,0.0
2522,0.0
3402,0.0
2509,0.0
2548,0.0
3031,0.0
2741,0.0
2269,0.0
2727,0.0
3417,1.0
2801,0.0
2163,0.0
3330,1.0
3159,0.0
2877,0.0
2357,0.0
2231,0.0
3186,0.0
3256,0.0
2435,0.0
2070,0.0
2488,0.0
2693,0.0
3192,0.0
2657,0.0
3153,0.0
3278,0.0
3362,0.0
2402,0.0
2026,0.0
2273,0.0
2598,0.0
3537,0.0
2702,0.0
2777,0.0
2772,0.0
2364,0.0
2807,0.0
3764,0.0
3072,1.0
3991,0.0
2627,0.0
3493,0.0
2583,0.0
2277,1.0
2415,0.0
2542,0.0
2211,0.0
2108,0.0
2678,0.0
2023,0.0
2494,1.0
2714,0.0
3020,0.0
2805,0.0
2862,1.0
2898,0.0
3763,1.0
2212,1.0
3299,0.0
2776,0.0
2782,0.0
3722,0.0
3234,0.0
2400,0.0
3603,0.0
3341,0.0
3780,0.0
3483,0.0
2739,0.0
2593,1.0
2367,0.0
2997,0.0
2954,0.0
2077,0.0
3644,0.0
2254,0.0
3385,0.0
3273,0.0
3261,0.0
3282,0.0
3711,0.0
2824,0.0
2095,0.0
3345,0.0
2818,0.0
2299,0.0
3367,0.0
2086,0.0
2647,0.0
3828,0.0
2343,0.0
2484,0.0
2118,0.0
3456,0.0
3885,0.0
2465,1.0
2762,0.0
3739,0.0
3530,0.0
3957,1.0
2220,0.0
3886,0.0
3811,0.0
3301,0.0
3340,0.0
3169,0.0
2453,0.0
3854,0.0
3630,0.0
3184,0.0
2173,0.0
3681,0.0
3156,0.0
2611,0.0
2537,0.0
3027,0.0
2998,0.0
2363,0.0
3467,0.0
2925,0.0
2192,1.0
2368,0.0
3292,0.0
2959,0.0
2462,0.0
2672,0.0
2885,0.0
2967,0.0
2855,0.0
2291,0.0
2813,0.0
2480,0.0
2185,0.0
2358,0.0
2404,0.0
3016,0.0
2370,0.0
3540,0.0
3732,1.0
2286,0.0
2012,0.0
2217,0.0
2043,0.0
2656,0.0
3195,0.0
2019,0.0
3882,0.0
3786,0.0
2694,0.0
3325,0.0
3887,0.0
2991,0.0
