,x1,x2,x3,x4
2220,-1.2628392,-3.1537685,-1.3010808,-5.7062206
2580,-1.4151529,-3.0037928,-1.3784016,-5.852274
3955,-0.5017596,-1.2543418,-0.44231993,-2.281025
2870,-0.31996784,0.22829819,-0.1376478,-0.06966874
3455,-1.5477355,-1.8810163,-1.5604116,-4.8985915
3052,-0.9810536,-1.7955179,-0.8350498,-3.621824
3056,-0.95236343,-1.1268542,-0.9577852,-3.0810707
3059,-0.76788336,-2.0092182,-0.7240438,-3.5616443
2123,-1.5095981,-2.573009,-1.5650251,-5.6489205
2954,-1.1817263,-1.2491125,-1.0810668,-3.4529889
3190,-0.6470923,-2.8171473,-0.89322436,-4.2712097
3257,-0.038967874,0.085787356,-0.06484404,-0.18796322
2592,-0.96599066,-2.9998596,-1.0148847,-4.9626155
2005,-0.6208776,-1.9533683,-0.74770105,-3.2746058
3709,0.048978426,-0.36141896,0.14223847,-0.20501566
3666,-2.7931342,-5.837957,-2.8108015,-11.433062
2904,-1.4695774,-1.8002723,-1.3762674,-4.500767
3388,-0.13268846,-1.970835,-0.2031005,-2.2016351
2429,-0.01626834,-0.03742695,0.007019859,-0.028403657
2818,-0.8687928,-1.3037939,-0.89021325,-3.1525323
3713,-0.06724323,-2.1686518,-0.19882315,-2.5042894
2368,-0.888709,-2.638876,-0.9099146,-4.3787627
2438,-0.99087095,-2.5849056,-0.87939286,-4.3063836
2404,-1.4698011,-1.8153559,-1.6600564,-4.9315715
2243,-0.26111567,-0.85675323,-0.45239872,-1.4697853
2501,-0.51089627,-1.4861379,-0.32799524,-2.2922466
2897,-0.34505346,-0.80925083,-0.3364042,-1.4771192
2240,-1.7170057,-2.0148714,-1.5424957,-5.276412
2768,-1.6409491,-3.5714858,-1.5736576,-6.725798
3131,-1.0996083,0.4670992,-1.0882277,-1.6067888
3997,-2.7279465,-7.0653734,-2.819548,-12.704406
2144,-0.06684941,-0.59928495,-0.0457727,-0.73063123
2273,-1.5240792,-2.0081854,-1.4835253,-5.1590395
3654,-0.6715972,-1.658777,-0.51900643,-2.849181
2648,-0.599732,-0.46547836,-0.51723015,-1.5584567
3175,-1.0240287,-2.4831238,-1.1246251,-4.5423265
3803,-0.19909686,-0.6508721,-0.1609397,-0.8500252
3360,-1.1310687,-1.7457523,-1.047728,-3.918629
3656,-0.8161447,-1.884923,-0.78349966,-3.5346725
2584,-0.96160656,-1.6178035,-0.8757255,-3.5598378
2116,-1.2743592,-2.7741277,-1.2345802,-5.242083
2275,-1.548721,-4.2883916,-1.5724331,-7.2916355
2361,-0.5235451,-0.6413655,-0.53300244,-1.6365771
3853,0.3341108,-1.0593084,0.29330426,-0.6117618
3392,-0.28959638,-0.68158746,-0.46904886,-1.4896996
2198,-0.85582614,-1.5709512,-0.7844504,-3.1105685
2747,-1.3843807,-2.439246,-1.2689375,-5.173782
3543,-0.1350218,0.13758075,-0.33747065,-0.32231632
3804,-0.3289891,-0.16670477,-0.4393619,-0.87496245
3061,-0.6637553,-1.2193187,-0.69281626,-2.6255262
