,x1,x2,x3,x4
2220,0.0,0.0,2.9,0.0
2580,0.0,3.6,1.3,6.5
3955,-0.0,1.8,0.5,3.0
2870,0.2,-0.0,0.0,-0.0
3455,-0.0,1.8,2.0,5.7
3052,1.4,1.9,-0.0,4.2
3056,0.0,1.3,0.9,4.1
3059,-0.0,2.2,1.1,4.2
2123,-0.0,3.5,1.3,6.2
2954,0.1,-0.0,1.6,3.7
3190,0.0,6.2,0.6,2.4
3257,0.0,0.0,0.3,0.8
2592,1.5,0.0,0.0,0.0
2005,0.0,2.5,1.3,3.3
3709,0.0,0.4,0.2,1.0
3666,-0.1,5.9,2.6,12.8
2904,0.1,3.8,0.6,-0.0
3388,0.2,2.3,0.3,0.0
2429,-0.0,0.3,-0.0,0.9
2818,0.0,-0.0,1.8,3.1
3713,-0.0,1.9,0.2,4.1
2368,0.0,2.8,1.0,5.2
2438,-0.0,2.6,1.9,-0.0
2404,0.0,2.6,1.4,5.5
2243,0.0,1.5,0.2,2.3
2501,0.9,0.0,-0.0,2.5
2897,0.4,1.3,0.0,-0.0
2240,0.0,2.3,1.5,6.1
2768,0.0,4.2,1.5,7.2
3131,-0.0,-0.0,0.5,2.3
3997,0.0,7.5,2.0,14.2
2144,0.0,-0.0,0.2,2.3
2273,-0.0,2.4,1.6,5.7
3654,-0.0,1.9,0.6,3.6
2648,0.0,-0.0,1.0,1.6
3175,0.3,3.3,1.2,0.0
3803,0.8,0.0,-0.0,-0.0
3360,-0.1,2.6,0.7,4.6
3656,-0.0,2.5,0.6,4.1
2584,0.2,3.0,0.0,4.0
2116,-0.0,2.7,1.9,5.7
2275,-0.0,4.7,1.7,8.0
2361,0.6,-0.0,-0.0,2.1
3853,0.2,0.8,0.4,0.0
3392,0.1,0.0,0.9,0.0
2198,0.4,2.7,-0.0,3.5
2747,1.7,-0.0,0.0,0.0
3543,0.0,0.0,1.0,-0.1
3804,0.4,0.0,0.0,0.0
3061,0.6,-0.0,0.9,3.3
3550,-0.0,0.0,0.4,0.0
2548,0.0,3.6,0.4,4.5
3748,0.4,1.9,-0.0,3.6
2706,0.6,-0.0,0.0,-0.0
3237,1.2,-0.0,1.9,4.0
3299,0.5,3.3,0.0,6.2
3412,-0.0,2.3,0.7,5.2
2022,0.5,2.1,0.0,0.0
2285,0.1,0.9,-0.0,-0.0
2635,0.0,4.2,1.5,0.8
3652,1.0,-0.0,2.5,7.2
3529,-0.0,2.4,0.9,3.6
3688,0.0,-0.0,0.7,-0.0
2465,0.1,-0.0,0.3,0.9
3147,0.9,3.9,-0.0,6.2
2306,1.0,4.8,-0.0,6.9
2399,0.3,4.2,0.0,6.0
3940,-0.0,0.7,0.2,2.1
3402,0.9,2.6,0.0,5.2
3669,-0.0,3.6,0.8,5.5
3024,0.7,0.0,0.0,-0.0
2382,0.0,3.4,1.3,6.0
3116,0.0,4.4,-0.0,-0.0
2690,0.1,0.0,0.3,-0.0
2914,0.0,2.0,-0.0,-0.0
2864,-0.0,2.9,1.3,6.1
2400,0.5,-0.0,0.9,3.3
2149,0.4,-0.0,0.0,-0.0
2450,0.3,0.0,-0.0,2.0
2629,-0.0,3.2,1.0,6.6
3087,0.3,-0.0,0.4,0.7
2697,0.1,1.3,0.0,2.6
3694,0.8,4.7,-0.0,8.2
3904,0.6,0.0,0.0,1.8
2047,0.6,-0.0,-0.0,1.3
3459,0.0,1.9,0.8,4.7
3699,0.3,0.0,-0.0,1.2
3718,-0.0,5.1,1.0,8.9
3233,0.0,2.6,0.2,0.0
2953,0.0,0.9,-0.0,-0.0
3398,0.0,4.6,2.0,8.7
3960,0.5,0.0,0.4,0.0
2591,0.7,0.0,0.0,2.2
3978,-0.0,3.0,1.4,5.2
2470,0.1,0.0,2.1,6.2
2692,0.6,1.2,0.0,2.1
3738,0.0,1.3,0.9,5.1
2805,0.6,-0.0,0.9,4.1
3936,0.4,-0.0,0.0,0.0
3538,0.3,-0.0,-0.0,-0.0
3518,0.4,1.8,0.0,-0.0
2332,1.3,3.3,-0.0,5.9
2217,0.0,0.7,0.0,1.3
2663,0.0,1.8,0.1,2.1
2825,0.0,3.2,0.5,4.2
3671,0.0,3.5,0.1,3.8
2128,0.0,-0.0,1.0,-0.0
2531,0.4,1.9,0.0,0.0
2753,0.1,1.7,2.7,7.9
3022,0.0,4.6,0.9,6.6
3937,0.2,-0.0,1.6,0.0
2107,0.3,-0.0,-0.0,0.0
3769,0.7,-0.0,-0.0,2.1
3395,-0.0,4.6,2.0,9.2
3783,0.4,0.0,0.0,1.1
