,y_hat
2774,False
3410,False
2162,False
2468,False
2870,False
3194,False
2412,False
2801,False
3758,False
2748,False
3886,False
2969,False
3495,False
3575,False
2291,False
3733,False
2798,False
3699,False
3188,False
3980,False
2698,False
2181,False
2547,False
2019,False
3803,False
2893,False
3844,False
3883,False
2785,False
3893,False
3787,False
2604,False
2611,False
2012,False
3058,False
2465,False
3456,False
3897,False
3955,False
2899,False
2517,False
3159,False
2753,False
2402,False
2163,False
3147,False
3405,False
3822,False
2646,False
3154,False
3150,False
2691,False
2239,False
2484,False
3453,False
3626,False
2201,False
2311,False
3208,False
3459,False
2243,False
2368,False
3644,False
3240,False
2636,False
3361,False
3242,False
3084,False
2210,False
3974,False
3332,False
3153,False
2674,False
3598,False
3488,False
3900,False
2396,False
3983,False
2128,False
3588,False
3056,False
3333,False
3545,False
2642,False
2367,False
3133,False
2252,False
3945,False
3449,False
2741,False
2525,False
2932,False
3966,False
2697,False
3587,False
2273,False
2256,False
3172,False
3436,False
2408,False
3417,False
2382,False
2365,False
3896,False
3502,False
2967,False
2120,False
2233,False
3303,False
3688,False
2597,False
3691,False
2054,False
2704,False
3247,False
3373,False
2046,False
3185,False
3301,False
2214,False
2211,False
2186,False
2306,False
2875,False
2571,False
2509,False
2700,False
2196,False
2397,False
3438,False
3840,False
2759,False
2719,False
3861,False
3711,False
2718,False
3833,False
3911,False
3089,False
3681,False
2856,False
3279,False
3101,False
3087,False
3325,False
3355,False
2171,False
3341,False
2160,False
2272,False
2729,False
3330,False
3611,False
2217,False
3720,False
2362,False
3386,False
2847,False
2423,False
2049,False
2603,False
2726,False
2016,False
3237,False
3218,False
2011,False
2268,False
3504,False
2371,False
3887,False
2184,False
3942,False
2585,False
2194,False
2507,False
3925,False
2915,False
2813,False
3530,False
2076,False
2429,False
3100,False
2173,False
2656,False
3797,False
2034,False
3855,False
2678,False
2175,False
2415,False
3804,False
3485,False
3044,False
3773,False
2467,False
3669,False
3654,False
2925,False
3407,False
2327,False
