ix,goal_cost,intv_cost
2739,0.87,1.2
3021,0.818,6.8
2897,1.0,5.300000000000001
2352,1.0,6.3
2949,1.0,0.7
2616,1.0,6.3
2496,1.0,0.9
3840,1.0,1.1
2044,0.76,0.5
2851,0.772,0.6
2813,0.842,2.5
3123,1.0,7.4
2426,1.0,3.3999999999999995
2140,1.0,5.8
2609,0.79,1.9000000000000001
3142,0.972,4.0
2845,1.0,2.1
2707,1.0,8.4
2729,0.888,3.6
3685,1.0,4.5
3727,0.902,5.7
2224,0.852,4.1
3130,1.0,2.4
3194,0.994,1.7
2523,1.0,17.3
3257,0.96,0.1
3809,1.0,0.5
3113,0.798,4.5
2380,0.994,8.9
3864,0.788,9.3
3616,1.0,0.4
3372,0.774,6.2
3393,1.0,1.3
2885,1.0,11.4
2480,0.826,8.399999999999999
3438,0.948,2.5
3895,1.0,0.7
2333,0.932,3.0
3377,1.0,8.5
3922,1.0,0.6000000000000001
3896,0.882,3.2
2988,1.0,0.1
2392,1.0,7.0
2442,0.95,8.200000000000001
2653,0.796,4.7
2659,0.928,1.5
3311,0.82,3.8000000000000003
3561,0.932,4.4
2898,0.892,11.0
2796,1.0,7.7
2183,0.826,11.700000000000001
3102,1.0,1.8
3847,1.0,2.6
2306,1.0,5.8999999999999995
2938,1.0,7.700000000000001
2681,0.794,7.9
3344,1.0,7.499999999999999
2355,0.754,4.3
2254,1.0,4.5
2315,1.0,0.4
3416,1.0,6.5
2070,0.796,5.5
2175,0.824,0.1
3367,0.788,10.0
2463,0.872,1.5
2621,1.0,0.9
2319,0.796,1.2
2483,1.0,10.8
2880,1.0,1.0
2272,1.0,2.2
3831,1.0,7.4
2394,0.756,0.3
3613,0.764,4.1000000000000005
3703,0.774,1.7000000000000002
3168,0.97,1.7000000000000002
2191,0.784,6.3999999999999995
2074,1.0,17.8
2299,0.996,4.0
2630,0.836,3.6999999999999997
2036,1.0,1.0
2174,1.0,0.8
2003,0.764,0.2
2105,1.0,5.1
2126,1.0,13.100000000000001
3413,1.0,3.7
3268,0.978,2.3
3919,1.0,3.3
3398,1.0,4.1
3022,1.0,1.1
3027,1.0,7.6000000000000005
2980,1.0,5.4
2168,1.0,5.9
3672,1.0,4.6000000000000005
2124,0.934,4.800000000000001
3856,0.94,0.4
2940,0.836,1.0
2847,1.0,1.0
2381,1.0,2.1
2262,1.0,14.4
2271,1.0,6.699999999999999
2831,1.0,2.1
3808,0.832,4.0
3242,1.0,8.7
2866,0.878,0.6
2298,0.8,1.4
2867,0.95,13.900000000000002
3249,1.0,2.2
2863,0.762,9.9
2913,0.764,8.0
2599,0.82,0.7
2292,0.972,3.9
2282,0.996,0.8999999999999999
2993,0.784,5.5
2751,0.956,0.1
2577,0.774,0.6000000000000001
3677,0.768,8.1
3401,1.0,7.500000000000001
2252,1.0,14.2
3625,0.978,5.5
2795,0.764,3.1
2066,0.778,2.3
3938,0.992,2.8
2343,0.904,5.3
3020,0.87,2.0
3907,1.0,6.8999999999999995
2906,1.0,10.4
2957,1.0,7.8
3654,0.926,0.4
3571,1.0,3.9
3092,0.984,0.1
2409,1.0,4.3
3371,1.0,3.9000000000000004
2926,1.0,12.0
2725,1.0,7.4
2581,1.0,8.5
2889,1.0,6.4
2587,1.0,1.9
2856,0.778,3.5
3793,0.986,5.2
3885,0.856,0.1
2039,0.776,3.0999999999999996
3704,0.786,5.0
3640,1.0,5.699999999999999
3794,0.978,1.2000000000000002
2601,0.964,2.1
3525,0.974,1.4
3204,0.89,0.2
3822,1.0,6.1
3659,1.0,9.2
2722,0.766,6.7
3356,1.0,9.700000000000001
3857,1.0,0.1
3626,0.992,1.7999999999999998
2115,0.782,5.8
3909,0.874,3.4
3350,0.924,0.6000000000000001
2281,1.0,0.8
3734,1.0,1.4000000000000001
2151,0.784,11.3
2396,0.78,0.5
3792,1.0,11.299999999999999
2711,0.822,3.4
3991,0.764,0.1
3918,0.77,2.3000000000000003
3710,1.0,3.4000000000000004
3582,1.0,4.7
3172,0.998,0.1
3320,0.99,4.4
2246,0.956,7.5
2147,1.0,3.2
2098,1.0,1.5
3543,0.976,0.6
2403,1.0,4.2
2135,0.844,0.2
2525,0.804,0.7
3609,1.0,2.7
2220,0.916,5.8
2591,0.752,0.9
3000,0.778,8.7
3833,0.872,2.2
2215,1.0,2.3
2503,1.0,0.6
3681,0.862,3.8
2085,1.0,13.1
2522,0.782,3.5
2057,1.0,5.3
2781,1.0,14.600000000000001
3246,0.866,2.9
2882,1.0,0.6
3555,1.0,1.3
3825,0.942,3.5
3751,1.0,4.199999999999999
3126,1.0,8.2
2637,1.0,3.3
3948,0.856,2.3
3893,1.0,2.0
2366,0.924,0.1
2585,1.0,3.3
3070,1.0,10.1
3546,1.0,6.0
