ix,goal_cost,intv_cost
2628,0.761,10.299999999999999
2412,0.783,4.4
3964,0.764,3.5999999999999996
3102,0.754,0.8
2604,0.756,10.899999999999999
3767,0.785,2.1
2576,0.755,6.1000000000000005
2246,0.761,9.8
2135,0.881,0.4
2640,0.767,13.6
3693,0.835,0.4
3877,0.7739999890327454,0.5
2442,0.757,10.3
2312,0.77,9.5
3651,0.762,8.4
2276,0.761,3.8
2238,0.751,6.4
2379,0.774,9.4
3926,0.755,1.8
3030,0.755,8.0
3900,0.755,6.5
2630,0.755,9.200000000000001
2465,0.757,3.7
3198,0.769,5.5
3919,0.761,3.3
2554,0.757,9.7
2048,0.76,7.0
3669,0.757,2.5
3205,0.771,13.7
2538,0.766,14.999999999999998
2171,0.764,6.9
3734,0.772,0.7
2806,0.758,16.8
2158,0.764,3.9
2066,0.768,5.800000000000001
2085,0.756,15.600000000000001
2928,0.788,0.7
3341,0.794,0.3
3022,0.768,1.7
3875,0.76,6.9
2122,0.826,0.7
3898,0.756,6.4
2894,0.754,5.0
2666,0.771,13.600000000000001
2668,0.761,1.7
2797,0.762,6.5
2770,0.752,16.6
2095,0.776,7.6
3304,0.763,10.7
3623,0.759,7.9
2225,0.757,17.7
3613,0.76,3.6
2438,0.753,9.600000000000001
2996,0.8,1.2
3064,0.756,10.100000000000001
3161,0.765,10.100000000000001
3609,0.77,2.9
3501,0.757,18.1
2458,0.759,3.5
3880,0.788,1.7000000000000002
3948,0.772,4.300000000000001
2745,0.753,24.299999999999997
3845,0.762,6.8
3639,0.772,2.1999999999999997
3041,0.765,10.799999999999999
2993,0.752,6.0
2653,0.762,7.3
3072,0.752,1.9000000000000001
3321,0.771,8.2
2080,0.758,12.0
3617,0.761,4.1
3346,0.765,3.0
3398,0.757,2.8
3796,0.85,0.8
2756,0.761,15.3
2342,0.775,0.3
3430,0.771,6.8
2579,0.752,10.1
3607,0.84,0.4
3151,0.751,14.9
2590,0.759,3.2
2917,0.844,0.8
2606,0.761,4.2
2022,0.77,16.8
3213,0.753,8.600000000000001
3996,0.753,0.7999999999999999
2384,0.763,7.800000000000001
3666,0.77,3.6
2247,0.754,11.700000000000001
3142,0.765,9.799999999999999
3088,0.752,3.9
2656,0.905,0.4
2516,0.751,11.0
3356,0.761,11.299999999999999
3913,0.763,12.5
2882,0.774,0.5
2235,0.751,3.3
2703,0.811,0.4
2761,0.764,8.7
2083,0.764,3.2
3935,0.755,0.9
3073,0.751,2.9
2113,0.755,2.8
3232,0.757,3.1
3837,0.771,6.3999999999999995
3020,0.765,5.8
2967,0.797,3.8
3906,0.862,1.6
3768,0.803,1.7000000000000002
3865,0.751,4.8999999999999995
2922,0.755,6.1
2456,0.778,1.5
2851,0.761,5.5
2721,0.843,0.3
2145,0.756,19.9
2844,0.764,4.5
2522,0.751,1.6
2513,0.762,1.2000000000000002
3467,0.767,7.1
3033,0.775,7.8999999999999995
3561,0.752,9.599999999999998
2449,0.817,1.4
3280,0.754,6.8
3186,0.768,16.700000000000003
3543,0.767,1.6
2859,0.773,7.8
3795,0.768,2.0
2878,0.759,1.2
2631,0.753,8.0
3502,0.758,13.3
2361,0.77,12.7
3387,0.756,6.7
2994,0.762,3.9
2916,0.789,1.1
3128,0.767,7.1
3491,0.761,2.2
2367,0.843,0.7
3400,0.764,2.5
2090,0.948,0.6
2905,0.769,20.1
3674,0.754,11.9
3010,0.753,5.2
2065,0.797,1.5
2530,0.763,3.3000000000000003
2173,0.759,9.9
2042,0.752,10.4
3016,0.759,2.2
3876,0.773,10.100000000000001
2244,0.765,17.6
3119,0.764,10.899999999999999
3644,0.78,2.3
2467,0.782,6.4
2346,0.759,3.0
3223,0.7590000033378601,1.0
3391,0.761,7.5
3580,0.771,14.500000000000002
2574,0.774,2.3
2540,0.753,2.6999999999999997
2618,0.754,7.000000000000001
2829,0.768,5.9
3713,0.762,2.2
2847,0.757,1.7
2596,0.782,2.0
3897,0.826,0.4
3886,0.789,2.1999999999999997
3833,0.766,5.6
3592,0.764,19.2
2895,0.76,15.000000000000002
2893,0.763,3.5
3955,0.757,5.5
3917,0.751,11.2
3615,0.763,10.9
3601,0.909,1.0
2795,0.762,6.800000000000001
2750,0.752,4.800000000000001
2751,0.761,0.9
3484,0.754,1.3
3056,0.77,6.6
3751,0.753,4.7
3215,0.794,4.1
3101,0.765,6.7
2792,0.751,5.0
2862,0.756,11.299999999999999
3180,0.826,1.0
2566,0.754,7.7
3729,0.76,0.8
2070,0.77,12.5
3413,0.76,4.0
3943,0.768,5.6000000000000005
3108,0.754,15.0
2791,0.76,7.1
3252,0.754,19.900000000000002
2441,0.752,3.7
3728,0.759,1.3
3423,0.763,9.5
2027,0.764,8.7
3808,0.757,5.199999999999999
3538,0.752,10.5
3364,0.759,8.2
3367,0.754,13.5
