,x1,x2,x3,x4
3872,0.1,0.9,0.0,0.0
2891,-0.0,0.0,0.0,4.8
3994,0.0,1.4,0.5,-0.0
3784,0.0,-0.1,0.2,7.2
3402,-0.0,0.0,-0.1,9.4
2142,-0.0,0.3,0.0,2.7
3019,-0.0,0.5,0.0,1.4
2124,0.4,-0.0,0.5,6.6
3715,0.0,0.2,0.0,1.1
2289,0.0,0.0,0.1,-0.0
2682,0.4,0.4,0.0,0.0
3098,-0.0,0.5,-0.0,5.1
2213,-0.0,1.9,0.0,11.5
3704,0.1,0.3,-0.0,3.1
3517,-0.0,0.1,0.0,1.0
2557,0.0,0.0,0.0,3.2
2103,-0.0,0.0,-0.0,4.0
2889,0.1,-0.0,0.0,0.0
3038,0.5,-0.0,1.1,-0.0
3973,-0.0,0.0,0.0,4.6
3854,0.2,0.0,0.0,2.2
2248,0.0,0.0,-0.0,2.3
2680,-0.0,-0.0,-0.0,0.3
3976,0.6,0.0,0.0,0.0
2068,0.0,0.0,0.0,0.1
2931,0.2,-0.0,0.4,3.2
3841,-0.0,0.3,-0.0,3.4
3602,-0.0,-0.0,-0.0,3.0
3751,-0.0,-0.0,0.0,1.7
3068,0.0,0.4,-0.1,4.2
3591,0.0,0.8,-0.0,3.8
3772,0.0,4.3,-0.0,0.0
3971,0.0,0.0,-0.0,1.3
2738,0.0,1.6,0.0,5.6
2543,-0.0,-0.0,-0.0,4.2
2593,0.0,0.1,-0.0,3.6
3219,0.3,0.0,0.0,-0.0
3444,0.3,0.0,0.0,-0.0
3266,0.5,0.0,0.0,0.0
3527,0.0,-0.0,0.0,0.8
2219,0.2,0.0,-0.0,0.0
2283,-0.0,0.1,0.0,5.9
3263,0.0,1.4,0.1,4.5
2709,-0.0,0.4,-0.1,4.4
2699,0.1,-0.0,-0.0,4.6
3688,0.0,0.0,-0.0,1.7
2665,-0.0,0.0,-0.0,3.3
2072,0.1,1.3,-0.0,0.0
2087,0.3,-0.0,0.5,3.9
3510,0.1,0.0,-0.0,6.3
2441,0.0,-0.0,-0.0,5.9
3065,-0.0,0.0,-0.0,0.1
2936,0.1,-0.0,-0.0,10.6
2385,-0.0,0.0,0.0,4.5
3752,-0.0,0.1,0.0,0.5
3911,0.0,0.9,0.1,5.0
3849,0.0,0.9,0.0,9.3
3169,0.1,-0.0,0.0,-0.0
2252,-0.0,1.2,-0.0,2.6
3577,0.2,0.0,-0.0,1.4
2279,0.0,-0.1,0.0,9.9
3664,0.0,1.2,0.0,5.2
3406,-0.0,0.2,-0.0,9.2
2122,0.0,-0.0,0.0,2.6
3946,-0.0,0.1,0.0,5.1
2377,0.0,0.2,-0.0,10.2
3155,-0.0,-0.0,0.0,2.1
2270,0.0,0.0,-0.0,0.9
3589,0.0,0.0,0.0,3.8
2317,0.0,0.2,-0.0,1.2
3587,-0.0,0.0,0.3,-0.0
2220,0.1,0.3,-0.0,11.4
3440,0.0,-0.0,-0.0,2.3
3528,0.1,-0.0,0.0,6.9
3735,0.0,0.0,0.1,0.8
3408,-0.0,0.5,0.1,2.8
2617,-0.0,0.1,-0.0,0.9
2661,-0.0,0.5,0.0,11.4
2273,0.0,0.2,-0.0,6.8
2423,-0.0,-0.0,0.0,0.7
3744,0.0,0.0,0.1,5.1
3979,0.1,0.0,-0.0,0.9
2397,0.1,0.0,0.1,6.6
2184,0.0,-0.1,-0.1,3.1
2667,0.0,0.0,0.0,4.5
2407,0.0,0.0,0.1,2.6
2861,-0.0,0.1,0.0,5.9
2136,0.0,0.1,0.0,5.3
3687,0.2,-0.0,0.3,7.2
3436,0.0,0.0,0.1,5.0
3304,-0.0,-0.0,-0.1,9.0
3859,0.0,0.0,0.0,12.8
2898,1.0,-0.0,1.1,0.0
3226,0.0,0.3,0.0,4.4
2079,-0.0,-0.0,0.0,2.3
3312,-0.0,0.2,-0.0,5.7
2067,-0.0,1.1,-0.0,3.6
2846,-0.0,-0.0,0.1,2.1
3557,0.2,-0.0,0.1,1.8
2956,-0.0,0.0,0.0,0.1
2134,0.6,1.9,-0.0,0.0
2890,-0.0,1.0,-0.0,-0.0
2364,0.1,1.4,-0.0,4.7
2388,-0.0,-0.0,-0.0,2.2
3251,-0.0,-0.0,0.0,0.2
2764,0.1,0.0,0.0,4.7
2826,0.0,-0.0,0.0,3.4
2309,0.0,0.3,0.0,0.9
2771,0.0,0.7,0.0,6.8
3645,0.0,-0.0,-0.0,2.5
3183,0.1,0.2,0.0,6.2
3746,0.3,-0.0,0.0,4.9
2740,0.0,0.0,0.0,5.3
2391,0.2,0.5,0.0,0.0
2714,0.0,0.1,0.0,0.7
2915,0.1,0.8,-0.0,3.6
3149,0.2,0.0,0.4,6.3
2371,0.0,0.0,-0.0,4.3
3288,0.0,0.9,-0.0,7.8
2574,0.0,0.0,0.0,0.6
3083,-0.0,0.1,-0.0,2.2
3063,0.0,0.0,0.4,2.6
2131,0.1,1.0,-0.0,5.5
3328,-0.0,-0.1,-0.0,3.9
3420,0.1,-0.0,0.0,1.4
2526,0.0,0.2,-0.0,4.0
2924,0.0,1.2,-0.0,8.5
3239,-0.0,0.0,0.1,8.9
3785,0.9,0.0,0.0,5.6
2704,0.0,0.0,-0.0,1.2
2413,0.2,-0.0,0.5,5.2
3709,-0.0,0.1,0.0,7.7
3624,0.1,1.7,2.5,-0.0
3227,-0.1,1.1,0.4,6.2
3270,-0.0,0.0,0.1,2.2
2908,0.1,-0.0,0.3,2.6
3419,0.1,-0.0,-0.0,5.0
2421,-0.0,0.0,-0.0,7.4
2365,0.1,0.9,0.0,0.0
2383,0.0,0.2,0.0,3.4
2573,0.0,0.0,0.0,1.5
3660,0.2,0.0,-0.0,-0.0
3092,0.1,-0.0,0.0,3.5
3320,0.1,0.0,-0.0,0.5
2065,-0.0,0.1,-0.0,3.1
3100,0.4,0.0,0.6,0.0
2240,0.1,1.4,0.9,0.0
3368,-0.0,-0.0,-0.0,1.9
2871,0.2,-0.0,0.0,4.3
2886,-0.0,0.4,-0.0,2.8
