,x1,x2,x3,x4
3207,0.23619147,-0.75570184,0.20519102,-0.29394788
2667,-0.26340085,-2.9110758,-0.21613991,-3.4356582
2541,-1.2068962,-1.6915507,-1.182487,-3.9069328
3233,0.008013736,-1.2982838,0.17820716,-1.1832765
2945,-1.9524944,-3.0106087,-1.9974009,-6.9648676
2931,-1.2270652,-0.72472835,-1.1599368,-3.131866
3385,-0.2240907,-1.8202878,-0.095124826,-1.9874136
2244,-1.2253141,-2.2623882,-1.1096067,-4.575591
3132,-0.63006073,-0.73734415,-0.493595,-1.956808
3557,-0.75044656,-0.2562108,-0.7086568,-1.7960932
3294,-0.39107966,0.01096493,-0.49160382,-0.92494386
2582,0.23593274,-1.2341716,0.012479231,-1.0335662
2787,-0.6974551,-1.3821346,-0.94869924,-3.0417857
2134,-0.8807479,-1.513041,-0.895423,-3.2028563
3255,-0.60124964,0.09611809,-0.5999752,-1.0997883
3257,-0.55039746,-1.1176119,-0.5599237,-2.1699927
3981,-2.3038597,-4.472648,-2.2676935,-9.071061
3507,-0.81484514,-3.4281764,-1.0115367,-5.1218605
2563,-0.04023464,-0.13545851,-0.0135611165,-0.16802199
2251,-0.3346491,-2.442424,-0.3657059,-3.207799
2828,-2.3846345,-3.901968,-2.2133818,-8.77995
3138,-0.6112494,-0.74141955,-0.3782966,-2.0709286
2326,-0.7916061,-1.7215959,-0.82654685,-3.4777467
3022,-0.92459977,-1.6768029,-0.7609923,-3.48892
3340,-1.0435284,-2.2470295,-1.1273907,-4.567702
2845,-0.82116,-0.08238828,-0.83960634,-1.6634308
3203,-0.52164805,-1.74529,-0.5849153,-3.138125
2712,-2.6719155,-5.4735613,-2.699297,-10.873432
2633,-0.9750636,-1.6450118,-0.99267614,-3.6990836
3982,-1.4103947,-1.0361452,-1.4042296,-3.835906
3625,-1.2460796,-2.5016315,-1.1794913,-4.918854
2397,-1.4727228,-3.051675,-1.3180723,-5.6304717
2091,-0.62749255,-1.490322,-0.60393304,-2.541507
3363,0.020357246,-1.5326626,0.090022996,-1.394848
3458,-0.06436631,-2.6059484,-0.18321767,-2.8916872
3322,-1.7588773,-2.3670006,-1.6579452,-5.8957257
2186,0.38795385,-0.76850706,0.19496654,-0.27388158
2650,-0.51087177,-0.9675381,-0.49341437,-1.8746606
3018,-0.70204085,-1.6236906,-0.70546085,-3.1053627
2359,-1.2054138,-3.8997486,-0.9739578,-6.00284
3906,-0.37999353,-2.5276449,-0.3101293,-3.2635124
3401,-0.17863847,-0.1552239,-0.2710159,-0.5914036
3032,-1.8871082,-3.5403695,-2.0288005,-7.289879
3655,-2.5150177,-5.2892346,-2.5141103,-10.428772
2277,-0.89156365,-0.8735409,-0.8653173,-2.6859436
3005,-0.83300185,-0.380445,-0.7742733,-2.0743778
2461,-1.2430359,-2.4040117,-1.2558514,-4.8678293
3752,0.32664934,-1.0152465,0.37111902,-0.21010336
3215,-0.63073575,-1.8794798,-0.6709478,-3.2264314
3606,-1.3315866,-2.5367928,-1.3528795,-5.361825
3685,-0.33395362,-2.194454,-0.37925583,-2.979305
2272,-0.25236446,-1.6544143,-0.26840553,-2.267863
2022,0.04096958,-1.0449424,-0.10138236,-0.9547571
3850,-1.0048741,-1.2155473,-0.97690254,-2.9879966
3887,-0.20184107,-1.8678584,-0.1669645,-2.1669102
3163,-0.9499635,-1.2622137,-0.8942918,-2.8893228
3057,-0.26179996,-0.23636658,-0.19244866,-0.65000063
2583,-0.86161417,-2.0989773,-0.90305007,-3.6649837
3100,-0.7650054,-0.39533424,-0.911526,-2.192976
2220,-2.0494423,-5.198354,-2.376755,-9.728084
2730,-0.9822965,-1.3342988,-0.8776808,-3.1297197
2763,-0.0068197954,-0.5469094,-0.015769588,-0.30462572
3772,-1.5806174,-2.014463,-1.3647655,-4.7551446
3713,-0.9992841,-1.7890391,-1.1035855,-3.8709018
2215,-0.22539498,-0.29011104,-0.2857564,-0.62823874
3705,-0.86969084,-2.804326,-0.8901747,-4.7645836
2854,-0.40058234,-0.4782133,-0.43736184,-1.394038
3593,-1.4614853,-4.7002,-1.4278957,-7.5113115
3527,-0.27002266,-0.19203866,-0.24251935,-0.7484152
3383,-0.42743254,-1.6272659,-0.4787948,-2.5113811
3378,-0.97948,-3.1977484,-0.9443955,-5.2963
2383,-0.5584765,-1.6368732,-0.551278,-2.9204614
3568,-0.92487556,-1.9571651,-0.9488023,-3.822098
3474,-0.44425303,-3.5471754,-0.32128724,-4.243576
3623,-1.5860229,-1.8405346,-1.5988415,-4.9287887
2040,-0.22311151,-0.19786453,-0.23906891,-0.6775718
3629,-0.8620153,-0.9175599,-0.8368609,-2.7064035
3620,-1.7370006,-1.8746969,-1.6602488,-5.31735
3715,0.20444109,-1.2684886,0.38945115,-0.7632806
2881,-0.052182965,-2.142038,-0.17757004,-2.6910737
2376,-0.43994692,0.16535348,-0.42719713,-0.7264093
3274,-1.2199813,-3.0939221,-1.1495111,-5.381506
2184,-0.78669333,-1.2428657,-0.774079,-2.6307995
2622,-0.83139193,-1.6018901,-0.79381645,-3.1586502
3823,0.20581648,-1.5511091,0.19151834,-1.135349
2874,-0.44590926,-0.7049637,-0.7008114,-1.8899192
2924,-1.3590238,-4.640505,-1.2277347,-7.3293858
2707,-1.3054916,-2.0431142,-1.4076816,-4.83993
2792,-1.7415899,-3.070516,-1.7643125,-6.4841776
3636,-0.340741,-0.44069436,-0.32673895,-1.0940483
3210,-0.4948864,-2.6733708,-0.45987797,-3.6731863
2891,-0.50992316,-2.8270712,-0.38127273,-3.7802196
2392,-1.4522333,-3.4667256,-1.560538,-6.601454
2169,-0.8759133,-0.104961276,-0.839867,-1.7712412
3356,-1.0382911,-2.2980175,-0.9173266,-4.2165647
2581,-0.4898424,-2.7778208,-0.6547916,-3.9045238
3889,0.49554282,-1.7344472,0.41831705,-0.88423127
2749,-0.6551342,-2.8051949,-0.70848763,-4.111799
3540,-0.7794527,-0.77232325,-0.78535926,-2.1906846
3319,-0.75791615,-2.986752,-0.8833689,-4.601002
2598,-1.2578821,-4.5261793,-1.1650654,-6.9035583
2760,0.26171756,-0.6407597,0.20150253,-0.08190459
2270,-0.13890256,-0.42545763,-0.12514289,-0.7447648
2446,-0.95045966,-2.0221665,-0.78463763,-3.6985333
3602,-1.5044801,-0.012549877,-1.4485075,-2.9406667
3892,-0.76429415,-1.7586107,-0.7187159,-3.103417
3851,-2.0511777,-2.679542,-2.0068734,-6.8132796
2889,-0.03135955,-0.14146319,-0.0059477706,-0.18785655
3060,-0.041118365,-0.035509586,-0.16200693,-0.2555049
2234,-0.22798505,0.11702287,-0.29095152,-0.5686958
3027,-0.5732669,-0.31900674,-0.62637067,-1.4840081
3522,-1.2511073,-2.1839783,-1.2365612,-4.7464604
3288,-1.7370763,-3.3646228,-1.8256948,-6.9293523
2369,0.2329778,-0.6476895,0.29942083,-0.17145228
3591,-0.712991,-1.9935993,-0.5935919,-3.4184966
2129,-0.7000878,-2.4667659,-0.591683,-3.644541
2197,-0.73466426,-1.8095179,-0.8761716,-3.4680989
2613,-0.5688748,-2.5031848,-0.55235964,-3.7520921
2859,-1.3174726,-4.3343534,-1.3222187,-6.7697544
2941,-0.11442452,-1.0366601,-0.23825672,-1.4259223
3642,0.041632615,-0.015496574,-0.12575927,-0.11451168
3243,-1.8590263,-3.9652138,-1.9816797,-7.7044024
3464,-0.2369448,-0.8746147,-0.25304464,-1.3148726
3902,-0.42082223,-2.481926,-0.45039678,-3.2958834
2999,-0.5745782,-1.8657558,-0.5494454,-2.9298918
2450,-0.4123117,-0.68025213,-0.5310371,-1.5819073
2991,-0.33492118,-2.5623255,-0.21500704,-3.066559
3127,-1.9662313,-2.4535534,-1.8700752,-6.023324
3389,-0.32842675,-0.47663528,-0.28339815,-1.1057391
2135,-0.104978494,-0.027122483,0.0973933,-0.09296903
2849,-1.1027688,-1.5283381,-1.1825693,-3.6166925
2294,-1.0492959,-2.1781287,-0.97364503,-4.1316314
3343,0.22034319,-0.34867597,0.21201879,-0.041156247
3878,-1.64411,-3.8765125,-1.6621562,-7.1514697
3566,-2.2597518,-2.4156156,-2.256683,-6.702016
2182,-1.1675646,-1.5222237,-1.1136178,-3.8664894
3303,-1.1265122,-2.6130981,-0.9351942,-4.528908
2908,-0.8969718,-0.7488498,-0.7862399,-2.490975
2500,0.047564287,-0.72137773,-0.00694238,-0.5918951
2279,-1.7552903,-4.6122527,-1.8174036,-8.2089
2569,-1.388375,-1.1409518,-1.2702012,-3.6722634
2608,-2.0482404,-4.4334393,-2.1841018,-8.792521
3946,-1.3313829,-1.5346495,-1.6229402,-4.437713
2767,-0.8985113,-0.7167178,-0.7622383,-2.5182993
3969,-0.6634674,-2.4529483,-0.56867415,-3.7094836
3666,0.2808012,-0.53036404,0.30058968,0.091383934
3419,-0.63492477,-2.5988631,-0.7844392,-4.128259
3418,-0.730715,-1.7583541,-0.78523767,-3.2358987
2715,-1.5255318,-3.1205866,-1.4847728,-6.1818404
2619,-0.30751738,-0.27268812,-0.3868882,-0.8207784
3830,-1.0346853,-1.654798,-1.1118474,-3.7522035
3863,0.22283381,-0.73475397,0.16360256,-0.45461884
2561,-1.4214476,-2.4659848,-1.462922,-5.4989014
3151,-0.81252337,-3.8311272,-0.8407202,-5.599964
2779,-0.51955366,-0.32805383,-0.60392356,-1.4330527
2838,-0.20297718,-1.7930323,-0.25604835,-2.0577812
3312,-0.5452268,-3.3811045,-0.60737526,-4.6663976
3619,-1.4797074,-2.6542163,-1.3147273,-5.5894637
3854,0.057693776,-1.8958595,0.14041516,-1.755383
2199,-1.3885349,-2.3946776,-1.4078934,-5.172216
2901,-0.20353022,-1.672086,-0.25942445,-2.2228909
2351,-0.59141856,-2.4526372,-0.56181866,-3.5068169
2421,-1.6537561,-2.9231405,-1.7415606,-6.3888607
3266,-0.046922766,-1.5649852,-0.035935044,-1.6201861
2829,-0.2737931,-0.19306731,-0.28239298,-0.8172361
3805,-0.235085,-1.2769532,-0.18721199,-1.5978472
2433,-0.97182035,-2.1315603,-0.7303438,-3.7986753
2261,-0.0019517754,-0.47790337,-0.13513047,-0.6587933
3402,-2.0685806,-3.8021345,-2.1170187,-8.04198
2285,-2.6779153,-5.632994,-2.7417326,-11.132483
2564,-0.7114949,-1.548289,-0.77383584,-2.845422
2437,0.0802218,-0.77702963,-0.15972163,-0.8410264
3417,-1.0777867,-0.6214057,-1.3057016,-2.9590912
2546,-0.16106586,0.08510849,-0.09120309,-0.11568582
2420,0.18592116,-0.5822698,0.064075224,-0.38984963
2589,-1.4585955,-1.86034,-1.4771485,-4.893858
2649,-0.48275614,0.06451362,-0.50119406,-0.83441484
2090,-0.6130665,-0.8674509,-0.5422472,-1.9141567
3072,-0.14777963,-2.703702,0.014404163,-2.6890926
2597,-1.4004436,-2.9066987,-1.3853362,-5.7562485
2160,-2.6220415,-5.571842,-2.7328577,-10.935701
2803,-0.8021642,-2.9799652,-0.791091,-4.3214064
2623,-0.0691544,-0.15930098,-0.06994431,-0.34722692
3967,-0.6879209,-3.6786115,-0.8233718,-5.137469
3437,-1.390216,-2.2209034,-1.2176616,-4.7764225
3852,-0.3901615,-0.48654526,-0.33013654,-1.273447
2819,-0.43918237,-0.7584173,-0.52792495,-1.662548
2317,-0.3682248,-0.43947583,-0.33745557,-1.1402019
3219,-0.124350205,-0.54298854,-0.20107833,-0.9510542
