,x1,x2,x3,x4
2185,-1.291315,-1.0537359,-1.1187487,-3.3730068
3638,-1.50226,-1.6569481,-1.4139832,-4.4991655
2709,-0.77110475,-2.2069407,-0.73248947,-3.8049436
2961,0.21456476,-0.888153,0.2730845,-0.54039526
3484,-0.53725374,-2.0815015,-0.78008914,-3.4115405
2401,-1.3524851,-2.7986033,-1.318832,-5.647929
3633,-0.71765,-1.8493402,-0.7812619,-3.457666
3048,-1.1147568,-3.0365477,-1.1885448,-5.2537875
3780,-0.43902242,-2.4795175,-0.4386757,-3.4935415
2506,-0.89924073,-1.3339701,-0.8413741,-3.1845472
2917,-0.278912,-0.37322864,-0.2837589,-1.0849636
3051,-0.61406994,-0.6008577,-0.5977084,-1.7774986
2273,-1.6465285,-2.7387707,-1.6146697,-5.914752
3497,0.07712429,-0.65727854,0.0015675798,-0.48153013
3722,-0.5998937,-0.96423304,-0.51881933,-1.9957517
2243,-1.0173885,-1.5444677,-1.1929038,-3.7320852
3272,0.22163501,-0.75218457,0.25626448,-0.30559215
2792,-1.7415899,-3.070516,-1.7643125,-6.4841776
3857,-0.40150723,-0.70645607,-0.43280488,-1.4797074
2215,-0.22539498,-0.29011104,-0.2857564,-0.62823874
3098,-1.0724208,-2.2583117,-1.1329513,-4.480625
3681,-0.004662327,-0.34822255,-0.13069573,-0.3536546
2945,-1.9524944,-3.0106087,-1.9974009,-6.9648676
3658,-2.521317,-5.489602,-2.4399455,-10.468148
2981,-0.050973255,-0.90563905,-0.023907838,-0.95803237
3587,-0.61501014,0.6340952,-0.7913476,-0.8575511
3333,-1.0633142,-3.8973432,-1.1724324,-5.963115
3402,-2.0685806,-3.8021345,-2.1170187,-8.04198
3008,-0.060723823,-1.4614458,-0.16297758,-1.6245909
2863,-0.06899145,-1.3197522,-0.033383615,-1.3729072
2787,-0.6974551,-1.3821346,-0.94869924,-3.0417857
3188,0.25458938,-1.3430585,0.23961231,-0.8739214
2294,-1.0492959,-2.1781287,-0.97364503,-4.1316314
2380,-1.2137372,0.14661527,-1.0972989,-2.1678386
3205,0.09592082,-0.27557766,0.10508906,0.028217427
3935,-1.7579573,-2.5472674,-2.0000029,-6.183586
2030,-1.7186812,-3.5061307,-1.6652089,-6.929096
2973,-0.8621249,-1.1503682,-0.9039844,-2.8970444
2767,-0.8985113,-0.7167178,-0.7622383,-2.5182993
3989,-1.3768654,-1.5356708,-1.471565,-4.525615
2677,-1.6285338,-4.0765686,-1.6252495,-7.288644
3532,0.032685317,-0.7929317,0.11349027,-0.76741874
2151,-0.046383124,-0.3478631,0.10589573,-0.17893583
3251,-0.35716692,0.43260527,-0.48476022,-0.33967105
2440,-0.78302944,-0.12896812,-0.70691884,-1.7996427
3527,-0.27002266,-0.19203866,-0.24251935,-0.7484152
3976,-0.5364112,-1.2111379,-0.5305229,-2.4048002
2247,-0.051477414,-0.18390623,0.09839089,-0.11125203
2730,-0.9822965,-1.3342988,-0.8776808,-3.1297197
2233,-0.67823416,-0.48763078,-0.71477735,-1.869097
2828,-2.3846345,-3.901968,-2.2133818,-8.77995
2875,-0.57352054,-0.6478166,-0.5090849,-2.007897
3383,-0.42743254,-1.6272659,-0.4787948,-2.5113811
3420,-0.23572768,-0.75401545,-0.2309966,-1.2338996
2947,-1.5283437,-3.1009622,-1.4739673,-6.087553
2530,-0.5268739,-0.9646417,-0.47831845,-1.8758895
2309,-0.5441444,0.08929169,-0.55033726,-1.0259877
3655,-2.5150177,-5.2892346,-2.5141103,-10.428772
3067,0.0858958,-0.27353704,0.16915902,-0.04880362
3742,-0.26179346,-0.5099371,-0.38144484,-1.0681617
3026,-1.9630468,-4.4821987,-2.060383,-8.509725
3568,-0.92487556,-1.9571651,-0.9488023,-3.822098
3852,-0.3901615,-0.48654526,-0.33013654,-1.273447
2141,-0.5780903,-0.86540353,-0.6835248,-2.0317194
2442,0.011051911,-0.9185866,0.096533775,-0.78877187
2298,-0.184192,-1.7632816,-0.11842363,-2.0068283
2613,-0.5688748,-2.5031848,-0.55235964,-3.7520921
2562,-0.38606098,-0.7631829,-0.53480774,-1.7121519
2201,-1.9512153,-5.0937176,-2.0230048,-9.0906315
3161,-0.34431365,0.08269566,-0.41149384,-0.82085925
2992,-0.17778505,-1.2841461,-0.24905026,-1.6684884
3268,-1.0256767,-2.232158,-1.1333641,-4.332249
3123,-1.3844197,-1.9686598,-1.086882,-4.395318
3802,0.04083859,-0.6079834,0.056089967,-0.48173422
2652,-0.98575187,-3.0649762,-1.0445254,-4.9941854
3234,-1.6902974,-4.9764805,-1.7240169,-8.636578
2412,-0.19328806,-0.56025827,-0.14569023,-0.8752736
3021,-1.2495977,-0.92309594,-1.1584373,-3.372931
3072,-0.14777963,-2.703702,0.014404163,-2.6890926
3566,-2.2597518,-2.4156156,-2.256683,-6.702016
2725,-0.0090224175,-0.2931864,-0.05502352,-0.427901
2584,-0.77888876,-1.3984418,-0.5597308,-2.8330567
3516,-0.49967676,-0.8529369,-0.3159492,-1.800535
2196,-0.73983914,-1.0232791,-0.7023213,-2.5129504
2932,-1.1254278,-3.2538977,-1.1498083,-5.698565
2065,-0.66674495,-1.1220368,-0.7696125,-2.63893
2237,-0.23059353,-0.69669783,-0.13841513,-1.1112704
2419,-1.7546017,-2.3390856,-1.7298111,-5.8358626
3218,-0.4185109,-3.4073021,-0.3849845,-4.2322283
3274,-1.2199813,-3.0939221,-1.1495111,-5.381506
2091,-0.62749255,-1.490322,-0.60393304,-2.541507
2975,-0.48280445,-1.7611258,-0.68642044,-2.8317816
2211,0.11582218,-0.83414626,0.0844132,-0.61499256
3920,-0.3730093,-1.610325,-0.45596957,-2.4253283
3961,0.11130888,-0.56557727,0.07709098,-0.48664492
3940,-0.9821121,-2.7653825,-1.1340749,-4.7711544
2711,-0.86314833,-3.3427672,-0.89895904,-5.1759963
3405,-0.9274358,-1.8732357,-1.0010656,-3.8289363
3705,-0.86969084,-2.804326,-0.8901747,-4.7645836
2043,-1.0344622,-3.747211,-0.9385145,-5.584999
