,x1,x2,x3,x4
2349,0.5234435,-0.58952427,0.59522116,1.3624034
2874,-0.14590926,0.4950363,0.19918862,0.5100808
2273,-1.5465285,1.0612292,-0.21466967,0.485248
2446,-1.0504596,0.57783353,0.01536237,0.5014667
2749,-0.6551342,0.5948051,-0.00848763,0.5882012
3618,-1.819898,0.006522298,0.5992477,0.508368
2588,0.2850806,1.7493953,0.4110858,-0.83996695
3242,-0.30943194,1.3411161,-0.4329891,0.7033336
3625,-1.2460796,0.5983685,-0.17949128,0.78114575
2467,-0.94971776,1.5147321,0.48314062,-0.7384689
2952,-1.4566461,0.47994432,0.57185966,-0.041899584
3597,-0.16127558,0.32663798,0.25364053,0.58610696
3406,-2.0345004,0.74374676,-0.08234491,0.43958274
3184,-2.1294966,0.52494633,0.00964961,0.59030324
2569,0.21162495,2.0590482,0.32979882,-1.2722634
3441,-1.3796092,0.8111299,-0.2538748,0.5806276
3897,-1.2297677,2.366569,-1.162532,0.04314565
2244,-1.3253142,0.23761177,0.19039325,0.6244089
2268,-1.6708483,0.7780425,-0.47172254,0.8501913
3233,0.008013736,0.10171618,0.17820716,0.9167235
3159,-2.084364,0.16778679,-0.019167494,0.99364394
3670,-1.1159552,0.9875108,-0.36320227,0.48948354
3253,-0.9162091,0.5901911,0.20596507,0.28546914
3982,-1.4103947,0.36385477,-0.004229641,0.764094
3396,-1.1282622,0.64796513,-0.33288828,0.7345303
2835,-0.045425642,0.66898847,-0.116174445,0.554346
2622,-0.33139193,0.4981099,-0.29381645,0.94134986
2212,-0.9508676,0.2729776,0.903271,0.10035141
2820,-1.7295669,0.23735628,-0.12603264,0.9459262
2440,-0.083029434,1.2710319,-0.006918825,1.0003573
2990,-0.52334696,0.41517723,-0.05225984,0.72949517
3884,-1.7941706,0.8347393,-0.3112661,0.7366139
2576,0.18855932,1.3777905,0.1971992,-0.44755593
2653,-1.0551503,-0.31937447,-0.13820621,1.6502535
2025,-1.6305718,0.55465686,-0.42072862,1.0083872
3849,-1.6310511,-0.11063747,-0.50562143,1.742234
3079,0.016441513,0.52967435,0.011117319,0.593827
2816,-0.33413696,0.9795016,-0.18143854,0.43928638
2013,-1.6475424,1.5671113,-1.5208354,0.9847328
2211,0.5158222,-0.03414631,0.4844132,0.98500735
3268,-0.62567675,1.067842,-0.7333641,0.76775086
2193,0.37729767,0.27543116,1.0105368,-0.14492312
3075,-0.24587056,0.49969134,-0.14662957,0.78314996
3652,-1.0716221,0.35144955,0.24771623,0.6289608
3243,-1.8590263,0.23478623,-0.9816797,1.8955976
3245,-0.5762608,1.1234229,0.1903661,-0.12029719
2220,-2.0494423,-2.0983539,0.323245,2.9719164
2895,-0.4166375,0.010784298,0.849665,0.44989592
2411,-0.3308306,1.4698062,1.1850024,-1.5860505
2656,-0.26226565,1.0432642,-0.22781037,0.6892334
3705,-0.86969084,1.295674,-0.3901747,0.23541641
2989,0.3818291,0.3287537,0.36616522,1.0682054
2866,-3.2663178,1.2334793,0.8236815,-0.98228705
2298,0.615808,-0.16328156,0.6815764,0.6931717
2564,-0.21149492,0.5517111,0.026164163,0.5545782
3344,-0.052146364,0.8035212,-0.07449305,0.47795916
3835,-2.2266986,0.41801605,0.059501506,0.5209502
3008,0.13927618,0.3385542,0.03702242,0.67540914
2539,-0.4167989,1.2251284,-0.23986295,0.41232395
3970,-1.7525302,0.41468078,0.00969317,0.6485626
3129,-1.0678656,0.8203406,0.42250285,-0.043732867
2734,-0.30998418,0.3652995,0.64558464,0.33092913
2555,-2.7272933,0.51518077,-0.12384796,0.78862417
2522,-0.48258132,1.1516398,-0.3601564,0.46933234
2719,-0.14001551,0.52852786,0.19987166,0.563665
3568,-0.92487556,0.24283488,0.1511977,0.777902
2948,-1.1179972,-1.3709614,-0.82832336,3.3249447
3557,-0.75044656,0.6437892,0.19134322,0.30390677
2240,-0.42213792,0.9007983,0.00744648,0.32944036
3888,0.67991847,0.7422774,0.76010895,2.0308225
3392,-0.4328861,0.23861246,0.005284989,0.85718054
3048,0.18524317,0.36345235,0.11145525,0.74621254
3973,-0.5224711,0.08751777,0.38499644,0.6019044
3234,-1.5902973,1.2235196,-0.3240169,0.2634224
3158,0.30734804,0.25744748,0.08897327,0.820844
3763,0.40632385,0.13735867,0.27506977,0.7653674
2403,0.29979494,0.612036,0.21403939,0.262098
3587,-0.31501013,1.2340952,-0.4913476,0.34244898
2623,-0.0691544,0.34069902,0.43005568,0.6527731
2751,-0.016577058,0.7115668,-0.11959767,0.6187963
2067,-0.53591514,0.22987132,-0.09895345,0.9121372
3405,-0.9274358,0.026764298,0.3989344,0.7710637
2270,0.06109744,0.47454238,0.074857116,0.6552352
3926,-1.6233553,0.5781628,-0.45569676,0.99783075
2002,0.16000296,-0.20166466,0.14395304,1.0632188
3484,-0.53725374,-0.18150148,0.5199109,0.7884595
3022,-0.92459977,1.2231971,-0.5609923,0.61108005
3012,-2.4059072,-0.18277435,0.5667876,0.73800296
2714,0.035982575,0.1563424,0.28266668,0.72196776
2917,0.321088,0.8267714,0.3162411,0.21503644
3967,-0.78792095,0.8213885,-0.123371825,0.5625312
2012,0.29723084,0.35258797,0.22726497,1.0011737
2066,-1.166487,0.784174,-0.252492,0.54529303
2360,-0.7051111,0.47657725,-0.3077218,0.9438499
2617,0.14888494,0.39593047,0.118557766,0.72454244
3096,-0.13693805,0.7198312,-0.09698093,0.5735134
3677,-0.48557618,0.5030985,0.40591955,0.3005039
3492,-0.24657506,0.58153987,0.005214161,0.53132635
3806,-0.17851695,1.0262755,-0.24568188,0.5766254
2283,-1.4065539,0.46210876,-0.008938861,0.6050579
3284,-0.0386625,0.42561895,0.10909084,0.512467
3235,0.007925719,0.50332886,0.0569201,0.61857074
2638,-0.9508253,0.2837573,0.23628928,0.5734045
3356,-1.0382911,0.8019825,-0.21732663,0.48343533
3899,-0.13645373,0.61716086,0.047673937,0.59987116
2666,-0.18670666,0.73390496,-0.20586221,0.58382684
3187,-0.033174288,0.6728568,-0.06745062,0.58374894
3593,-1.4614853,4.1998,0.9721043,-4.1113114
2856,-1.5249217,0.8357242,-0.74307483,1.1633614
2406,0.251649,0.4451379,0.05646376,0.6244464
3782,-0.32918936,1.0770532,-0.2674513,0.4657497
2872,-0.08801887,0.413601,0.15481697,0.59823596
3803,-0.8053076,0.54676366,0.31506953,0.24546425
2633,0.22493638,0.25498822,0.20732388,0.7009164
3734,0.39364406,0.0769912,0.47079277,1.0229802
3178,-0.90045923,0.41258126,-0.14291878,0.93401945
3198,-0.6460732,0.6912359,-0.19203481,0.4942282
3335,-1.6953347,0.39098984,0.12522006,0.78411216
3068,-0.65641576,2.4481149,-0.5188182,-0.6215081
2679,-0.6429251,1.0042754,-0.7084934,0.81319445
3759,-0.64991057,0.64185315,0.26045448,0.28037423
2262,-1.464815,-0.15494195,0.24353404,0.947952
2938,0.7023628,0.080752015,0.71504664,0.21760234
2757,-1.2991825,0.3695205,0.50451404,0.24029465
2251,0.06535091,-1.6424241,0.034294084,2.892201
3214,-0.43498075,0.78302795,-0.35673794,0.86484015
3932,-0.53072184,0.43464547,0.34273687,0.32716525
2023,-0.36787754,0.5971838,0.56516874,0.8699955
2947,-1.5283437,1.0990379,-0.57396734,0.512447
3983,-0.15904279,0.5051667,0.01945965,0.6772244
3653,-0.3770208,0.8568764,0.7848875,-0.49918622
3016,-1.612722,1.2447853,-0.94624436,0.9157159
3333,-1.0633142,0.30265683,0.22756758,0.5368848
3732,-1.571376,0.08662498,0.38888517,0.67312115
2741,-0.9530626,-1.1124489,0.05857239,2.3025315
3941,-0.8904579,0.61973184,0.010739016,0.5341441
2888,-0.7259576,0.403383,0.16420172,0.5682241
3401,-0.17863847,0.5447761,-0.07101591,0.7085964
2779,-0.11955366,0.67194617,-0.003923559,0.56694734
2861,-1.3208988,0.6194565,0.0401422,0.589647
2828,-2.3846345,0.298032,-0.113381766,0.92004985
2442,0.011051911,0.3814134,0.19653377,0.6112282
3778,-0.08925736,0.5044622,0.03949834,0.4800291
3946,-1.3313829,0.56535053,-1.1229402,1.7622869
2584,-0.77888876,0.2015582,0.24026917,0.76694334
2252,-0.108824,0.59815824,-0.057887737,0.5758884
3077,0.2386995,0.03602934,0.35083413,0.7680214
3796,0.6481699,-0.0023441315,0.63164955,0.36828786
2391,0.46635404,0.46216196,0.51308763,1.5347065
3574,-0.45260018,0.533865,0.37650165,0.21520773
3192,-0.75778824,0.57642466,0.6303658,0.44162038
2191,-0.4369833,0.33265772,0.21933745,0.5744063
3920,-0.3730093,1.189675,-0.45596957,0.3746718
3750,-0.12336525,0.5520306,0.019970438,0.5892644
3256,-0.6722222,0.37586686,0.114200875,0.56987447
3715,0.20444109,-0.06848864,0.48945114,0.7367194
3515,-0.4516411,-0.030052304,1.0204668,0.40678716
2301,-2.560096,0.6603006,-0.07144413,0.5716877
3745,0.5157516,-0.1083868,0.5571812,0.8466815
3296,-1.0565917,0.8394923,-0.114288494,0.54715216
3869,-0.5958317,0.4285621,0.09660573,0.60939556
2619,-0.30751738,0.42731184,0.31311178,0.5792215
3161,-0.24431366,0.5826957,-0.011493837,0.5791407
2003,-1.0823736,0.4775885,-0.14376327,0.8674418
