,y
2349,1.0
2874,0.0
2273,0.0
2446,0.0
2749,0.0
3618,0.0
2588,0.0
3242,0.0
3625,0.0
2467,0.0
2952,0.0
3597,0.0
3406,0.0
3184,0.0
2569,0.0
3441,0.0
3897,0.0
2244,0.0
2268,0.0
3233,0.0
3159,0.0
3670,0.0
3253,0.0
3982,0.0
3396,0.0
2835,0.0
2622,0.0
2212,0.0
2820,0.0
2440,0.0
2990,0.0
3884,0.0
2576,0.0
2653,0.0
2025,0.0
3849,0.0
3079,0.0
2816,0.0
2013,0.0
2211,0.0
3268,0.0
2193,0.0
3075,0.0
3652,0.0
3243,0.0
3245,0.0
2220,0.0
2895,0.0
2411,0.0
2656,0.0
3705,0.0
2989,0.0
2866,0.0
2298,0.0
2564,0.0
3344,0.0
3835,0.0
3008,0.0
2539,0.0
3970,0.0
3129,0.0
2734,0.0
2555,0.0
2522,0.0
2719,0.0
3568,0.0
2948,0.0
3557,0.0
2240,0.0
3888,0.0
3392,0.0
3048,0.0
3973,0.0
3234,0.0
3158,1.0
3763,0.0
2403,0.0
3587,1.0
2623,1.0
2751,1.0
2067,0.0
3405,0.0
2270,1.0
3926,0.0
2002,0.0
3484,0.0
3022,0.0
3012,0.0
2714,0.0
2917,0.0
3967,0.0
2012,1.0
2066,0.0
2360,0.0
2617,0.0
3096,0.0
3677,0.0
3492,0.0
3806,0.0
2283,0.0
3284,0.0
3235,0.0
2638,0.0
3356,0.0
3899,1.0
2666,0.0
3187,0.0
3593,0.0
2856,0.0
2406,0.0
3782,0.0
2872,0.0
3803,0.0
2633,0.0
3734,0.0
3178,0.0
3198,0.0
3335,0.0
3068,0.0
2679,0.0
3759,0.0
2262,0.0
2938,0.0
2757,0.0
2251,0.0
3214,0.0
3932,0.0
2023,0.0
2947,0.0
3983,0.0
3653,1.0
3016,0.0
3333,0.0
3732,0.0
2741,0.0
3941,0.0
2888,0.0
3401,0.0
2779,1.0
2861,0.0
2828,0.0
2442,0.0
3778,0.0
3946,0.0
2584,0.0
2252,0.0
3077,0.0
3796,0.0
2391,0.0
3574,0.0
3192,0.0
2191,0.0
3920,0.0
3750,0.0
3256,0.0
3715,0.0
3515,0.0
2301,0.0
3745,0.0
3296,0.0
3869,0.0
2619,1.0
3161,0.0
2003,0.0
2574,0.0
3752,0.0
3060,1.0
2910,0.0
2449,1.0
3110,0.0
3027,0.0
3817,0.0
2380,0.0
2994,0.0
3205,1.0
2903,0.0
3051,0.0
2969,0.0
2140,0.0
2377,0.0
3940,0.0
3519,0.0
3620,0.0
2182,0.0
3428,0.0
3957,0.0
3767,0.0
2166,0.0
2371,0.0
2348,0.0
3031,1.0
3874,0.0
2534,0.0
3695,0.0
3757,0.0
3174,0.0
2296,0.0
3935,0.0
2695,0.0
2796,0.0
