,x1,x2,x3,x4
2726,-0.16342823,0.68743974,-0.12044064,0.5439506
2215,0.07460502,1.009889,0.7142436,-0.028238738
2158,-0.20728377,0.7359472,-0.04581189,0.5066572
2496,-1.0708784,0.1241127,-0.105527446,1.087012
2910,-0.40763018,0.49483642,0.0905725,0.6122669
2450,-0.3123117,0.71974784,0.7689629,0.11809273
3253,-0.6162091,0.39019114,0.20596507,0.48546916
2760,0.36171755,0.059240293,0.30150253,0.8180953
3391,-0.92944956,-0.07098758,0.36259726,0.8681213
2804,0.08803573,0.44366178,0.08363277,0.39999056
3970,-1.4525303,3.5146809,-0.39030683,-1.9514374
3632,-1.2083312,0.30040807,0.13482527,0.81429243
2148,-1.3791435,-1.9658191,-1.3371775,4.581168
3084,-1.2393974,0.6149009,0.049281072,0.5537716
2681,-1.2097858,0.20430455,0.17479494,0.7289664
3574,-0.35260016,0.7338649,0.076501645,0.5152079
2562,0.013939017,0.6368172,0.46519226,1.0878482
2256,-0.63672215,0.42344347,0.42174318,0.21332674
2924,-0.1590238,0.85949516,-0.22773468,0.37061447
3932,-1.1307218,1.3346455,-0.55726314,0.22716537
2995,0.24300054,0.70422924,0.18942714,0.24338551
3108,-0.080203064,0.12200966,0.15200673,0.8773818
3057,-0.16179997,0.6636334,0.0075513395,0.5499993
2888,-0.62595755,0.503383,-0.13579828,0.66822404
3382,-0.97130936,0.43554062,0.62666696,0.28414696
3719,0.22419694,0.31546593,0.14242283,0.78572905
3368,0.1823829,0.32469735,0.21746251,0.74321747
3941,-1.0904579,-1.4802681,0.21073902,2.334144
3284,0.1613375,0.12561895,0.30909085,0.8124671
2191,-0.6369833,0.33265772,0.019337445,0.87440634
2413,-0.35500428,2.7618911,2.6045535,-3.6982818
3911,-1.0646431,0.17014971,0.31838134,0.4790864
3291,0.0110549,0.22381094,0.2929608,0.59253895
3033,0.15042633,0.81349397,0.19499779,0.78325844
3600,0.33150616,-0.9326881,0.27863806,-0.27427518
3738,-1.3406909,0.43466848,0.24399853,0.53466916
2448,0.29891962,0.7640119,0.28377694,0.5749288
2342,-0.09267237,0.66372746,-0.16403165,0.5798594
2907,-1.6757952,2.5232475,1.6866026,-3.1414034
3396,-0.9282622,0.54796517,-0.13288827,0.7345303
2862,-1.4417694,0.6585132,-0.14110422,0.4725148
3946,-0.9313829,0.3653505,-1.2229402,1.7622869
2091,-0.7274926,-0.39032206,0.59606695,0.958493
3313,-0.5094972,1.4540316,-0.6036768,0.18943992
2096,-0.6444898,0.45057854,0.41450223,0.26383495
2339,-0.42706588,0.3632,0.039350145,0.76202667
3257,-0.55039746,0.4823881,-0.05992371,0.7300073
3129,0.33213434,0.8203406,0.42250282,1.356267
2588,-1.0149194,0.6493952,-0.38891423,0.86003304
2844,-1.7222396,0.45342907,-0.93308717,1.6186793
2654,-1.2994444,0.49759364,0.07789111,0.43615276
3895,-0.14430514,0.34610337,0.045638513,0.62084454
3846,0.2701703,0.1685501,0.33095682,0.81499904
3645,-0.12716867,0.7257508,-0.012960784,0.53058994
2994,-1.7740077,0.8309509,-0.5067041,0.8780529
2072,-0.71961474,1.3744584,-0.419676,0.24451447
3185,-0.37574372,0.73625326,-0.40840888,0.59293544
2942,-0.70451576,0.06936707,-0.11949402,1.0428132
3459,0.19545154,0.29766986,0.0018392801,0.8337858
3532,0.032685317,0.20706832,0.21349026,0.63258123
3405,-1.4274359,0.3267643,-0.20106561,0.87106365
