,x1,x2,x3,x4
2726,-0.36342824,-2.1125603,-0.52044064,-2.7560494
2215,-0.22539498,-0.29011104,-0.2857564,-0.62823874
2158,-0.6072838,-1.0640528,-0.5458119,-2.193343
2496,-0.97087836,-3.4758873,-0.80552745,-5.212988
2910,-0.50763017,-1.6051636,-0.3094275,-2.4877331
2450,-0.4123117,-0.68025213,-0.5310371,-1.5819073
3253,-0.9162091,-0.9098089,-0.8940349,-2.8145308
2760,0.26171756,-0.6407597,0.20150253,-0.08190459
3391,-0.72944957,-1.0709876,-0.53740275,-2.3318787
2804,-0.41196427,-1.1563382,-0.41636723,-2.2000093
3970,-1.7525302,-3.3853192,-1.8903068,-7.0514374
3632,-1.0083312,-1.999592,-1.1651747,-4.1857076
2148,-1.3791435,-3.765819,-1.5371776,-6.818832
3084,-1.2393974,-3.1850991,-1.1507189,-5.5462284
2681,-1.1097858,-1.3956954,-0.92520505,-3.4710336
3574,-0.65260017,-0.5661351,-0.52349836,-1.6847923
2562,-0.38606098,-0.7631829,-0.53480774,-1.7121519
2256,-0.5367221,0.02344346,-0.47825682,-0.9866732
2924,-1.3590238,-4.640505,-1.2277347,-7.3293858
3932,-0.9307218,-1.2653545,-1.0572631,-3.1728346
2995,-1.1569995,-4.1957707,-1.2105728,-6.4566145
3108,-0.080203064,-0.77799034,-0.04799327,-0.9226182
3057,-0.26179996,-0.23636658,-0.19244866,-0.65000063
2888,-0.62595755,-1.696617,-0.6357983,-3.031776
3382,-1.1713094,-1.8644594,-1.073333,-3.915853
3719,-0.17580307,-0.9845341,-0.25757718,-1.314271
3368,0.1823829,-1.7753026,0.21746251,-1.3567826
3941,-0.8904579,-2.5802681,-0.789261,-4.165856
3284,-0.4386625,-0.57438105,-0.29090917,-1.2875329
2191,-0.4369833,-0.06734228,-0.48066255,-0.9255937
2413,-1.2550043,-2.1381087,-1.3954465,-4.698282
3911,-1.0646431,-2.2298503,-1.0816187,-4.5209136
3291,0.0110549,-0.67618906,0.09296079,-0.5074611
3033,-0.24957368,-0.0865061,-0.3050022,-0.71674156
3600,0.33150616,-0.83268815,0.37863806,-0.074275255
3738,-1.3406909,-1.3653315,-1.2560015,-3.9653308
2448,-0.7010804,-1.2359881,-0.71622306,-2.7250712
2342,-0.6926724,-1.6362725,-0.76403165,-3.0201406
2907,-2.0757952,-3.6767526,-2.1133974,-7.8414035
3396,-1.1282622,-3.5520349,-0.93288827,-5.6654696
2862,-1.2417693,-3.9414868,-1.1411042,-6.227485
3946,-1.3313829,-1.5346495,-1.6229402,-4.437713
2091,-0.62749255,-1.490322,-0.60393304,-2.541507
3313,-0.9094972,-1.7459685,-1.0036768,-3.71056
2096,-0.6444898,-2.1494215,-0.68549776,-3.436165
2339,-0.42706588,-1.9368,-0.36064985,-2.8379734
3257,-0.55039746,-1.1176119,-0.5599237,-2.1699927
3129,-1.2678657,-2.3796594,-1.1774971,-5.043733
2588,-1.0149194,-0.8506048,-0.8889142,-2.639967
2844,-1.7222396,-3.146571,-1.6330872,-6.581321
2654,-1.2994444,-2.5024064,-1.4221089,-5.3638473
3895,-0.54430515,-1.8538966,-0.6543615,-3.0791554
3846,-0.1298297,-0.63144994,-0.06904319,-0.7850011
3645,-0.42716867,-1.3742492,-0.31296077,-2.06941
2994,-1.8740077,-4.869049,-1.9067041,-8.821947
2072,-0.71961474,-0.42554158,-0.619676,-1.7554855
3185,-0.9757437,-2.2637467,-1.0084089,-4.3070645
2942,-0.60451573,-0.8306329,-0.619494,-2.0571868
3459,-0.60454845,-1.3023303,-0.79816073,-2.6662142
3532,0.032685317,-0.7929317,0.11349027,-0.76741874
3405,-0.9274358,-1.8732357,-1.0010656,-3.8289363
3060,-0.041118365,-0.035509586,-0.16200693,-0.2555049
2534,-0.11664393,-0.19873145,-0.25034055,-0.50310975
3652,-1.1716222,-2.4485505,-1.0522838,-4.571039
2314,-1.0671248,-2.1931741,-1.2381829,-4.4622836
2328,-0.30639789,-0.30383387,-0.28300974,-0.8794554
3301,-0.26288673,-0.8081367,-0.38205656,-1.3754412
2097,-1.8059034,-3.227008,-1.9026754,-6.9041486
3403,-0.6036576,-0.16851425,-0.45274675,-1.2494307
3236,-1.1946793,-1.4822855,-1.0818081,-3.5661712
2956,0.07185625,-0.07551738,-0.042527944,-0.05267454
2273,-1.6465285,-2.7387707,-1.6146697,-5.914752
3440,-0.610455,-0.6974112,-0.8310855,-2.041154
2433,-0.97182035,-2.1315603,-0.7303438,-3.7986753
3540,-0.7794527,-0.77232325,-0.78535926,-2.1906846
2131,-0.9537677,-2.9606967,-0.8755557,-4.853746
2960,-0.41701496,-0.74269396,-0.21264152,-1.278863
3992,-0.50668377,-0.84143746,-0.8154824,-2.0347712
3772,-1.5806174,-2.014463,-1.3647655,-4.7551446
2856,-1.5249217,-4.464276,-1.4430748,-7.2366385
3184,-2.1294966,-4.0750537,-2.0903504,-8.209697
3183,-1.1490196,-2.897668,-1.1503334,-5.284701
3255,-0.60124964,0.09611809,-0.5999752,-1.0997883
2906,-0.15386418,-0.09962946,-0.21213704,-0.56584215
2667,-0.26340085,-2.9110758,-0.21613991,-3.4356582
2503,-1.7281115,-3.4612978,-1.7300426,-6.9746733
3962,-0.52771515,-2.4720545,-0.455542,-3.500048
2171,-0.7508449,-1.6553116,-0.7819411,-3.0744643
2698,-1.0098372,-1.9930177,-0.92522943,-3.9312475
3781,-0.61326844,0.39206803,-0.62284124,-0.911254
3346,-0.9540691,-2.1115508,-0.9818153,-4.1205807
2469,-0.11823769,-1.740206,-0.21526274,-2.028539
3330,-1.4252688,-2.1721134,-1.2888434,-4.9079566
