,h_post,h_post_individualized
16451,0.98,
19806,0.9,
16284,0.86,
10310,0.96,
13991,0.86,
16547,1.0,
11932,0.24000000000000005,
19313,0.72,
15031,0.86,
14263,0.86,
18733,0.86,
17780,1.0,
17202,0.68,
12085,0.84,
12838,0.84,
17801,0.86,
14409,0.86,
17298,0.84,
14222,0.9,
19673,0.94,
18193,0.98,
11710,0.82,
19572,0.9,
14429,0.84,
17676,0.9,
16219,0.9,
18504,0.92,
14075,0.84,
13940,0.24000000000000005,
17848,0.92,
19342,0.94,
16942,0.84,
16227,0.92,
15051,0.84,
17452,0.86,
18554,0.7,
14774,0.9,
17887,0.96,
15215,0.88,
16817,0.86,
17123,0.98,
11221,0.72,
10520,0.82,
16947,0.76,
11128,0.92,
12212,0.86,
12219,0.88,
17606,0.84,
18972,0.96,
12944,0.84,
17231,0.88,
13570,0.92,
16239,0.98,
17090,1.0,
16184,0.92,
14469,0.72,
10130,0.9,
10150,0.98,
15151,0.84,
17720,0.86,
15352,0.9,
12868,0.94,
16126,0.82,
14261,0.9,
13503,0.88,
16870,0.9,
12433,0.84,
15193,0.84,
11469,0.84,
14532,0.6,
14959,0.9,
19888,0.94,
17974,0.66,
17977,0.92,
10869,0.5,
12731,0.9,
18945,0.84,
16155,0.9,
17198,0.9,
11514,0.96,
14905,0.92,
11389,0.88,
18515,0.82,
13510,0.86,
11488,0.96,
13420,0.88,
16272,1.0,
18532,0.72,
19311,0.76,
15191,0.88,
10172,0.96,
18578,0.92,
18069,0.9,
10610,1.0,
12614,0.9,
16836,0.84,
17370,1.0,
19320,0.86,
17957,0.9,
14246,0.8,
12951,0.98,
12274,0.82,
17150,0.84,
16650,0.86,
12149,0.96,
15432,0.88,
18229,1.0,
15983,0.9,
17637,0.92,
14582,0.88,
12962,0.86,
16205,0.84,
16608,0.9,
17025,0.94,
11165,0.78,
16859,0.9,
11089,0.92,
11496,0.96,
19339,0.74,
16898,0.96,
17736,0.84,
19001,0.92,
13778,0.96,
13747,0.94,
10306,0.96,
17943,0.96,
18696,0.94,
16313,0.66,
18724,0.9,
12610,0.84,
11888,0.72,
12256,0.92,
14164,0.92,
17795,0.72,
12128,0.88,
19235,0.84,
15572,0.24000000000000005,
18971,0.9,
17560,0.88,
18110,0.8,
15316,0.92,
15675,0.82,
12589,1.0,
11153,0.88,
13750,0.88,
16839,0.86,
12062,0.88,
19416,0.84,
10900,0.92,
18297,0.66,
12789,0.98,
16618,0.88,
11473,0.96,
18844,0.96,
12948,0.86,
18816,0.88,
19379,0.7,
19028,0.94,
11104,0.86,
10859,0.62,
13798,0.7,
15498,0.92,
13083,0.88,
10787,0.96,
13732,0.92,
19716,0.96,
14554,0.9,
12052,0.84,
14060,0.88,
10340,0.88,
10955,0.82,
11071,0.8,
18088,0.94,
17388,0.92,
17875,0.9,
11982,0.88,
14563,0.84,
17269,0.9,
15482,0.9,
10937,0.98,
12836,0.86,
17826,0.76,
14613,0.82,
11675,0.96,
10848,0.64,
15855,0.64,
10219,0.88,
10010,0.96,
12361,0.94,
17432,0.86,
13361,0.9,
18234,0.84,
10683,0.9,
13565,0.36,
10710,0.86,
17297,0.84,
16011,0.58,
11969,0.9,
17894,1.0,
12391,0.74,
