,h_post,h_post_individualized
17733,0.84,
12317,0.82,
10327,0.74,
19277,0.8,
14064,0.86,
16031,0.9,
11301,0.0,
12414,0.86,
14799,0.94,
15821,0.0,
16083,0.94,
13919,0.9,
14306,0.94,
19240,0.88,
10758,0.0,
12352,0.9,
10805,0.9,
17623,0.0,
10432,0.82,
15521,0.07999999999999999,
19742,0.96,
17743,0.86,
14416,0.92,
14735,0.0,
16101,0.42,
11513,0.92,
15372,0.0,
13442,0.92,
14139,0.06,
12584,0.8,
18007,0.82,
11002,0.8,
14953,0.94,
19081,0.88,
11754,0.9,
11051,0.84,
15166,0.28,
10373,0.8,
10425,0.94,
18903,0.86,
12493,0.9,
14470,0.86,
12643,0.68,
16979,0.92,
15268,0.0,
12308,0.22,
16511,0.9,
14016,0.8,
16407,0.0,
19460,0.0,
15156,0.22,
13632,0.9,
17693,0.9,
18938,0.86,
16717,0.9,
18607,0.03999999999999999,
19418,0.12000000000000001,
16966,0.94,
11156,0.8,
12585,0.92,
15929,0.88,
12241,0.96,
19311,0.64,
17119,0.0,
14673,0.82,
12315,0.84,
12231,0.88,
16033,0.86,
14611,0.02,
15653,0.94,
11792,0.88,
18940,0.94,
18742,0.86,
11337,0.88,
19388,0.9,
16215,0.82,
10969,0.3,
15130,0.84,
13904,0.02,
18784,0.0,
19910,0.92,
19592,0.98,
10578,0.84,
15752,0.06,
16490,0.7,
19634,0.88,
19185,0.88,
18826,0.8,
18521,0.72,
14945,0.86,
19186,0.0,
12678,0.9,
12542,0.22,
15777,0.24000000000000005,
14725,0.74,
10263,0.92,
18400,0.8,
16350,0.66,
16863,0.8,
11235,0.92,
16047,0.82,
15978,0.26,
18773,0.0,
12526,0.94,
10053,1.0,
19390,0.9,
10768,0.74,
15298,0.07999999999999999,
13049,0.98,
18027,0.84,
13692,0.84,
10717,0.32000000000000006,
16650,0.86,
19953,0.03999999999999999,
18743,0.68,
12619,0.0,
16252,0.3,
11373,0.88,
17577,0.0,
12523,0.92,
19986,0.7,
13164,0.9,
15905,0.82,
18237,0.36,
13606,0.68,
11458,0.78,
13597,0.92,
13727,0.94,
19397,0.02,
18988,0.0,
15524,0.92,
10407,0.98,
19561,0.98,
12380,0.9,
19051,0.9,
18958,0.72,
13867,0.86,
15994,0.8,
17757,0.86,
12648,0.92,
10465,0.8,
15359,0.78,
17283,0.9,
15040,0.8,
11152,0.0,
15582,1.0,
17617,0.84,
17056,0.84,
16671,0.82,
12908,0.92,
19058,0.74,
11040,1.0,
19955,0.0,
15803,0.88,
11718,0.02,
13331,0.94,
12070,0.86,
18943,0.24000000000000005,
10152,0.92,
13785,1.0,
11023,0.96,
15968,0.98,
17441,0.92,
14445,0.9,
10577,0.66,
17596,0.9,
15615,0.88,
12582,0.88,
13631,0.96,
12487,0.92,
18186,0.96,
14181,0.66,
11506,0.92,
14036,0.82,
17963,0.84,
19303,0.86,
19546,0.9,
19819,0.92,
16577,0.26,
11074,0.9,
14393,0.74,
16379,0.94,
16482,0.0,
11097,0.92,
13674,0.9,
11253,0.74,
17652,0.68,
16804,0.8,
13984,0.0,
18637,0.86,
16808,0.94,
18750,0.9,
10532,0.88,
19748,0.92,
12665,0.64,
13468,0.9,
15575,0.88,
14056,0.78,
16118,0.03999999999999999,
15630,0.96,
