,y_hat
12317,False
13049,False
19198,False
13047,False
10596,False
11425,False
14056,False
19311,False
10915,False
11846,False
10399,False
13606,False
18743,False
18105,False
11008,False
19208,False
10845,False
14653,False
15521,False
12072,False
13554,False
10152,False
12437,False
17301,False
11156,False
12253,False
18126,False
18960,False
17733,False
13141,False
17505,False
15355,False
18165,False
19953,False
14945,False
14229,False
17623,False
10088,False
10413,False
19923,False
16424,False
12487,False
11186,False
14287,False
15582,False
11454,False
14332,False
16402,False
16842,False
10341,False
10275,False
15268,False
19561,False
12535,False
11982,False
15838,False
15586,False
13786,False
18137,False
19267,False
12603,False
12917,False
11235,False
12613,False
10425,False
14167,False
19199,False
18389,False
11620,False
12156,False
18084,False
15871,False
13884,False
13736,False
14542,False
10327,False
16772,False
12804,False
12054,False
16650,False
18237,False
17448,False
17371,False
16824,False
10739,False
18053,False
16819,False
10525,False
12023,False
13921,False
10640,False
17584,False
13164,False
10577,False
13744,False
16113,False
17452,False
16327,False
14839,False
13413,False
16543,False
14869,False
16379,False
10805,False
16843,False
18886,False
15338,False
11097,False
11183,False
13597,False
10993,False
14191,False
10322,False
17144,False
14927,False
19659,False
15166,False
13692,False
13533,False
17011,False
15575,False
13134,False
15965,False
13939,False
17076,False
11881,False
10602,False
14799,False
11732,False
16804,False
11631,False
16776,False
14381,False
14699,False
18395,False
17385,False
17533,False
14707,False
17868,False
11059,False
19081,False
11214,False
10285,False
19240,False
17200,False
13106,False
10261,False
13431,False
15685,False
18662,False
12873,False
13189,False
10048,False
13142,False
12648,False
13904,False
16511,False
12908,False
10141,False
12967,False
19986,False
12526,False
14399,False
14098,False
13046,False
14393,False
15978,False
13853,False
17838,False
12438,False
16437,False
12692,False
16889,False
17607,False
18636,False
17577,False
10125,False
16118,False
10313,False
15362,False
15579,False
11385,False
16609,False
17378,False
15567,False
10274,False
13294,False
10969,False
14095,False
13959,False
12625,False
14930,False
10309,False
16942,False
15428,False
12760,False
16252,False
16101,False
17986,False
16031,False
