,y_hat
19471,False
19558,False
16931,False
19111,False
18732,False
18382,False
17695,False
12039,False
10325,False
11631,False
12780,False
16082,False
18007,False
12743,False
14939,False
18742,False
19804,False
15111,False
18262,False
16277,False
13400,False
19167,False
11895,False
18899,False
13433,False
10311,False
14207,False
13208,False
18507,False
16757,False
14085,False
13681,False
17060,False
12754,False
16968,False
19389,False
13902,False
15138,False
14676,False
17209,False
15710,False
10831,False
12398,False
16042,False
14168,False
15711,False
17534,False
15357,False
13611,False
13507,False
18644,False
13046,False
17059,False
10654,False
17344,False
17488,False
17742,False
11218,False
13569,False
14324,False
19450,False
13618,False
11695,False
13644,False
13504,False
17538,False
19308,False
13035,False
15504,False
10518,False
18425,False
17075,False
16741,False
11098,False
16809,False
12484,False
13773,False
17678,False
18019,False
12544,False
12330,False
13179,False
18157,False
18146,False
14607,False
11060,False
14323,False
11902,False
13783,False
17838,False
12933,False
18670,False
10206,False
19864,False
16454,False
19703,False
14222,False
11172,False
19549,False
16849,False
10560,False
15783,False
18236,False
16649,False
16067,False
15886,False
19942,False
12406,False
11364,False
19327,False
11739,False
11469,False
14387,False
18516,False
18589,False
10222,False
12475,False
13417,False
12159,False
13298,False
18848,False
11866,False
11800,False
15018,False
19147,False
11969,False
10238,False
13258,False
16894,False
13675,False
15159,False
18680,False
14601,False
11647,False
11789,False
12289,False
19377,False
17251,False
18577,False
16748,False
13319,False
13289,False
15502,False
11228,False
17682,False
10036,False
19734,False
10251,False
13490,False
15002,False
14666,False
19075,False
14278,False
18206,False
16645,False
17792,False
17610,False
13958,False
18563,False
10777,False
18064,False
16250,False
19820,False
16178,False
14245,False
15740,False
14303,False
18395,False
14477,False
13789,False
16904,False
17440,False
19999,False
11551,False
12041,False
17782,False
15420,False
11808,False
17532,False
11046,False
12194,False
13096,False
13538,False
10607,False
19546,False
17855,False
17575,False
19453,False
12597,False
12433,False
18735,False
13833,False
14841,False
11341,False
14850,False
19931,False
16127,False
16459,False
10133,False
13965,False
