,h_post,h_post_individualized
14245,1.0,1.0
12100,1.0,1.0
10195,1.0,1.0
15295,1.0,1.0
10027,1.0,1.0
15583,0.98,1.0
10501,1.0,1.0
11335,0.03999999999999999,0.0
19226,1.0,1.0
14841,1.0,1.0
12333,1.0,1.0
15372,0.03999999999999999,0.0
16755,1.0,1.0
18636,0.02,0.0
16704,1.0,1.0
13900,1.0,1.0
17972,1.0,1.0
12737,0.10000000000000002,0.0
10749,0.02,0.0
18809,0.0,0.0
17097,1.0,1.0
17344,1.0,1.0
11631,1.0,1.0
14050,1.0,1.0
13821,0.02,0.0
19179,0.0,0.0
16416,1.0,1.0
15979,1.0,1.0
16657,0.0,0.0
14931,0.98,1.0
14453,1.0,1.0
11274,0.0,0.0
11830,0.94,1.0
16178,1.0,1.0
17880,0.10000000000000002,0.0
11771,1.0,1.0
11836,0.06,0.0
12003,1.0,1.0
14170,0.0,0.0
19776,1.0,1.0
11466,0.14,0.0
12669,1.0,1.0
11883,1.0,1.0
17227,1.0,1.0
13710,1.0,1.0
18910,1.0,1.0
13675,1.0,1.0
11434,1.0,1.0
18577,1.0,1.0
13222,1.0,1.0
10831,0.98,1.0
15215,0.0,0.0
11106,1.0,1.0
19483,1.0,1.0
16904,1.0,1.0
10427,1.0,1.0
14194,0.02,0.0
13765,1.0,1.0
10923,0.96,1.0
15384,1.0,1.0
19377,1.0,1.0
19348,1.0,1.0
16336,1.0,1.0
19968,1.0,1.0
17683,1.0,1.0
16346,1.0,1.0
14942,1.0,1.0
10096,0.0,0.0
19676,1.0,1.0
17610,1.0,1.0
10774,1.0,1.0
19549,1.0,1.0
14033,1.0,1.0
17859,1.0,1.0
19554,1.0,1.0
16487,1.0,1.0
16870,0.0,0.0
13504,1.0,1.0
18413,0.14,0.0
13360,1.0,1.0
13406,0.0,0.0
13155,0.98,1.0
10873,0.9,1.0
15305,1.0,1.0
12791,1.0,1.0
15886,0.02,0.0
17734,1.0,1.0
10280,1.0,1.0
16494,1.0,1.0
19558,1.0,1.0
15851,1.0,1.0
13399,1.0,1.0
19867,1.0,1.0
18516,0.0,0.0
12041,1.0,1.0
16736,1.0,1.0
14514,0.10000000000000002,0.0
10745,1.0,1.0
11671,0.07999999999999999,0.0
14025,1.0,1.0
17072,1.0,1.0
16757,0.03999999999999999,0.0
19236,0.98,1.0
19353,1.0,1.0
14324,1.0,1.0
10099,0.0,0.0
12016,0.0,0.0
16894,1.0,1.0
19538,1.0,1.0
18732,1.0,1.0
14976,0.92,1.0
11462,1.0,1.0
19281,1.0,1.0
18678,0.0,0.0
19124,0.98,1.0
13413,0.98,1.0
13179,1.0,1.0
11696,1.0,1.0
12398,1.0,1.0
11014,1.0,1.0
13035,0.9,1.0
17782,1.0,1.0
14657,1.0,1.0
10325,1.0,1.0
16773,1.0,1.0
16426,1.0,1.0
16276,1.0,1.0
18395,1.0,1.0
11540,1.0,1.0
17659,1.0,1.0
16993,0.10000000000000002,0.0
10258,1.0,1.0
12643,0.0,0.0
11068,1.0,1.0
18954,1.0,1.0
13119,1.0,1.0
17328,0.03999999999999999,0.0
16906,0.03999999999999999,0.0
10377,1.0,1.0
10918,1.0,1.0
15159,1.0,1.0
17743,0.02,0.0
19327,0.98,1.0
10222,1.0,1.0
14095,1.0,1.0
15194,1.0,1.0
10952,1.0,1.0
11399,1.0,1.0
12764,1.0,1.0
10171,0.12000000000000001,0.0
11172,1.0,1.0
12835,0.98,1.0
15888,1.0,1.0
10850,0.06,0.0
18848,1.0,1.0
10016,0.02,0.0
10687,1.0,1.0
15711,1.0,1.0
18931,0.0,0.0
19398,1.0,1.0
11902,0.03999999999999999,0.0
19631,1.0,1.0
13417,1.0,1.0
15410,0.0,0.0
19167,1.0,1.0
10767,0.10000000000000002,0.0
10626,1.0,1.0
12859,1.0,1.0
11396,1.0,1.0
15694,1.0,1.0
14045,1.0,1.0
16499,1.0,1.0
19439,0.0,0.0
12335,0.02,0.0
17223,1.0,1.0
16016,1.0,1.0
13833,1.0,1.0
16671,1.0,1.0
18680,1.0,1.0
17356,1.0,1.0
18998,0.10000000000000002,0.0
14302,1.0,1.0
11921,1.0,1.0
17379,0.03999999999999999,0.0
14524,0.10000000000000002,0.0
16811,0.06,0.0
12637,1.0,1.0
15206,1.0,1.0
10750,0.0,0.0
15087,1.0,1.0
19211,0.0,0.0
12406,1.0,1.0
12544,1.0,1.0
11060,1.0,1.0
19190,0.0,0.0
19222,1.0,1.0
10341,1.0,1.0
13681,0.0,0.0
14823,1.0,1.0
13572,0.07999999999999999,0.0
