ix,goal_cost,intv_cost
13572,0.762,0.8
14302,0.9179999828338623,1.0
17618,0.774,0.1
16662,0.8500000238418579,1.0
11921,0.8960000276565552,1.0
18670,0.778,0.1
18735,0.8799999952316284,1.0
11969,0.768,0.7999999999999999
12295,0.94,1.2
13906,0.8700000047683716,1.0
13298,0.8920000195503235,1.0
14208,0.776,0.7
19994,0.762,3.0
10817,0.7739999890327454,1.5
16454,0.76,0.7
13170,0.772,0.2
17987,0.8560000061988831,1.0
19280,0.7540000081062317,1.0
12907,0.7639999985694885,0.5
10580,0.764,1.1
18516,0.7599999904632568,0.5
17610,0.776,2.2
19688,0.8320000171661377,1.0
17855,0.758,0.4
19327,0.798,1.1
18803,0.8334599104178553,0.0
14676,0.774,0.4
12231,0.824,2.0
19660,0.8100000023841858,2.0
16904,0.938,1.1
11677,0.9399999976158142,1.0
10777,0.81,2.0
12221,0.994,0.1
12123,0.7720000147819519,1.0
11668,0.846,2.1
12415,0.921999990940094,1.0
10878,0.8960000276565552,1.0
19252,0.814,2.0
12330,0.792,1.5
12504,0.83,0.1
11118,0.8579999804496765,1.0
17075,0.79,0.9
13971,0.7879999876022339,1.0
11540,0.784,1.3
12091,0.7639999985694885,1.0
19797,0.9020000100135803,1.0
15510,0.784,1.9
16504,0.766,0.2
19139,0.9777691316294701,0.0
12039,0.777999997138977,1.0
19656,0.76,0.1
11794,0.762,1.0
18625,0.784,0.7
10644,0.79,0.4
11710,0.846,1.0
17422,0.8880000114440918,1.0
12743,0.786,2.0
12942,0.88,1.1
10809,0.7979999780654907,1.0
11364,0.922,1.0
16671,0.9200000166893005,1.0
17515,0.932,1.0
14323,0.786,1.6
16367,0.8539999723434448,1.0
15305,0.871999979019165,1.0
14199,0.756,1.5
13680,0.8820000290870667,1.0
19516,0.8479999899864197,1.0
10341,0.834,0.1
12003,0.78,1.1
10750,0.8220000267028809,2.0
19236,0.8360000252723694,1.0
18037,0.7829141387265404,0.0
15888,0.824,0.1
19968,0.78,1.0
19549,0.8539999723434448,1.0
15584,0.8339999914169312,1.0
15666,0.8920000195503235,1.0
18794,0.784,0.1
15678,0.9480472601928983,0.0
15571,0.7940000295639038,1.0
19043,0.956,0.1
15632,0.894,2.1
17064,0.7799999713897705,2.0
11374,0.762,2.6
10607,0.7860000133514404,1.0
14796,0.77,1.3
16535,0.934,0.1
16791,0.928,2.1
14387,0.754,0.4
19681,0.926,0.1
14195,0.772,1.4
19971,0.83,0.1
18465,0.8140000104904175,1.0
12544,0.864,1.0
14278,0.876,0.1
12977,0.834,0.1
11495,0.756,2.0
12863,0.754,0.1
11877,0.768,0.1
12780,0.766,0.1
15851,0.8980000019073486,2.0
14809,0.7940000295639038,1.0
17251,0.8880000114440918,1.0
14563,0.798,1.1
13046,0.774,1.4
19837,0.824,2.1
15791,0.777999997138977,1.0
13406,0.772,0.7999999999999999
15954,0.81,1.0
19033,0.886,0.1
19197,0.7620000243186951,1.0
10286,0.7739999890327454,1.0
12754,0.9300000071525574,1.0
15182,0.776,1.0
15384,0.752,1.2
15630,0.906000018119812,1.0
15042,0.9319999814033508,2.0
16577,0.77,1.1
18411,0.878,0.1
15656,0.76,2.0
12193,0.79,0.1
16165,0.842,0.1
16499,0.788,0.1
14085,0.8140000104904175,2.0
16819,0.9279999732971191,3.0
11688,0.816,3.5
18693,0.7879999876022339,1.5
11444,0.772,1.3
18331,0.768,0.4
12308,0.786,1.0
11582,0.839455259520134,0.0
11825,0.778,0.3
13538,0.762,0.6
16816,0.778,0.9
14968,0.79,0.1
12764,0.9319999814033508,1.0
12075,0.846,2.0
12514,0.8320000171661377,1.0
19812,0.778,0.8
18389,0.8220000267028809,1.0
10515,0.768,0.7999999999999999
16336,0.774,1.0
16572,0.8117155288236887,0.0
15743,0.8679999709129333,1.0
13214,0.9039999842643738,2.0
12814,0.946,1.2
13365,0.7919999957084656,1.0
12216,0.9179999828338623,1.0
17024,0.754,0.1
14571,0.8100000023841858,0.5
14588,0.8059999942779541,2.0
14442,0.9240000247955322,1.0
19471,0.948,2.1
13562,0.832,1.4
14259,0.8999999761581421,2.0
11926,0.8840000033378601,1.0
10883,0.764,2.1
17972,0.76,0.4
19222,0.822,2.0
15671,0.756,1.2
14207,0.788,2.9
19717,0.7599999904632568,1.0
19942,0.7940000295639038,1.0
12272,0.866,0.1
11918,0.8019999861717224,1.0
18418,0.798,2.0
18100,0.764,1.1
14537,0.768,0.4
13327,0.9319999814033508,1.0
13400,0.774,0.1
19319,0.848,0.1
11862,0.934,0.1
18146,0.9259999990463257,2.0
15886,0.810427702986746,0.0
16029,0.878000020980835,1.0
15143,0.798,0.1
13618,0.758,0.7
15575,0.776,0.1
13155,0.8799999952316284,1.0
16016,0.764,1.6
17532,0.9259999990463257,2.0
16888,0.828000009059906,1.0
16163,0.828000009059906,2.0
11014,0.818,0.1
11122,0.758,2.1
16755,0.7559999823570251,1.0
14924,0.758,0.4
12858,0.764,0.6
16931,0.89,1.0
13504,0.800000011920929,1.0
12992,0.95,0.1
11326,0.7580000162124634,1.0
12669,0.9139999747276306,2.0
12345,0.8859999775886536,1.0
16561,0.826,1.0
15002,0.928,1.2000000000000002
11304,0.766,0.3
18914,0.8299602048294199,0.0
11042,0.8700000047683716,1.0
