,y_hat
19181,False
19088,False
19807,False
13860,False
16900,False
16167,False
16586,False
14401,False
16030,False
19335,False
11078,False
17924,False
11990,False
17590,False
13438,False
12745,False
17992,False
11269,False
17295,False
18005,False
19003,False
14668,False
17135,False
16403,False
19233,False
14002,False
12250,False
12311,False
12622,False
15242,False
10049,False
17166,False
10667,False
12471,False
14547,False
17803,False
14992,False
19507,False
15756,False
18077,False
19261,False
14438,False
16550,False
12788,False
14803,False
19906,False
12047,False
13608,False
17666,False
10732,False
16712,False
11677,False
15224,False
18658,False
19836,False
14555,False
10052,False
19451,False
11770,False
12826,False
19599,False
11016,False
15017,False
13943,False
12970,False
16251,False
18853,False
12997,False
13302,False
17572,False
19165,False
14025,False
18897,False
11130,False
14454,False
10492,False
14050,False
13899,False
17790,False
13352,False
17968,False
18164,False
10600,False
19567,False
15723,False
16682,False
15771,False
14767,False
13745,False
17604,False
16991,False
15609,False
17202,False
15914,False
14453,False
12411,False
12066,False
14594,False
15293,False
12413,False
16685,False
17559,False
11057,False
11733,False
17026,False
18329,False
19623,False
10098,False
17447,False
17543,False
12434,False
11648,False
15501,False
15334,False
14008,False
16247,False
10889,False
17019,False
14997,False
10198,False
14087,False
18837,False
11941,False
14623,False
10419,False
15650,False
18767,False
14066,False
17117,False
14012,False
14802,False
17913,False
15276,False
12979,False
15916,False
19498,False
19956,False
10069,False
10457,False
14529,False
18044,False
18153,False
17240,False
18882,False
13511,False
13814,False
11321,False
14946,False
12021,False
14688,False
16963,False
10220,False
16781,False
13424,False
10108,False
18225,False
14733,False
17902,False
16826,False
19221,False
15638,False
18321,False
16675,False
19529,False
17390,False
12394,False
16929,False
15884,False
15171,False
10249,False
16499,False
18810,False
18996,False
13286,False
11697,False
18597,False
11117,False
18849,False
10700,False
17179,False
18373,False
11517,False
17377,False
11879,False
11500,False
18905,False
16268,False
12720,False
19820,False
18923,False
17045,False
17268,False
17786,False
14880,False
10592,False
10719,False
18829,False
12681,False
16673,False
19243,False
