ix,goal_cost,intv_cost
13186,1.0,0.7
10007,1.0,0.4
15714,1.0,0.7
16596,1.0,0.5
10315,1.0,0.4
12846,1.0,0.9
10535,1.0,0.2
12514,1.0,1.0
17733,1.0,0.2
17312,1.0,0.4
14856,1.0,0.6
11155,1.0,1.1
18992,1.0,0.6
11283,1.0,0.8
11747,1.0,1.1
11244,1.0,0.1
13576,1.0,0.7
13733,1.0,0.6
12338,1.0,0.2
17766,1.0,0.8
15643,1.0,1.0
10745,1.0,0.2
15627,1.0,0.7
17856,1.0,0.5
11743,1.0,0.2
11033,1.0,0.6
19855,1.0,0.5
18392,1.0,0.9
13067,1.0,0.2
17251,1.0,0.7
16220,1.0,0.8
12323,1.0,1.1
18024,1.0,0.2
11654,1.0,0.3
11567,1.0,0.3
10206,1.0,1.0
10338,1.0,0.7
12965,1.0,0.3
18993,1.0,0.3
13684,1.0,0.3
15082,1.0,0.3
19856,1.0,0.2
14643,1.0,0.3
17939,1.0,0.4
11836,1.0,0.7
16994,1.0,0.7
17851,1.0,0.6
15239,1.0,1.0
16816,1.0,0.9
12339,1.0,0.4
15882,1.0,1.0
18123,1.0,0.9
19494,1.0,0.4
15452,1.0,0.2
19056,1.0,0.9
12994,1.0,0.1
11042,1.0,0.8
17960,1.0,1.1
15703,1.0,0.6
10512,1.0,0.2
11515,1.0,0.6
11509,1.0,0.5
12094,1.0,0.7
10207,1.0,0.4
19010,1.0,0.7
14375,1.0,1.0
19070,1.0,0.2
17213,1.0,0.7
15667,1.0,0.1
19260,1.0,1.0
11220,1.0,0.9
12074,1.0,1.0
17587,1.0,0.8
10669,1.0,0.9
11312,1.0,0.2
16251,1.0,1.1
18788,1.0,0.4
16769,1.0,0.9
17201,1.0,0.6
19121,1.0,0.5
10252,1.0,0.1
11481,1.0,0.9
12506,1.0,0.6
14369,1.0,0.5
12621,1.0,0.8
10086,1.0,0.8
15436,1.0,0.7
13310,1.0,0.6
16184,1.0,0.2
11212,1.0,0.1
17414,1.0,0.6
17705,1.0,1.0
11094,1.0,0.7
13233,1.0,0.1
14304,1.0,1.1
15948,1.0,0.1
18266,1.0,1.0
13847,1.0,0.7
13660,1.0,0.30000000000000004
10639,1.0,0.2
15891,1.0,0.5
19456,1.0,0.7
13539,1.0,0.9
18699,1.0,0.8
13986,1.0,0.7
13337,1.0,0.8
17514,1.0,0.1
17498,1.0,0.6
10156,1.0,0.2
16991,1.0,0.7
16691,1.0,0.5
17612,1.0,0.7
11623,1.0,0.9
14531,1.0,0.3
18155,1.0,0.8
17350,1.0,0.4
11238,1.0,0.9
14978,1.0,0.4
19339,1.0,1.0
10149,1.0,1.0
11731,1.0,0.7
15200,1.0,0.3
16497,1.0,0.1
12479,1.0,0.7999999999999999
15546,1.0,0.7
15933,1.0,0.9
17103,1.0,0.6
18832,1.0,0.7
14807,1.0,0.6
18023,1.0,0.1
10875,1.0,0.9
16016,1.0,0.3
17721,1.0,0.6
19498,1.0,0.5
16116,1.0,0.3
13025,1.0,0.5
15534,1.0,0.5
11492,1.0,0.9
17412,1.0,0.1
17299,1.0,0.3
15041,1.0,0.8
13881,1.0,0.7
19552,1.0,0.6
11001,1.0,0.6
11409,1.0,0.7
15841,1.0,0.5
11183,1.0,0.8
11842,1.0,0.6
13884,1.0,0.7999999999999999
18786,1.0,0.9
10683,1.0,0.5
12432,1.0,0.3
17937,1.0,1.0
12827,1.0,0.2
14868,1.0,0.1
13308,1.0,1.0
14727,1.0,0.5
13455,1.0,0.4
12055,1.0,0.9
16767,1.0,0.4
14119,1.0,0.7
14965,1.0,1.1
13098,1.0,0.9
10213,1.0,0.9
18395,1.0,1.0
11943,1.0,0.1
14123,1.0,0.6
14338,1.0,0.4
16463,1.0,0.8
11207,1.0,0.3
18703,1.0,0.4
13203,1.0,0.4
13101,1.0,0.3
17100,1.0,0.8
10680,1.0,0.6
13895,1.0,0.8
16889,1.0,0.7
19541,1.0,0.5
15487,1.0,0.2
14940,1.0,0.2
10112,1.0,1.0
11385,1.0,1.1
10407,1.0,0.6
16607,1.0,0.4
17986,1.0,0.5
17440,1.0,0.9
14109,1.0,0.8
17743,1.0,0.5
18839,1.0,0.4
17662,1.0,0.2
14883,1.0,1.0
18829,1.0,0.3
12063,1.0,1.0
11004,1.0,0.2
19573,1.0,0.8
13362,1.0,0.3
15579,1.0,0.3
15629,1.0,0.4
19229,1.0,0.2
16089,1.0,0.6
