,h_post,h_post_individualized
14908,1.0,
10228,0.0,
18168,0.02,
19667,0.10000000000000002,
16040,1.0,
15351,1.0,
12065,0.03999999999999999,
14525,1.0,
11685,0.0,
12808,0.02,
10726,0.02,
19447,1.0,
16404,1.0,
12215,1.0,
17513,0.03999999999999999,
15016,0.0,
16166,0.0,
13628,1.0,
12758,0.14,
11816,0.03999999999999999,
13482,1.0,
10123,0.0,
10892,0.06,
10076,1.0,
15516,0.0,
15438,1.0,
16704,0.0,
10745,0.0,
13473,1.0,
19622,0.0,
10288,1.0,
19632,0.0,
18669,1.0,
18355,1.0,
12740,1.0,
14498,1.0,
12115,1.0,
11327,1.0,
12509,1.0,
13638,1.0,
16157,1.0,
17045,1.0,
16965,1.0,
11475,0.0,
14951,1.0,
17779,0.0,
15192,0.0,
15718,0.03999999999999999,
14733,1.0,
10388,1.0,
13372,0.02,
10756,1.0,
15810,1.0,
19794,0.12000000000000001,
10592,1.0,
10243,1.0,
17205,1.0,
18174,0.0,
19937,1.0,
13042,1.0,
10389,1.0,
11598,0.0,
15805,1.0,
10340,0.06,
14189,0.0,
18138,0.03999999999999999,
15819,1.0,
17019,1.0,
12745,1.0,
18756,1.0,
12548,0.06,
12268,1.0,
12188,0.0,
11914,0.03999999999999999,
13576,0.02,
16138,0.0,
17182,0.0,
12713,1.0,
17261,0.02,
11909,0.0,
18767,0.92,
18657,0.03999999999999999,
17029,0.0,
11643,1.0,
15761,0.0,
17011,1.0,
10311,1.0,
15513,0.0,
15678,0.02,
11812,0.0,
14236,1.0,
16125,1.0,
13488,1.0,
13467,1.0,
13919,0.12000000000000001,
13086,1.0,
19841,1.0,
15643,1.0,
18266,0.0,
18816,0.12000000000000001,
19055,1.0,
13599,0.0,
16091,1.0,
19096,1.0,
16173,1.0,
16159,1.0,
18796,1.0,
11224,1.0,
10804,1.0,
15335,1.0,
13336,0.02,
18333,1.0,
18054,0.06,
14161,0.0,
18977,0.0,
10316,0.03999999999999999,
14892,1.0,
11658,0.0,
13594,1.0,
19758,0.0,
11904,0.02,
19653,0.0,
12974,0.0,
13360,0.0,
17773,0.0,
11575,0.0,
17020,1.0,
14752,1.0,
17181,1.0,
16423,0.0,
16729,0.0,
15239,0.0,
16636,0.92,
17841,0.0,
13682,1.0,
17630,0.02,
10322,1.0,
19795,0.02,
16558,0.02,
18209,0.02,
11983,0.0,
14604,1.0,
15193,0.0,
11330,0.02,
14481,0.0,
11382,0.0,
10616,0.94,
13797,1.0,
15145,0.0,
10377,0.02,
12962,1.0,
12722,1.0,
15868,1.0,
17051,1.0,
19239,0.03999999999999999,
11073,0.88,
17315,0.02,
16949,1.0,
11871,0.0,
14960,1.0,
19739,0.0,
11766,1.0,
15428,0.0,
15210,1.0,
16029,1.0,
14936,1.0,
11777,0.0,
19250,0.0,
19709,0.84,
17012,0.0,
13739,0.0,
19957,0.03999999999999999,
18042,1.0,
11275,1.0,
11959,1.0,
16050,0.0,
15903,1.0,
13972,1.0,
15177,0.0,
19816,1.0,
13338,0.36,
12394,0.02,
13253,0.0,
16323,1.0,
10445,1.0,
17342,1.0,
12849,1.0,
18779,0.0,
18163,0.02,
12848,1.0,
19104,0.03999999999999999,
11206,0.02,
17403,0.92,
12806,1.0,
17347,0.98,
16656,0.03999999999999999,
15851,1.0,
19117,0.0,
14369,1.0,
19148,0.0,
