r_type,t_type,pop_density_mean,flu_shot_mean,covid_shots_mean,bmi_diff_mean,appetite_loss_mean,fatigue_mean,fever_mean,causes_mean,non-causes_mean,pop_density_std,flu_shot_std,covid_shots_std,bmi_diff_std,appetite_loss_std,fatigue_std,fever_std,causes_std,non-causes_std,gamma
individualized,acceptance,0.000160384,0,0.005128565,-0.000170976,0.532856076,0,0,0.005117972,0.532856076,0.001951384,0,5.26E-05,0.000592209,0.005361454,0,0,0.002329596,0.005361454,0.75
individualized,acceptance,-0.000333333,0,0.003333333,0.0005,0.584,0,0,0.0035,0.584,0.001040833,0,0.005773503,0.001322876,0.027672188,0,0,0.0065,0.027672188,0.75
subpopulation,acceptance,0.004497088,0.001972387,0.009806049,0.003715178,0.443995398,0,0,0.019990702,0.443995398,0.004531595,0.003416274,0.006881975,0.000395709,0.022986533,0,0,0.014488677,0.022986533,0.75
subpopulation,acceptance,0.000734767,0.003643967,0.00542585,0.001460491,0.546112761,0,0,0.011265075,0.546112761,0.000850641,0.003157039,0.005377028,0.000303391,0.026608085,0,0,0.006101931,0.026608085,0.75
individualized,counterfactual,-0.001,0,0,-0.000508522,0.560556111,0,0,-0.001508522,0.560556111,0.001732051,0,0,0.000505086,0.024600483,0,0,0.001315123,0.024600483,0.75
individualized,counterfactual,-0.001340888,0,0,0.000509247,0.585254353,0,0,-0.000831641,0.585254353,0.001046263,0,0,0.002188137,0.002566893,0,0,0.001761462,0.002566893,0.75
individualized,improvement,-0.079734848,0.030567301,1.156624383,0,,,,1.107456836,0,0.00677861,0.017450534,0.037412108,0.000568182,,,,0.025753962,0,0.75
individualized,improvement,-0.075787695,0.032445719,1.126866433,0.000184162,,,,1.083708619,0,0.008050716,0.006450158,0.033915537,0.000318978,,,,0.042569046,0,0.75
subpopulation,improvement,-0.070798043,0.052172348,1.106494949,0.000583649,,,,1.088452904,0,0.019065542,0.01746615,0.016073932,0.003519315,,,,0.015723602,0,0.75
subpopulation,improvement,-0.072213031,0.022096638,1.083043436,0.005087568,,,,1.038014612,0,0.030650677,0.012020682,0.058515829,0.005039469,,,,0.029616715,0,0.75
