,x1,x2,x3
3412,0.51343304,0.17334275,0.5434141
3405,0.29606992,0.31726134,0.68096584
3255,0.3059302,0.3608311,0.65196776
3616,0.17070362,0.6289238,0.32776722
3459,0.91857105,-0.28564048,0.5457466
3564,1.0241996,-0.46227047,0.5556969
3571,0.5406896,1.3600649,-0.8554654
3359,0.0067649363,0.7018891,0.6884838
3360,-0.11911918,0.7123992,0.6648275
3304,0.31642097,0.34892687,0.4062675
2366,-0.114488795,0.58416075,0.8467926
3674,0.05211555,0.6406388,0.7174904
2682,0.47184616,0.08722216,0.5444323
3843,0.72002274,0.39663747,0.12338267
3166,1.142212,-0.46498817,0.6202464
3026,-1.8346748,1.4152317,1.529599
3615,0.83625823,-0.15316576,0.66260266
2681,0.033245802,0.24132638,0.7265846
3889,0.8876834,-0.3776281,0.6348251
3762,0.43082547,0.32794878,0.63592994
3529,-0.27350828,0.83454704,0.59791553
3821,-0.30798218,1.1071346,0.35266575
2952,-0.25400457,0.8918109,0.5979501
3371,0.53828293,0.1342465,0.401455
3041,1.1859349,0.6048019,1.7232519
3447,0.0058154464,0.7151265,0.62166226
3746,0.8450455,-0.29671773,0.71906626
3325,0.84073794,-0.029279232,1.0105859
2444,-0.3071831,0.9554835,0.5073174
2207,0.7493258,0.45097885,-0.074001454
2994,0.6693334,-0.31956398,0.66518086
2980,0.48760757,0.15065207,0.6377146
2842,-0.17478812,0.7833457,0.75518423
3731,0.8578945,0.11054981,0.90242565
2070,-0.02762363,0.7910712,0.7728127
3470,-0.2706589,0.5702811,0.8970062
2558,0.36634815,0.29135764,0.5815645
2037,0.21262707,0.37515327,0.6196854
3691,0.18018177,0.4871858,0.660364
2169,0.98442876,-0.36651564,0.4592048
3687,0.25023985,0.21217903,0.6484722
3055,-0.29944807,0.9116449,0.53065485
3655,0.39930165,0.13204762,0.70295084
3667,0.3948206,0.2616281,0.78166485
3085,0.11693039,1.3856947,1.7017264
2974,0.1357683,0.49688154,0.5975001
3419,0.3237951,0.18336217,0.56305355
2687,-0.008859837,0.62764746,0.69699824
2421,-0.60789794,0.84345925,1.0189703
3877,0.34522322,0.39193434,0.9107793
2900,1.0685047,-0.563761,0.5845552
2858,1.0314412,-0.015327811,0.30525345
2134,0.17575961,0.87882525,0.098922946
2073,0.21220903,0.40887126,0.44265136
2553,0.10465088,0.41677615,0.593223
2222,0.7360917,0.324182,0.108153865
3151,0.05432377,0.35997564,0.8226597
3729,0.19976115,0.24693148,0.81439006
3496,-0.20482215,1.5210319,-0.08904369
3924,-0.10791461,0.85358346,0.82360584
3581,0.14640243,0.46765527,0.61816615
2987,0.18308917,0.4556464,0.73066354
2418,0.19216354,0.42966202,0.6301116
2503,0.5712141,-0.037422847,0.67449594
3245,-0.29741693,0.8586806,0.6747635
3641,0.051877104,0.61458915,0.5515788
3121,1.161804,-0.5730573,0.5272306
2470,0.43505543,0.23309049,0.55183333
2146,0.7463634,-0.29781023,0.5914144
3064,0.24995697,0.10325508,0.69217414
2083,0.53696716,0.2879017,0.27348727
2432,0.68222666,-0.05956602,0.6597458
3775,0.05551348,0.3097991,0.82121295
2585,-0.4481348,1.073044,0.7984142
2855,0.19864753,0.23103586,0.56364954
3835,0.3751487,0.36713454,0.7935995
2206,1.7062442,-1.1676348,0.6175175
2400,-0.2512363,0.8862672,0.5508179
2772,0.45100647,0.14674525,0.605328
3498,0.14620398,0.285683,0.67700994
3995,0.925236,-0.33789545,0.62261814
2654,-0.33587515,0.8761653,0.7735176
3886,0.4487532,0.8832858,-0.36667633
3351,0.24487166,0.08745426,0.80638194
3042,-0.096958674,0.90025365,0.5492087
2194,-0.11906161,0.72244835,0.6213681
2240,0.30764174,0.23218024,0.6358495
3678,0.4610414,0.77223957,-0.004520702
2743,-0.12550999,0.7187873,0.5846915
3305,0.21220636,0.1135057,0.86463016
2590,0.3024169,0.078259274,0.69698817
2825,0.40047094,0.22675535,0.48807406
3708,-0.056514807,0.653347,0.60987025
3798,0.90168625,-0.29527456,0.5587758
3781,0.51062775,-0.45201963,1.0465084
