,y
3412,0.0
3405,0.0
3255,0.0
3616,0.0
3459,0.0
3564,0.0
3571,0.0
3359,0.0
3360,0.0
3304,0.0
2366,0.0
3674,0.0
2682,1.0
3843,0.0
3166,0.0
3026,0.0
3615,0.0
2681,0.0
3889,0.0
3762,1.0
3529,0.0
3821,0.0
2952,0.0
3371,0.0
3041,0.0
3447,0.0
3746,0.0
3325,1.0
2444,0.0
2207,0.0
2994,0.0
2980,0.0
2842,0.0
3731,0.0
2070,0.0
3470,0.0
2558,0.0
2037,0.0
3691,0.0
2169,1.0
3687,0.0
3055,0.0
3655,0.0
3667,1.0
3085,1.0
2974,0.0
3419,0.0
2687,0.0
2421,0.0
3877,1.0
2900,0.0
2858,0.0
2134,1.0
2073,0.0
2553,0.0
2222,0.0
3151,0.0
3729,0.0
3496,0.0
3924,0.0
3581,0.0
2987,0.0
2418,0.0
2503,0.0
3245,0.0
3641,0.0
3121,0.0
2470,0.0
2146,0.0
3064,0.0
2083,0.0
2432,0.0
3775,0.0
2585,1.0
2855,0.0
3835,0.0
2206,0.0
2400,0.0
2772,0.0
3498,0.0
3995,0.0
2654,0.0
3886,0.0
3351,0.0
3042,0.0
2194,0.0
2240,0.0
3678,0.0
2743,0.0
3305,0.0
2590,0.0
2825,1.0
3708,0.0
3798,0.0
3781,0.0
2616,0.0
3463,0.0
3882,0.0
2154,0.0
3956,0.0
2059,0.0
2951,0.0
3263,0.0
3159,0.0
3432,0.0
2001,0.0
2489,0.0
2515,0.0
2632,0.0
2785,0.0
2135,0.0
2722,0.0
3822,0.0
2618,0.0
2853,0.0
3541,0.0
2977,0.0
2140,0.0
2725,0.0
2736,0.0
2527,0.0
2197,0.0
2897,0.0
2541,0.0
2442,0.0
2065,0.0
2273,0.0
3039,0.0
3606,0.0
3050,0.0
2298,0.0
3425,0.0
3254,1.0
2602,0.0
2942,0.0
2707,0.0
2263,1.0
2272,0.0
2676,0.0
2937,0.0
2057,0.0
2244,0.0
2067,0.0
3528,0.0
3092,0.0
2241,0.0
3240,0.0
2224,0.0
2127,0.0
3733,0.0
3597,1.0
2464,0.0
2266,0.0
2265,0.0
3281,0.0
2595,0.0
2525,0.0
2195,0.0
3192,0.0
3765,0.0
3755,0.0
2112,0.0
3959,1.0
2466,0.0
2949,1.0
2276,0.0
2670,0.0
2101,0.0
2908,1.0
3686,1.0
2862,1.0
2883,0.0
3698,0.0
3955,0.0
2611,0.0
3511,0.0
2852,0.0
3816,0.0
3021,0.0
3152,0.0
3206,1.0
2105,0.0
3732,0.0
3690,0.0
3387,0.0
3049,1.0
2896,0.0
3235,0.0
3629,0.0
2380,1.0
2663,1.0
2938,0.0
2396,0.0
2738,0.0
2430,0.0
2729,0.0
3368,0.0
3827,0.0
2656,0.0
2087,0.0
