,y_hat
2669,False
2954,False
2150,False
3852,False
3418,False
2271,False
3282,False
3220,False
2463,False
2467,False
3774,False
2517,False
3986,False
3924,False
2808,False
2068,False
2908,False
2476,False
2333,False
3839,False
2688,False
2067,False
2983,False
3120,False
3552,False
3051,False
3492,False
2629,False
2782,False
3451,False
3428,False
3543,False
3260,False
2929,False
2556,False
2827,False
3877,False
2250,False
3387,False
2644,False
3020,False
2656,False
2400,False
2220,False
2930,False
3777,False
3995,False
2957,False
2111,False
2492,False
3250,False
3701,False
3843,False
2664,False
2358,False
2147,False
3231,False
2227,False
3790,False
3827,False
2596,False
3561,False
3702,False
3226,False
3100,False
2239,False
3086,False
3049,False
3846,False
3643,False
2007,False
3385,False
2967,False
2948,False
2321,False
2048,False
3249,False
2192,False
3219,False
3640,False
3960,False
3213,False
3722,False
3661,False
3098,False
3534,False
3197,False
3651,False
2578,False
3563,False
2354,False
2273,False
2580,False
2928,False
2895,False
3191,False
2754,False
3374,False
3142,False
3927,False
3030,False
2313,False
2949,False
3335,False
3262,False
2344,False
3711,False
2063,False
2720,False
3417,False
3144,False
2577,False
2080,False
2353,False
3757,False
2920,False
2320,False
3452,False
3656,False
3336,False
3210,False
3312,False
2605,False
2876,False
2936,False
3358,False
2211,False
2966,False
2969,False
2215,False
2997,False
2272,False
3683,False
2076,False
3817,False
2072,False
3742,False
2327,False
3533,False
3275,False
3814,False
2755,False
2903,False
3855,False
2032,False
3448,False
2905,False
2116,False
3937,False
3772,False
2516,False
2338,False
3752,False
2362,False
3992,False
2662,False
3800,False
3648,False
3990,False
2425,False
3088,False
2184,False
2822,False
2237,False
3662,False
2786,False
2566,False
2839,False
2008,False
3939,False
3059,False
2617,False
2829,False
3957,False
2283,False
3068,False
2699,False
3401,False
2291,False
3265,False
3535,False
3629,False
2113,False
3317,False
2698,False
2802,False
3475,False
2270,False
3297,False
3327,False
2064,False
3354,False
2985,False
2772,False
2626,False
2454,False
2917,False
3633,False
3337,False
3152,False
