ix,goal_cost,intv_cost
2865,1.0,3.8000000000000003
3016,1.0,2.9
3171,1.0,1.6
3795,1.0,0.4
2364,1.0,8.3
3177,1.0,1.0999999999999999
2063,1.0,4.6
3059,1.0,0.9999999999999999
2127,1.0,1.0
2068,1.0,3.2
2783,1.0,3.0999999999999996
2400,1.0,2.3000000000000003
3279,1.0,4.3
3212,1.0,6.5
3291,1.0,3.5999999999999996
3473,1.0,1.1
2322,1.0,5.4
2187,1.0,3.9000000000000004
2886,1.0,5.5
3939,1.0,2.8
2943,1.0,2.4
3634,1.0,5.2
2912,1.0,0.6
3991,1.0,2.1
2467,1.0,8.100000000000001
2241,1.0,3.9000000000000004
3761,1.0,2.9
2054,1.0,1.7000000000000002
2274,1.0,2.5999999999999996
2891,1.0,2.5
2237,1.0,4.8999999999999995
2270,1.0,1.5
3971,1.0,6.7
3086,1.0,4.6
2629,1.0,1.5
3183,1.0,0.2
3826,1.0,1.5999999999999999
2701,1.0,6.3
2660,1.0,1.4
2191,1.0,4.7
2425,1.0,4.1
3188,1.0,1.4
2956,1.0,0.30000000000000004
3545,1.0,2.0
3852,1.0,2.1
2060,1.0,1.9000000000000001
2140,1.0,2.6
2059,1.0,3.8
3770,1.0,6.3
2502,1.0,1.9000000000000001
2955,1.0,0.2
3429,1.0,2.2
3339,1.0,3.1
2146,1.0,0.1
2269,1.0,3.9
2423,1.0,0.30000000000000004
3165,1.0,5.6
3293,1.0,0.1
3973,1.0,5.300000000000001
2239,1.0,4.3
3428,1.0,0.5
2330,1.0,4.2
2446,1.0,3.4
2378,1.0,1.2
3436,1.0,7.199999999999999
2329,1.0,7.499999999999999
2714,1.0,2.7
3494,1.0,3.0
3846,1.0,2.8
2410,1.0,1.2
3571,1.0,0.6
3026,1.0,4.1
3051,1.0,10.100000000000001
2572,1.0,4.5
2909,1.0,3.9
3913,1.0,0.7
2198,1.0,3.7
3043,1.0,2.2
2041,1.0,2.0
3215,1.0,0.30000000000000004
3100,1.0,2.6
3198,1.0,4.9
2632,1.0,2.4
3953,1.0,0.8999999999999999
2286,1.0,4.1
3669,1.0,4.4
3010,1.0,1.9
3497,1.0,0.6
3032,1.0,7.1000000000000005
2219,1.0,6.0
3152,1.0,3.8
3048,1.0,3.1
3217,1.0,0.1
2622,1.0,7.9
3780,1.0,3.4
3847,1.0,2.8000000000000003
3336,1.0,4.2
2578,1.0,5.2
3011,1.0,0.2
2662,1.0,3.8000000000000003
3912,1.0,0.2
3364,1.0,2.8
3374,1.0,0.6
3933,1.0,0.5
2610,1.0,1.0
2993,1.0,0.9
3031,1.0,0.4
3891,1.0,2.8
2699,1.0,6.8999999999999995
3956,1.0,2.8000000000000003
3317,1.0,0.7999999999999999
3020,1.0,1.6
3385,1.0,4.1
3068,1.0,4.8
3329,1.0,4.6
2122,1.0,4.5
2928,1.0,4.1
3886,1.0,4.3999999999999995
3360,1.0,0.5
2605,1.0,0.2
3734,1.0,3.8
2725,1.0,2.2
3816,1.0,11.600000000000001
3432,1.0,5.9
3335,1.0,0.3
3311,1.0,1.7
2692,1.0,1.2999999999999998
3711,1.0,2.9
3614,1.0,5.3
3471,1.0,7.1
2171,1.0,1.5
3642,1.0,1.0999999999999999
2523,1.0,2.3000000000000003
2764,1.0,3.0999999999999996
3115,1.0,0.6000000000000001
2390,1.0,2.3000000000000003
3589,1.0,1.6
3546,1.0,3.3
3648,1.0,0.4
2345,1.0,0.1
3692,1.0,8.2
2867,1.0,4.3
2524,1.0,3.8000000000000003
2806,1.0,4.5
2388,1.0,0.9
3037,1.0,0.6
3631,1.0,8.6
2923,1.0,2.9
3376,1.0,4.4
2284,1.0,7.6
2325,1.0,4.9
3728,1.0,3.8
3000,1.0,4.6
3052,1.0,6.1
2177,1.0,1.7000000000000002
3445,1.0,5.9
2210,1.0,1.3
3135,1.0,3.7
2795,1.0,2.6999999999999997
2474,1.0,1.4000000000000001
2038,1.0,3.5999999999999996
3296,1.0,5.300000000000001
3401,1.0,3.6
3166,1.0,4.8
2527,1.0,1.7000000000000002
2124,1.0,0.6
2476,1.0,1.9
3378,1.0,0.2
2211,1.0,2.5
3661,1.0,5.2
3874,1.0,0.2
3009,1.0,2.0
3856,1.0,2.3000000000000003
3855,1.0,0.7999999999999999
3093,1.0,0.2
2217,1.0,3.1999999999999997
2437,1.0,4.2
3533,1.0,1.4000000000000001
2984,1.0,7.2
2371,1.0,9.2
2395,1.0,1.5
3741,1.0,1.2
2497,1.0,10.600000000000001
2829,1.0,0.30000000000000004
3459,1.0,4.1000000000000005
3993,1.0,4.4
3119,1.0,3.6
3581,1.0,8.1
3793,1.0,3.0
3994,1.0,3.0
3666,1.0,0.8999999999999999
3841,1.0,5.199999999999999
3983,1.0,3.1999999999999997
2600,1.0,3.1999999999999997
2656,1.0,2.6
2839,1.0,7.7
2508,1.0,4.1
3367,1.0,0.30000000000000004
2704,1.0,2.4000000000000004
3909,1.0,2.5
