,x1,x2,x3
3644,1.0,-0.0,-0.0
2241,0.5,2.3,-0.0
3098,3.1,2.3,5.6
3757,0.6,0.0,-0.0
3409,0.9,2.1,2.8
3546,0.2,1.8,2.6
2744,1.8,1.7,3.6
3463,3.9,0.0,7.0
3821,1.2,0.0,-0.0
2262,1.3,3.2,4.1
2451,2.0,3.1,5.7
3043,1.0,0.0,0.0
2977,0.8,0.0,1.0
2263,1.0,0.0,1.7
3895,0.9,2.3,-0.0
3327,3.1,3.9,6.6
2708,2.1,0.0,2.4
2640,0.7,1.8,2.6
3041,0.0,0.9,-0.0
2353,0.1,2.8,3.1
3571,0.5,0.0,-0.0
3447,1.3,0.0,0.0
3264,2.1,2.6,4.7
3416,0.7,0.0,0.4
2776,0.4,1.3,2.8
3473,0.3,0.9,-0.0
3275,1.3,1.9,3.5
2600,0.7,1.8,-0.0
3290,-0.0,2.6,2.6
3262,1.1,-0.0,1.0
3800,-0.0,0.7,0.9
2694,0.7,0.0,0.0
3827,0.5,0.0,0.4
2602,0.9,2.1,3.1
2060,0.9,-0.0,-0.0
2981,1.3,1.1,2.3
2233,0.3,1.1,0.0
3879,0.7,0.0,0.6
3329,1.0,1.7,3.1
2690,0.6,1.8,-0.0
2043,0.6,0.0,-0.0
3664,0.3,2.6,4.2
3708,0.8,-0.0,1.3
2215,2.1,2.7,4.7
3655,2.1,-0.0,2.0
2284,1.8,2.5,4.7
2298,0.4,0.0,0.0
3741,0.7,-0.0,-0.0
2809,1.3,-0.0,1.8
2562,2.1,-0.0,2.8
3413,0.3,-0.0,0.0
3388,0.5,1.0,-0.0
2629,0.8,0.0,-0.0
2999,2.1,1.8,4.2
3781,0.3,1.9,-0.0
3945,0.7,0.9,-0.0
2681,0.1,0.7,0.9
2363,0.3,0.9,2.1
3335,0.5,-0.0,-0.0
3633,1.6,2.3,3.8
2704,0.0,1.9,0.0
3608,1.1,2.9,4.7
2222,0.7,0.0,-0.0
3761,1.2,-0.0,2.0
2069,0.9,1.8,3.8
3651,0.1,1.6,-0.0
3912,0.1,0.5,0.9
2373,0.6,-0.0,1.2
3738,0.3,0.7,2.1
2714,1.0,0.0,1.9
3993,1.5,-0.0,0.0
3898,0.4,1.4,1.8
2361,1.3,1.6,3.1
2748,1.1,0.0,0.0
3174,0.1,2.5,2.1
3482,1.0,-0.0,-0.0
3870,3.1,-0.0,1.1
3044,0.2,-0.0,1.5
2835,0.8,-0.0,0.0
3680,2.1,0.9,3.3
2303,0.2,1.8,2.6
3637,0.6,1.2,-0.0
2108,1.9,2.6,0.0
3122,0.4,-0.0,-0.0
3780,0.1,2.6,2.3
3563,1.3,3.2,4.7
2649,0.2,1.9,2.1
3588,0.9,0.0,-0.0
3693,0.7,1.1,2.6
2673,1.3,3.1,4.7
2656,0.1,1.9,2.1
3287,0.4,-0.0,0.0
2711,0.7,1.9,2.6
2592,1.1,-0.0,-0.0
3997,1.5,-0.0,-0.0
3891,0.1,1.8,2.1
3207,0.5,-0.0,0.0
3927,0.7,0.0,-0.0
2146,0.4,0.0,0.0
2859,1.6,1.8,3.3
2184,-0.0,1.8,1.9
3137,0.4,-0.0,-0.0
3230,1.1,0.0,1.9
3417,1.8,-0.0,3.2
3217,0.2,-0.0,0.7
3537,1.3,2.1,3.6
3405,2.4,0.0,1.1
2337,0.3,3.1,3.1
